substation ID;Event start;type
26;2020-03-10 15:49:00;fault
3;2015-11-24 00:00:00;activity
3;2015-12-09 13:48:00;fault
3;2016-02-29 00:00:00;activity
3;2016-10-31 14:18:00;fault
3;2016-11-15 22:50:00;fault
4;2015-02-27 00:00:00;activity
4;2015-03-18 18:54:00;fault
4;2016-08-01 00:00:00;activity
4;2016-11-18 15:13:00;fault
4;2017-02-10 00:00:00;activity
5;2015-02-23 00:00:00;activity
5;2015-11-17 00:00:00;activity
5;2016-03-09 00:00:00;activity
5;2017-04-03 00:00:00;activity
5;2020-02-04 14:02:00;fault
5;2020-02-04 17:03:02;task
6;2019-04-16 09:41:00;fault
6;2019-04-17 06:49:46;task
7;2015-02-27 00:00:00;activity
7;2015-03-26 07:15:00;fault
7;2015-04-02 20:05:00;fault
7;2015-04-10 14:18:00;fault
7;2015-10-05 00:00:00;activity
7;2015-11-12 00:00:00;activity
7;2015-12-15 00:00:00;activity
7;2015-12-15 10:26:00;fault
7;2015-12-24 05:00:00;fault
7;2016-02-01 00:00:00;activity
7;2016-02-14 09:48:00;fault
7;2017-11-26 13:15:00;fault
7;2017-12-08 10:17:10;task
7;2018-05-16 10:32:00;fault
7;2019-01-10 06:13:18;task
7;2019-12-20 18:20:00;fault
8;2015-09-24 00:00:00;activity
8;2017-06-07 00:00:00;activity
8;2018-04-27 08:15:00;fault
8;2018-04-30 05:45:07;task
9;2015-02-25 00:00:00;activity
9;2020-02-24 21:13:00;fault
9;2020-02-25 14:11:43;task
10;2013-02-19 00:00:00;activity
10;2013-08-02 00:00:00;activity
10;2014-05-04 00:00:00;activity
10;2014-05-04 14:44:00;fault
10;2014-05-05 00:00:00;activity
10;2018-11-05 15:05:23;task
11;2014-06-23 00:00:00;activity
11;2015-12-07 00:00:00;activity
11;2018-07-02 10:49:00;fault
11;2018-07-02 15:02:04;task
11;2018-11-23 08:30:00;fault
11;2018-11-26 05:56:59;task
11;2019-01-14 11:58:00;fault
11;2019-01-14 16:29:40;task
12;2014-10-21 00:00:00;activity
12;2015-07-08 00:00:00;activity
12;2015-12-01 10:56:00;fault
12;2017-04-03 00:00:00;activity
13;2015-03-18 00:00:00;activity
13;2016-07-20 15:17:00;fault
13;2016-07-22 00:00:00;activity
13;2017-03-14 00:00:00;activity
13;2020-05-26 10:00:00;fault
13;2020-05-27 14:42:13;task
14;2014-07-11 00:00:00;activity
14;2014-07-16 00:00:00;activity
14;2014-08-27 00:00:00;activity
14;2015-03-17 00:00:00;activity
14;2016-07-22 00:00:00;activity
14;2017-03-14 00:00:00;activity
14;2018-05-11 13:59:12;task
14;2018-09-30 12:41:00;fault
14;2018-10-01 09:58:24;task
15;2017-01-26 00:00:00;activity
15;2017-04-03 00:00:00;activity
15;2017-05-29 00:00:00;activity
15;2017-05-29 10:34:00;fault
16;2017-07-31 13:39:00;fault
16;2017-07-31 17:35:18;task
17;2015-12-01 00:00:00;activity
17;2015-12-02 00:00:00;activity
17;2019-01-09 14:18:00;fault
17;2019-01-12 11:20:31;task
17;2019-01-12 11:20:32;task
17;2019-01-12 11:20:33;task
18;2014-04-01 00:00:00;activity
18;2014-05-02 17:22:00;fault
18;2014-05-05 16:27:00;fault
18;2014-11-03 14:28:00;fault
18;2015-02-07 15:39:00;fault
18;2016-05-17 00:00:00;activity
18;2019-04-24 11:25:46;task
18;2019-05-04 07:19:00;fault
19;2016-02-22 00:00:00;activity
19;2018-11-21 09:15:00;fault
19;2018-11-22 06:41:58;task
19;2019-10-08 09:12:00;fault
19;2019-10-08 15:43:59;task
19;2019-10-18 12:40:52;task
19;2019-12-05 15:04:00;fault
19;2019-12-06 10:34:43;task
19;2019-12-15 20:50:08;task
20;2015-09-21 00:00:00;activity
20;2015-10-23 00:00:00;activity
20;2016-08-09 00:00:00;activity
20;2017-06-07 07:34:00;fault
20;2019-02-19 10:40:00;fault
20;2019-02-22 06:05:16;task
20;2019-03-07 16:36:28;task
21;2015-03-06 00:00:00;activity
21;2015-06-07 11:34:00;fault
21;2015-11-26 00:00:00;activity
21;2016-12-06 13:12:00;fault
21;2016-12-12 15:55:00;fault
21;2017-03-14 00:00:00;activity
21;2018-04-09 13:51:00;fault
21;2018-09-07 15:24:00;fault
21;2018-10-02 13:07:52;task
21;2019-01-21 08:17:00;fault
21;2019-01-21 20:10:43;task
21;2019-01-28 16:55:00;fault
21;2019-01-29 17:26:09;task
21;2019-10-19 10:38:00;fault
21;2019-10-23 07:40:23;task
23;2016-06-01 08:39:00;fault
23;2017-01-24 00:00:00;activity
24;2015-12-08 00:00:00;activity
24;2016-01-12 12:39:00;fault
24;2016-04-05 00:00:00;activity
24;2016-04-05 10:41:00;fault
24;2016-04-07 00:00:00;activity
24;2016-04-07 07:47:00;fault
24;2016-10-24 13:55:00;fault
24;2016-11-18 07:26:00;fault
24;2018-11-01 07:18:16;task
26;2018-10-24 10:54:58;task
26;2018-10-26 07:00:27;task
26;2020-03-11 15:31:31;task
26;2020-06-13 10:38:00;fault
27;2019-11-27 06:52:10;task
27;2020-01-20 12:57:00;fault
27;2020-03-27 14:34:11;fault
27;2020-04-01 07:10:21;task
28;2019-10-07 09:51:00;fault
28;2019-10-07 16:19:00;fault
28;2019-10-07 21:10:18;task
28;2020-01-13 10:55:00;fault
28;2020-01-14 06:47:32;task
28;2020-06-07 19:13:29;task
29;2019-09-16 17:40:34;task
29;2020-03-07 07:59:43;fault
29;2020-05-10 11:09:13;fault
29;2020-06-01 10:20:54;fault
30;2020-01-03 13:42:09;fault
30;2020-01-06 01:20:43;task
30;2020-03-16 15:04:00;fault
30;2020-03-22 18:45:31;task
31;2020-01-13 15:48:00;fault
31;2020-01-14 13:57:05;task
32;2020-03-30 13:19:00;fault
32;2020-03-31 09:48:23;task
33;2015-03-05 00:00:00;activity
33;2016-02-17 00:00:00;activity
