Event ID;substation ID;Event start;Event end;Training start;Training end
2;9;2019-01-02 00:00:00;2019-01-09 00:00:00;2017-01-02 00:00:00;2019-01-02 00:00:00
4;15;2019-03-01 00:00:00;2019-03-08 00:00:00;2017-06-05 10:34:00;2019-03-01 00:00:00
8;6;2020-06-02 00:00:00;2020-06-09 00:00:00;2019-04-23 09:41:00;2020-06-02 00:00:00
12;19;2017-09-30 00:00:00;2017-10-07 00:00:00;2015-10-01 00:00:00;2017-09-30 00:00:00
14;26;2019-12-08 00:00:00;2019-12-15 00:00:00;2018-10-18 13:10:00;2019-12-08 00:00:00
16;17;2017-10-15 00:00:00;2017-10-22 00:00:00;2015-12-02 12:00:00;2017-10-15 00:00:00
17;2;2018-02-27 00:00:00;2018-03-06 00:00:00;2016-02-28 00:00:00;2018-02-27 00:00:00
18;16;2018-11-30 00:00:00;2018-12-07 00:00:00;2017-08-08 13:39:00;2018-11-30 00:00:00
19;8;2018-02-01 00:00:00;2018-02-08 00:00:00;2016-02-02 00:00:00;2018-02-01 00:00:00
21;1;2019-12-01 00:00:00;2019-12-08 00:00:00;2018-06-20 14:50:00;2019-12-01 00:00:00
22;5;2017-09-13 00:00:00;2017-09-20 00:00:00;2015-09-14 00:00:00;2017-09-13 00:00:00
25;20;2017-01-31 00:00:00;2017-02-07 00:00:00;2015-05-18 17:52:00;2017-01-31 00:00:00
26;4;2018-02-19 00:00:00;2018-02-26 00:00:00;2016-02-20 00:00:00;2018-02-19 00:00:00
27;12;2015-06-24 13:34:00;2015-07-01 13:34:00;2015-02-25 14:00:00;2015-06-24 13:34:00
28;7;2019-01-01 10:29:00;2019-01-08 10:29:00;2018-05-23 10:32:00;2019-01-01 10:29:00
30;16;2018-02-28 00:00:00;2018-03-07 00:00:00;2017-08-08 13:39:00;2018-02-28 00:00:00
31;3;2019-09-01 00:00:00;2019-09-08 00:00:00;2017-08-31 00:00:00;2019-09-01 00:00:00
33;3;2019-01-11 00:00:00;2019-01-18 00:00:00;2017-01-11 00:00:00;2019-01-11 00:00:00
35;11;2017-10-31 00:00:00;2017-11-07 00:00:00;2015-11-01 00:00:00;2017-10-31 00:00:00
39;15;2018-09-30 00:00:00;2018-10-07 00:00:00;2017-06-05 10:34:00;2018-09-30 00:00:00
41;2;2016-09-16 00:00:00;2016-09-23 00:00:00;2015-02-26 11:00:00;2016-09-16 00:00:00
42;22;2019-11-01 00:00:00;2019-11-08 00:00:00;2018-06-21 10:00:00;2019-11-01 00:00:00
43;25;2020-04-05 00:00:00;2020-04-12 00:00:00;2018-04-05 00:00:00;2020-04-05 00:00:00
46;4;2018-06-19 00:00:00;2018-06-26 00:00:00;2016-06-19 00:00:00;2018-06-19 00:00:00
48;11;2016-09-30 00:00:00;2016-10-07 00:00:00;2015-02-25 14:00:00;2016-09-30 00:00:00
50;17;2016-11-09 00:00:00;2016-11-16 00:00:00;2015-12-02 12:00:00;2016-11-09 00:00:00
51;20;2020-04-01 00:00:00;2020-04-08 00:00:00;2018-04-01 00:00:00;2020-04-01 00:00:00
54;22;2020-03-14 00:00:00;2020-03-21 00:00:00;2019-04-01 00:00:00;2020-03-14 00:00:00
55;23;2017-10-06 00:00:00;2017-10-13 00:00:00;2016-06-02 08:00:00;2017-10-06 00:00:00
56;2;2018-11-29 00:00:00;2018-12-06 00:00:00;2016-11-29 00:00:00;2018-11-29 00:00:00
58;5;2018-02-28 00:00:00;2018-03-07 00:00:00;2016-02-29 00:00:00;2018-02-28 00:00:00
59;22;2019-01-31 00:00:00;2019-02-07 00:00:00;2018-06-21 10:00:00;2019-01-31 00:00:00
61;14;2019-12-05 00:00:00;2019-12-12 00:00:00;2017-12-04 00:00:00;2019-12-05 00:00:00
66;19;2017-06-14 00:00:00;2017-06-21 00:00:00;2015-09-15 09:31:00;2017-06-14 00:00:00
68;13;2019-12-20 00:00:00;2019-12-27 00:00:00;2017-12-19 00:00:00;2019-12-20 00:00:00
