column;unit
outdoor_temperature;°C
p_dhw_control_valve_position;%
p_dhw_return_temperature;°C
p_hc1_control_valve_position_setpoint;%
p_hc1_return_temperature;°C
p_hc1_return_temperature_setpoint;°C
p_net_meter_energy;Wh
p_net_meter_flow;ml/h
p_net_meter_heat_power;W
p_net_meter_volume;ml
p_net_return_temperature;°C
p_net_supply_temperature;°C
s_dhw_3-way_valve_status;
s_dhw_control_unit_mode;
s_dhw_lower_storage_temperature;°C
s_dhw_supply_temperature;°C
s_dhw_supply_temperature_setpoint;°C
s_dhw_upper_storage_temperature;°C
s_dhw_upper_storage_temperature_setpoint;°C
s_hc1.1_control_unit_mode;
s_hc1.1_control_valve_position;%
s_hc1.1_heating_pump_status;
s_hc1.1_return_temperature;°C
s_hc1.1_return_temperature_setpoint;°C
s_hc1.1_room_temperature_setpoint;°C
s_hc1.1_supply_temperature;°C
s_hc1.1_supply_temperature_setpoint;°C
s_hc1.2_control_unit_mode;
s_hc1.2_control_valve_position;%
s_hc1.2_dhw_control unit_mode;
s_hc1.2_heating_pump_status;
s_hc1.2_return_temperature;°C
s_hc1.2_return_temperature_setpoint;°C
s_hc1.2_room_temperature_setpoint;°C
s_hc1.2_supply_temperature;°C
s_hc1.2_supply_temperature_setpoint;°C
s_hc1.3_control_unit_mode;
s_hc1.3_control_valve_position;%
s_hc1.3_heating_pump_status;
s_hc1.3_return_temperature;°C
s_hc1.3_room_temperature_setpoint;°C
s_hc1.3_supply_temperature;°C
s_hc1.3_supply_temperature_setpoint;°C
s_hc1_control_unit_mode;
s_hc1_heating_pump_status_setpoint;
s_hc1_room_temperature_setpoint;°C
s_hc1_supply_temperature;°C
s_hc1_supply_temperature_setpoint;°C
