manufacturer,substation_id,source_file,window_start,window_end,label,lead_time_bucket,estimated_lead_time_hours,fault_event_id
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-06T18:00:00+00:00,2019-12-07T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-16T06:00:00+00:00,2016-09-16T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-21T06:00:00+00:00,2016-09-21T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-01T06:00:00+00:00,2018-03-01T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-02T12:00:00+00:00,2018-03-02T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-12-05T06:00:00+00:00,2018-12-05T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-12-05T18:00:00+00:00,2018-12-06T00:00:00+00:00,normal,,,
manufacturer 1,3,manufacturer 1/operational_data/substation_3.csv,2019-01-11T18:00:00+00:00,2019-01-12T00:00:00+00:00,normal,,,
manufacturer 1,3,manufacturer 1/operational_data/substation_3.csv,2019-01-14T00:00:00+00:00,2019-01-14T06:00:00+00:00,normal,,,
manufacturer 1,3,manufacturer 1/operational_data/substation_3.csv,2019-01-16T18:00:00+00:00,2019-01-17T00:00:00+00:00,normal,,,
manufacturer 1,4,manufacturer 1/operational_data/substation_4.csv,2018-02-20T06:00:00+00:00,2018-02-20T12:00:00+00:00,normal,,,
manufacturer 1,4,manufacturer 1/operational_data/substation_4.csv,2018-02-24T00:00:00+00:00,2018-02-24T06:00:00+00:00,normal,,,
manufacturer 1,4,manufacturer 1/operational_data/substation_4.csv,2018-06-20T18:00:00+00:00,2018-06-21T00:00:00+00:00,normal,,,
manufacturer 1,4,manufacturer 1/operational_data/substation_4.csv,2018-06-23T00:00:00+00:00,2018-06-23T06:00:00+00:00,normal,,,
manufacturer 1,4,manufacturer 1/operational_data/substation_4.csv,2018-06-25T00:00:00+00:00,2018-06-25T06:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2017-09-15T06:00:00+00:00,2017-09-15T12:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2017-09-16T06:00:00+00:00,2017-09-16T12:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2017-09-16T18:00:00+00:00,2017-09-17T00:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2017-09-19T18:00:00+00:00,2017-09-20T00:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2018-03-04T12:00:00+00:00,2018-03-04T18:00:00+00:00,normal,,,
manufacturer 1,5,manufacturer 1/operational_data/substation_5.csv,2018-03-05T18:00:00+00:00,2018-03-06T00:00:00+00:00,normal,,,
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2019-04-10T06:00:00+00:00,2019-04-10T12:00:00+00:00,pre_fault,3-7d,147.68333333333334,64
