ts,outdoor_temperature,s_hc1_supply_temperature,s_hc1_supply_temperature_setpoint,s_dhw_supply_temperature,s_dhw_supply_temperature_setpoint,p_hc1_return_temperature,s_dhw_upper_storage_temperature,s_dhw_upper_storage_temperature_setpoint,s_dhw_lower_storage_temperature,p_net_meter_energy,p_net_meter_volume,p_net_meter_heat_power,p_net_meter_flow,p_net_supply_temperature,p_net_return_temperature,manufacturer,substation_id,source_file,s_hc1_control_unit_mode,s_dhw_control_unit_mode,s_hc1_room_temperature_setpoint,p_hc1_control_valve_position_setpoint,p_dhw_control_valve_position,s_hc1_heating_pump_status_setpoint
2014-05-04 02:10:00,6.2,39.4,40.0,15.3,62.0,34.4,15.0,61.0,14.8,651921.1666666666,14933.716666666667,12.833333333333334,223.16666666666663,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 02:20:00,6.15,39.45,40.0,15.2,62.0,34.4,15.05,61.0,14.85,651923.3333333334,14933.753333333334,12.666666666666666,222.3333333333333,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 02:30:00,6.1,39.5,40.0,15.1,62.0,34.4,15.1,61.0,14.9,651925.5,14933.79,12.5,221.5,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 02:40:00,6.0,39.4,40.0,15.4,62.0,34.4,15.1,61.0,15.0,651927.6666666666,14933.826666666666,12.333333333333334,220.66666666666663,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 02:50:00,6.0,39.4,40.0,15.5,62.0,34.3,15.15,61.0,15.05,651929.8333333334,14933.863333333333,12.166666666666666,219.8333333333333,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:00:00,6.0,39.4,40.0,15.6,62.0,34.2,15.2,61.0,15.1,651932.0,14933.9,12.0,219.0,88.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:10:00,6.0,39.4,40.0,15.7,62.0,34.4,15.4,61.0,15.3,651934.0,14933.936666666666,12.166666666666666,219.66666666666663,88.0,36.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:20:00,6.0,39.45,40.0,15.8,62.0,34.45,15.5,61.0,15.35,651936.0,14933.973333333332,12.333333333333334,220.3333333333333,88.0,36.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:30:00,6.0,39.5,40.0,15.9,62.0,34.5,15.6,61.0,15.4,651938.0,14934.01,12.5,221.0,88.0,36.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:40:00,6.0,39.5,40.0,16.0,62.0,34.4,15.7,61.0,15.6,651940.0,14934.046666666669,12.666666666666666,221.66666666666663,88.0,36.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 03:50:00,6.0,39.3,40.0,16.05,62.0,34.2,15.8,61.0,15.7,651942.0,14934.083333333334,12.833333333333334,222.3333333333333,88.0,36.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 04:00:00,6.0,39.1,40.0,16.1,62.0,34.0,15.9,61.0,15.8,651944.0,14934.12,13.0,223.0,88.0,36.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 04:10:00,6.1,39.5,40.0,16.3,62.0,34.4,16.0,61.0,15.9,651946.1666666666,14934.156666666668,15.166666666666666,262.0,87.83333333333333,36.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 04:20:00,6.05,39.55,40.0,16.4,62.0,34.5,16.1,61.0,16.0,651948.3333333334,14934.193333333336,17.333333333333332,301.0,87.66666666666667,36.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
