substation_id,manufacturer,source_file,configuration_type,has_dhw,has_buffer_tank
1,manufacturer 1,manufacturer 1/operational_data/substation_1.csv,missing,,
2,manufacturer 1,manufacturer 1/operational_data/substation_2.csv,missing,,
3,manufacturer 1,manufacturer 1/operational_data/substation_3.csv,missing,,
4,manufacturer 1,manufacturer 1/operational_data/substation_4.csv,missing,,
5,manufacturer 1,manufacturer 1/operational_data/substation_5.csv,missing,,
6,manufacturer 1,manufacturer 1/operational_data/substation_6.csv,missing,,
7,manufacturer 1,manufacturer 1/operational_data/substation_7.csv,missing,,
8,manufacturer 1,manufacturer 1/operational_data/substation_8.csv,missing,,
9,manufacturer 1,manufacturer 1/operational_data/substation_9.csv,missing,,
10,manufacturer 1,manufacturer 1/operational_data/substation_10.csv,missing,,
11,manufacturer 1,manufacturer 1/operational_data/substation_11.csv,missing,,
12,manufacturer 1,manufacturer 1/operational_data/substation_12.csv,missing,,
13,manufacturer 1,manufacturer 1/operational_data/substation_13.csv,missing,,
14,manufacturer 1,manufacturer 1/operational_data/substation_14.csv,missing,,
15,manufacturer 1,manufacturer 1/operational_data/substation_15.csv,missing,,
16,manufacturer 1,manufacturer 1/operational_data/substation_16.csv,missing,,
17,manufacturer 1,manufacturer 1/operational_data/substation_17.csv,missing,,
18,manufacturer 1,manufacturer 1/operational_data/substation_18.csv,missing,,
19,manufacturer 1,manufacturer 1/operational_data/substation_19.csv,missing,,
20,manufacturer 1,manufacturer 1/operational_data/substation_20.csv,missing,,
21,manufacturer 1,manufacturer 1/operational_data/substation_21.csv,missing,,
22,manufacturer 1,manufacturer 1/operational_data/substation_22.csv,missing,,
23,manufacturer 1,manufacturer 1/operational_data/substation_23.csv,missing,,
24,manufacturer 1,manufacturer 1/operational_data/substation_24.csv,missing,,
25,manufacturer 1,manufacturer 1/operational_data/substation_25.csv,missing,,
26,manufacturer 1,manufacturer 1/operational_data/substation_26.csv,missing,,
27,manufacturer 1,manufacturer 1/operational_data/substation_27.csv,missing,,
28,manufacturer 1,manufacturer 1/operational_data/substation_28.csv,missing,,
29,manufacturer 1,manufacturer 1/operational_data/substation_29.csv,missing,,
30,manufacturer 1,manufacturer 1/operational_data/substation_30.csv,missing,,
31,manufacturer 1,manufacturer 1/operational_data/substation_31.csv,missing,,
4,manufacturer 2,manufacturer 2/operational_data/substation_4.csv,missing,,
7,manufacturer 2,manufacturer 2/operational_data/substation_7.csv,missing,,
8,manufacturer 2,manufacturer 2/operational_data/substation_8.csv,missing,,
9,manufacturer 2,manufacturer 2/operational_data/substation_9.csv,missing,,
10,manufacturer 2,manufacturer 2/operational_data/substation_10.csv,missing,,
11,manufacturer 2,manufacturer 2/operational_data/substation_11.csv,missing,,
16,manufacturer 2,manufacturer 2/operational_data/substation_16.csv,missing,,
18,manufacturer 2,manufacturer 2/operational_data/substation_18.csv,missing,,
19,manufacturer 2,manufacturer 2/operational_data/substation_19.csv,missing,,
20,manufacturer 2,manufacturer 2/operational_data/substation_20.csv,missing,,
24,manufacturer 2,manufacturer 2/operational_data/substation_24.csv,missing,,
26,manufacturer 2,manufacturer 2/operational_data/substation_26.csv,missing,,
31,manufacturer 2,manufacturer 2/operational_data/substation_31.csv,missing,,
35,manufacturer 2,manufacturer 2/operational_data/substation_35.csv,missing,,
39,manufacturer 2,manufacturer 2/operational_data/substation_39.csv,missing,,
40,manufacturer 2,manufacturer 2/operational_data/substation_40.csv,missing,,
43,manufacturer 2,manufacturer 2/operational_data/substation_43.csv,missing,,
45,manufacturer 2,manufacturer 2/operational_data/substation_45.csv,missing,,
49,manufacturer 2,manufacturer 2/operational_data/substation_49.csv,missing,,
50,manufacturer 2,manufacturer 2/operational_data/substation_50.csv,missing,,
52,manufacturer 2,manufacturer 2/operational_data/substation_52.csv,missing,,
53,manufacturer 2,manufacturer 2/operational_data/substation_53.csv,missing,,
55,manufacturer 2,manufacturer 2/operational_data/substation_55.csv,missing,,
59,manufacturer 2,manufacturer 2/operational_data/substation_59.csv,missing,,
60,manufacturer 2,manufacturer 2/operational_data/substation_60.csv,missing,,
