column_name,dtype,feature_family,selection_split_column,selection_split_value,missing_rate_train,unique_count_train,selected_for_baseline,exclusion_reason,manufacturer_1_non_null_rate_train,manufacturer_2_non_null_rate_train
dow_cos,float64,cyclic_time,split_regime_based,train,0.0,7,True,,1.0,1.0
dow_sin,float64,cyclic_time,split_regime_based,train,0.0,7,True,,1.0,1.0
doy_cos,float64,cyclic_time,split_regime_based,train,0.0,216,True,,1.0,1.0
doy_sin,float64,cyclic_time,split_regime_based,train,0.0,209,True,,1.0,1.0
hour_cos,float64,cyclic_time,split_regime_based,train,0.0,4,True,,1.0,1.0
hour_sin,float64,cyclic_time,split_regime_based,train,0.0,3,True,,1.0,1.0
configuration_type__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
configuration_type__is__sh,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
configuration_type__is__sh_dhw,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
configuration_type__is__sh_dhw_with_sub_circuits,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
configuration_type__is__sh_with_buffer_tank,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
configuration_type__is__sh_with_sub_circuits,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
manufacturer__is__manufacturer_1,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
manufacturer__is__manufacturer_2,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_3-way_valve_status__dominant__is__aus,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_3-way_valve_status__dominant__is__ein,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_3-way_valve_status__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_control_unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_control_unit_mode__dominant__is__standby,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_dhw_control_unit_mode__dominant__is__tag,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.1_control_unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.1_control_unit_mode__dominant__is__nacht,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.1_control_unit_mode__dominant__is__tag,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.1_heating_pump_status__dominant__is__ein,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.1_heating_pump_status__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_control_unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_control_unit_mode__dominant__is__nacht,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_control_unit_mode__dominant__is__standby,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_control_unit_mode__dominant__is__tag,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_dhw_control unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_dhw_control unit_mode__dominant__is__standby,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_heating_pump_status__dominant__is__aus,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_heating_pump_status__dominant__is__ein,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.2_heating_pump_status__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.3_control_unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.3_control_unit_mode__dominant__is__tag,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
