column_name,imputation_strategy,imputation_value,selection_split_column,selection_split_value
dow_cos,median,-0.2225209339563143,split_regime_based,train
dow_sin,median,0.0,split_regime_based,train
doy_cos,median,0.5000000000000001,split_regime_based,train
doy_sin,median,0.0857305001556943,split_regime_based,train
hour_cos,median,0.7071067811865474,split_regime_based,train
hour_sin,median,-0.7071067811865471,split_regime_based,train
configuration_type__is__missing,median,0.0,split_regime_based,train
configuration_type__is__sh,median,0.0,split_regime_based,train
configuration_type__is__sh_dhw,median,1.0,split_regime_based,train
configuration_type__is__sh_dhw_with_sub_circuits,median,0.0,split_regime_based,train
configuration_type__is__sh_with_buffer_tank,median,0.0,split_regime_based,train
configuration_type__is__sh_with_sub_circuits,median,0.0,split_regime_based,train
manufacturer__is__manufacturer_1,median,1.0,split_regime_based,train
manufacturer__is__manufacturer_2,median,0.0,split_regime_based,train
s_dhw_3-way_valve_status__dominant__is__aus,median,0.0,split_regime_based,train
s_dhw_3-way_valve_status__dominant__is__ein,median,0.0,split_regime_based,train
s_dhw_3-way_valve_status__dominant__is__missing,median,1.0,split_regime_based,train
s_dhw_control_unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_dhw_control_unit_mode__dominant__is__standby,median,0.0,split_regime_based,train
s_dhw_control_unit_mode__dominant__is__tag,median,0.0,split_regime_based,train
s_hc1.1_control_unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.1_control_unit_mode__dominant__is__nacht,median,0.0,split_regime_based,train
s_hc1.1_control_unit_mode__dominant__is__tag,median,0.0,split_regime_based,train
s_hc1.1_heating_pump_status__dominant__is__ein,median,0.0,split_regime_based,train
s_hc1.1_heating_pump_status__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.2_control_unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.2_control_unit_mode__dominant__is__nacht,median,0.0,split_regime_based,train
s_hc1.2_control_unit_mode__dominant__is__standby,median,0.0,split_regime_based,train
s_hc1.2_control_unit_mode__dominant__is__tag,median,0.0,split_regime_based,train
s_hc1.2_dhw_control unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.2_dhw_control unit_mode__dominant__is__standby,median,0.0,split_regime_based,train
s_hc1.2_heating_pump_status__dominant__is__aus,median,0.0,split_regime_based,train
s_hc1.2_heating_pump_status__dominant__is__ein,median,0.0,split_regime_based,train
s_hc1.2_heating_pump_status__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.3_control_unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1.3_control_unit_mode__dominant__is__tag,median,0.0,split_regime_based,train
s_hc1.3_heating_pump_status__dominant__is__aus,median,0.0,split_regime_based,train
s_hc1.3_heating_pump_status__dominant__is__ein,median,0.0,split_regime_based,train
s_hc1.3_heating_pump_status__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1_control_unit_mode__dominant__is__missing,median,1.0,split_regime_based,train
s_hc1_control_unit_mode__dominant__is__nacht,median,0.0,split_regime_based,train
s_hc1_control_unit_mode__dominant__is__standby,median,0.0,split_regime_based,train
s_hc1_control_unit_mode__dominant__is__tag,median,0.0,split_regime_based,train
s_hc1_heating_pump_status_setpoint__dominant__is__aus,median,0.0,split_regime_based,train
s_hc1_heating_pump_status_setpoint__dominant__is__ein,median,0.0,split_regime_based,train
s_hc1_heating_pump_status_setpoint__dominant__is__missing,median,1.0,split_regime_based,train
season_bucket__is__autumn,median,0.0,split_regime_based,train
