split,actual_bucket,predicted_bucket,count
train,0-24h,0-24h,137
train,0-24h,1-3d,0
train,0-24h,3-7d,0
train,1-3d,0-24h,0
train,1-3d,1-3d,234
train,1-3d,3-7d,0
train,3-7d,0-24h,0
train,3-7d,1-3d,0
train,3-7d,3-7d,36
validation,0-24h,0-24h,27
validation,0-24h,1-3d,12
validation,0-24h,3-7d,0
validation,1-3d,0-24h,39
validation,1-3d,1-3d,35
validation,1-3d,3-7d,0
validation,3-7d,0-24h,21
validation,3-7d,1-3d,9
validation,3-7d,3-7d,0
holdout,0-24h,0-24h,25
holdout,0-24h,1-3d,10
holdout,0-24h,3-7d,0
holdout,1-3d,0-24h,17
holdout,1-3d,1-3d,31
holdout,1-3d,3-7d,0
holdout,3-7d,0-24h,3
holdout,3-7d,1-3d,0
holdout,3-7d,3-7d,0
