split,model_key,model,n,mae,rmse,r2,pearson,spearman,mean_prediction,std_prediction
all,rule_based,Rule-based v2_threshold48,2362,12.551295215918712,17.867969170518712,0.7312248866662177,0.871076368404205,0.7523345061690563,24.271594453852664,26.404396693129815
all,lgbm_priority_only,LGBM priority-only package,2362,11.481386079598215,19.655178697181153,0.6747684582203588,0.8240139350856462,0.693768821481589,21.879479923881295,27.465098818308352
all,lgbm_prediction_bundle,LGBM prediction+priority package,2362,11.481386079598215,19.655178697181153,0.6747684582203588,0.8240139350856462,0.693768821481589,21.879479923881295,27.465098818308352
train,rule_based,Rule-based v2_threshold48,1652,9.8065107748184,13.431162280160901,0.8406591478607864,0.9343858360509176,0.7541517918654889,23.028828934624695,27.35689331735516
train,lgbm_priority_only,LGBM priority-only package,1652,6.493490074913483,12.456330429948736,0.8629496392423794,0.9320265424609188,0.7451413237159473,19.84958463742696,29.173879406202108
train,lgbm_prediction_bundle,LGBM prediction+priority package,1652,6.493490074913483,12.456330429948736,0.8629496392423794,0.9320265424609188,0.7451413237159473,19.84958463742696,29.173879406202108
validation,rule_based,Rule-based v2_threshold48,344,17.209047093023255,23.95439842613145,0.5333298894371752,0.7385507089161129,0.7041794863400583,24.617881976744187,23.428805429537505
validation,lgbm_priority_only,LGBM priority-only package,344,19.81424909032117,27.77799170674361,0.37246040045935846,0.6221456125731338,0.46903525624253806,24.960984202806653,24.530245398547404
validation,lgbm_prediction_bundle,LGBM prediction+priority package,344,19.81424909032117,27.77799170674361,0.37246040045935846,0.6221456125731338,0.46903525624253806,24.960984202806653,24.530245398547404
holdout,rule_based,Rule-based v2_threshold48,366,20.562544535519127,26.58609051755285,0.4851545894529199,0.7164773280497095,0.6853682892309194,29.555544535519118,23.95061727778462
holdout,lgbm_priority_only,LGBM priority-only package,366,26.16307822181265,32.67413813396788,0.2223643377141028,0.48767203936201536,0.43023837910968343,28.145462277084157,19.92779788633412
holdout,lgbm_prediction_bundle,LGBM prediction+priority package,366,26.16307822181265,32.67413813396788,0.2223643377141028,0.48767203936201536,0.43023837910968343,28.145462277084157,19.92779788633412
