variant,feature_count,split,scope,metric_type,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
risk_baseline_retrained,189,train,overall,base,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_baseline_retrained,189,train,overall,calibrated,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_baseline_retrained,189,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_baseline_retrained,189,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_baseline_retrained,189,validation,overall,base,431,288,143,0.7866890054390054,0.8084312556909732,0.8174603174603174,0.7202797202797203,0.7657992565055762,0.0798611111111111
risk_baseline_retrained,189,validation,overall,calibrated,431,288,143,0.7866890054390054,0.8084312556909732,0.8305084745762712,0.6853146853146853,0.7509578544061303,0.06944444444444445
risk_baseline_retrained,189,validation,manufacturer_2_sh,base,84,33,51,0.7486631016042781,0.8461932979505127,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.21212121212121213
risk_baseline_retrained,189,validation,manufacturer_2_sh,calibrated,84,33,51,0.7486631016042781,0.8461932979505127,0.8947368421052632,0.6666666666666666,0.7640449438202247,0.12121212121212122
risk_baseline_retrained,189,holdout,overall,base,300,214,86,0.6356226907194088,0.38424250925003617,0.3717948717948718,0.3372093023255814,0.35365853658536583,0.22897196261682243
risk_baseline_retrained,189,holdout,overall,calibrated,300,214,86,0.6356226907194088,0.38424250925003617,0.375,0.27906976744186046,0.32,0.18691588785046728
risk_baseline_retrained,189,holdout,manufacturer_2_sh,base,65,53,12,0.6745283018867925,0.26062658059932253,0.25,0.4166666666666667,0.3125,0.2830188679245283
risk_baseline_retrained,189,holdout,manufacturer_2_sh,calibrated,65,53,12,0.6745283018867925,0.26062658059932253,0.0,0.0,0.0,0.11320754716981132
risk_plus_thermal_iforest,190,train,overall,base,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest,190,train,overall,calibrated,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest,190,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest,190,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest,190,validation,overall,base,431,288,143,0.791423853923854,0.8003163102236168,0.7686567164179104,0.7202797202797203,0.7436823104693141,0.1076388888888889
risk_plus_thermal_iforest,190,validation,overall,calibrated,431,288,143,0.791423853923854,0.8003163102236168,0.7378640776699029,0.5314685314685315,0.6178861788617886,0.09375
risk_plus_thermal_iforest,190,validation,manufacturer_2_sh,base,84,33,51,0.701128936423054,0.7881580038917786,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.21212121212121213
risk_plus_thermal_iforest,190,validation,manufacturer_2_sh,calibrated,84,33,51,0.701128936423054,0.7881580038917786,0.8,0.23529411764705882,0.36363636363636365,0.09090909090909091
risk_plus_thermal_iforest,190,holdout,overall,base,300,214,86,0.6259508802434254,0.37154229409162853,0.4533333333333333,0.3953488372093023,0.422360248447205,0.19158878504672897
risk_plus_thermal_iforest,190,holdout,overall,calibrated,300,214,86,0.6259508802434254,0.37154229409162853,0.4393939393939394,0.3372093023255814,0.3815789473684211,0.17289719626168223
risk_plus_thermal_iforest,190,holdout,manufacturer_2_sh,base,65,53,12,0.6761006289308176,0.27314500042441214,0.3333333333333333,0.4166666666666667,0.37037037037037035,0.18867924528301888
risk_plus_thermal_iforest,190,holdout,manufacturer_2_sh,calibrated,65,53,12,0.6761006289308176,0.27314500042441214,0.0,0.0,0.0,0.11320754716981132
risk_plus_thermal_iforest_z,191,train,overall,base,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest_z,191,train,overall,calibrated,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest_z,191,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest_z,191,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_thermal_iforest_z,191,validation,overall,base,431,288,143,0.7689636752136753,0.7514337987028588,0.6896551724137931,0.6993006993006993,0.6944444444444444,0.15625
risk_plus_thermal_iforest_z,191,validation,overall,calibrated,431,288,143,0.7689636752136753,0.7514337987028588,0.6355140186915887,0.4755244755244755,0.544,0.13541666666666666
risk_plus_thermal_iforest_z,191,validation,manufacturer_2_sh,base,84,33,51,0.7516339869281045,0.8830683110447975,0.8636363636363636,0.7450980392156863,0.8,0.18181818181818182
risk_plus_thermal_iforest_z,191,validation,manufacturer_2_sh,calibrated,84,33,51,0.7516339869281045,0.8830683110447975,1.0,0.11764705882352941,0.21052631578947367,0.0
risk_plus_thermal_iforest_z,191,holdout,overall,base,300,214,86,0.7072918930667246,0.4540683332849335,0.5370370370370371,0.3372093023255814,0.4142857142857143,0.11682242990654206
