variant,fpr_limit,min_threshold,best_threshold_by_f1,best_f1,recall_at_best_f1,precision_at_best_f1,false_positive_rate_at_best_f1,predicted_positive_at_best_f1
official_priority_v2,0.0,48.0,49.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
official_priority_v2,0.005,47.5,49.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
official_priority_v2,0.01,47.5,49.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
official_priority_v2,0.02,47.0,49.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
official_priority_v2,0.05,45.0,49.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
risk_gated_urgency_x8,0.0,48.0,52.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
risk_gated_urgency_x8,0.005,47.5,52.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
risk_gated_urgency_x8,0.01,47.5,52.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
risk_gated_urgency_x8,0.02,47.0,52.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
risk_gated_urgency_x8,0.05,45.0,52.0,0.676923076923077,0.5116279069767442,1.0,0.0,44
ungated_urgency_x8,0.0,48.0,48.0,0.6870229007633588,0.5232558139534884,1.0,0.0,45
ungated_urgency_x8,0.005,47.5,48.0,0.6870229007633588,0.5232558139534884,1.0,0.0,45
ungated_urgency_x8,0.01,47.5,48.0,0.6870229007633588,0.5232558139534884,1.0,0.0,45
ungated_urgency_x8,0.02,47.0,48.0,0.6870229007633588,0.5232558139534884,1.0,0.0,45
ungated_urgency_x8,0.05,45.0,48.0,0.6870229007633588,0.5232558139534884,1.0,0.0,45
