split_column,fault_event_id,split_values,split_count,cross_split
split_event_regime_based,1,holdout,1,False
split_event_regime_based,2,holdout,1,False
split_event_regime_based,3,holdout,1,False
split_event_regime_based,4,validation,1,False
split_event_regime_based,5,validation,1,False
split_event_regime_based,6,validation,1,False
split_event_regime_based,7,holdout,1,False
split_event_regime_based,8,validation,1,False
split_event_regime_based,10,holdout,1,False
split_event_regime_based,11,validation,1,False
split_event_regime_based,12,train,1,False
split_event_regime_based,13,train,1,False
split_event_regime_based,15,validation,1,False
split_event_regime_based,18,train,1,False
split_event_regime_based,19,train,1,False
split_event_regime_based,20,train,1,False
split_event_regime_based,21,train,1,False
split_event_regime_based,22,train,1,False
split_event_regime_based,23,validation,1,False
split_event_regime_based,24,train,1,False
split_event_regime_based,25,train,1,False
split_event_regime_based,27,train,1,False
split_event_regime_based,28,train,1,False
split_event_regime_based,29,train,1,False
split_event_regime_based,30,train,1,False
split_event_regime_based,31,train,1,False
split_event_regime_based,32,train,1,False
split_event_regime_based,34,train,1,False
split_event_regime_based,35,train,1,False
split_event_regime_based,36,train,1,False
split_event_regime_based,37,train,1,False
split_event_regime_based,38,train,1,False
split_event_regime_based,40,train,1,False
split_event_regime_based,41,train,1,False
split_event_regime_based,44,train,1,False
split_event_regime_based,45,train,1,False
split_event_regime_based,47,train,1,False
split_event_regime_based,53,holdout,1,False
split_event_regime_based,60,train,1,False
split_event_regime_based,62,train,1,False
split_event_regime_based,63,train,1,False
split_event_regime_based,64,train,1,False
split_event_regime_based,65,train,1,False
split_event_regime_based,67,train,1,False
split_event_regime_based,69,holdout,1,False
split_event_based,1,holdout,1,False
split_event_based,2,holdout,1,False
split_event_based,3,holdout,1,False
split_event_based,4,validation,1,False
split_event_based,5,validation,1,False
split_event_based,6,validation,1,False
split_event_based,7,holdout,1,False
split_event_based,8,validation,1,False
split_event_based,10,holdout,1,False
split_event_based,11,validation,1,False
split_event_based,12,train,1,False
split_event_based,13,train,1,False
split_event_based,15,validation,1,False
split_event_based,18,train,1,False
split_event_based,19,train,1,False
split_event_based,20,train,1,False
split_event_based,21,train,1,False
split_event_based,22,train,1,False
split_event_based,23,validation,1,False
split_event_based,24,train,1,False
split_event_based,25,train,1,False
split_event_based,27,train,1,False
split_event_based,28,train,1,False
split_event_based,29,train,1,False
split_event_based,30,train,1,False
split_event_based,31,train,1,False
split_event_based,32,train,1,False
split_event_based,34,train,1,False
split_event_based,35,train,1,False
split_event_based,36,train,1,False
split_event_based,37,train,1,False
split_event_based,38,train,1,False
split_event_based,40,train,1,False
split_event_based,41,train,1,False
split_event_based,44,train,1,False
split_event_based,45,train,1,False
split_event_based,47,train,1,False
split_event_based,53,holdout,1,False
split_event_based,60,train,1,False
split_event_based,62,train,1,False
split_event_based,63,train,1,False
split_event_based,64,train,1,False
split_event_based,65,train,1,False
split_event_based,67,train,1,False
split_event_based,69,holdout,1,False
split_regime_based,1,holdout|train|validation,3,True
split_regime_based,2,train,1,False
split_regime_based,3,train|validation,2,True
split_regime_based,4,holdout,1,False
split_regime_based,5,holdout|validation,2,True
split_regime_based,6,train,1,False
split_regime_based,7,holdout,1,False
split_regime_based,8,holdout|validation,2,True
split_regime_based,10,train|validation,2,True
split_regime_based,11,train|validation,2,True
split_regime_based,12,validation,1,False
split_regime_based,13,train,1,False
split_regime_based,15,train,1,False
split_regime_based,18,holdout,1,False
split_regime_based,19,holdout|validation,2,True
split_regime_based,20,train|validation,2,True
split_regime_based,21,train,1,False
split_regime_based,22,holdout|validation,2,True
split_regime_based,23,holdout|train,2,True
split_regime_based,24,train,1,False
split_regime_based,25,train,1,False
split_regime_based,27,train,1,False
split_regime_based,28,train,1,False
split_regime_based,29,train,1,False
split_regime_based,30,holdout|train|validation,3,True
split_regime_based,31,train,1,False
split_regime_based,32,holdout|train,2,True
split_regime_based,34,train,1,False
split_regime_based,35,train,1,False
split_regime_based,36,train,1,False
split_regime_based,37,holdout|train|validation,3,True
split_regime_based,38,train,1,False
split_regime_based,40,train,1,False
split_regime_based,41,train,1,False
split_regime_based,44,train,1,False
split_regime_based,45,holdout,1,False
split_regime_based,47,holdout,1,False
split_regime_based,53,holdout,1,False
split_regime_based,60,train,1,False
split_regime_based,62,train,1,False
split_regime_based,63,train,1,False
split_regime_based,64,train,1,False
split_regime_based,65,train,1,False
split_regime_based,67,train,1,False
split_regime_based,69,train,1,False
split_time_based,1,holdout|train,2,True
split_time_based,2,holdout,1,False
split_time_based,3,holdout|train,2,True
split_time_based,4,holdout,1,False
split_time_based,5,train|validation,2,True
split_time_based,6,train|validation,2,True
split_time_based,7,holdout,1,False
split_time_based,8,validation,1,False
split_time_based,10,holdout|validation,2,True
split_time_based,11,train|validation,2,True
split_time_based,12,validation,1,False
split_time_based,13,train,1,False
split_time_based,15,holdout,1,False
split_time_based,18,train,1,False
split_time_based,19,train,1,False
split_time_based,20,train,1,False
split_time_based,21,train,1,False
split_time_based,22,train,1,False
split_time_based,23,holdout|train,2,True
split_time_based,24,train,1,False
split_time_based,25,train,1,False
split_time_based,27,train,1,False
split_time_based,28,train,1,False
split_time_based,29,train,1,False
split_time_based,30,train,1,False
split_time_based,31,train,1,False
split_time_based,32,train|validation,2,True
split_time_based,34,train,1,False
split_time_based,35,train,1,False
split_time_based,36,train,1,False
split_time_based,37,train,1,False
split_time_based,38,train,1,False
split_time_based,40,train,1,False
split_time_based,41,train,1,False
split_time_based,44,train,1,False
split_time_based,45,holdout,1,False
split_time_based,47,holdout,1,False
split_time_based,53,holdout,1,False
split_time_based,60,train,1,False
split_time_based,62,train,1,False
split_time_based,63,train,1,False
split_time_based,64,validation,1,False
split_time_based,65,train,1,False
split_time_based,67,train,1,False
split_time_based,69,holdout,1,False
split_substation_based,1,train,1,False
split_substation_based,2,train,1,False
split_substation_based,3,holdout|train,2,True
split_substation_based,4,train,1,False
split_substation_based,5,train,1,False
split_substation_based,6,holdout|validation,2,True
split_substation_based,7,holdout,1,False
split_substation_based,8,train,1,False
split_substation_based,10,train,1,False
split_substation_based,11,train,1,False
split_substation_based,12,holdout,1,False
split_substation_based,13,train|validation,2,True
split_substation_based,15,train,1,False
split_substation_based,18,train,1,False
split_substation_based,19,train,1,False
split_substation_based,20,train,1,False
split_substation_based,21,train,1,False
split_substation_based,22,train,1,False
split_substation_based,23,train,1,False
split_substation_based,24,train,1,False
split_substation_based,25,train,1,False
split_substation_based,27,train,1,False
split_substation_based,28,train,1,False
split_substation_based,29,train,1,False
split_substation_based,30,train,1,False
split_substation_based,31,train,1,False
split_substation_based,32,holdout|train,2,True
split_substation_based,34,train,1,False
split_substation_based,35,train,1,False
split_substation_based,36,train,1,False
split_substation_based,37,train,1,False
split_substation_based,38,train|validation,2,True
split_substation_based,40,train,1,False
split_substation_based,41,train,1,False
split_substation_based,44,train,1,False
