variant,split,row_count,normal_count,pre_fault_count,feature_count,event_feature_count,selected_high_threshold,roc_auc,average_precision,precision,recall,f1,false_positive_rate,tp,fp,fn,tn
guarded_no_event_context,train,1734,1262,472,129,0,0.3,0.9998489081092696,0.9995941785179709,0.9076923076923077,1.0,0.9516129032258065,0.03803486529318542,472,48,0,1214
guarded_no_event_context,validation,444,271,173,129,0,0.3,0.7155898726617325,0.6317561171379533,0.5619469026548672,0.7341040462427746,0.6365914786967418,0.36531365313653136,127,99,46,172
guarded_no_event_context,holdout,377,267,110,129,0,0.3,0.4468505277494042,0.31064124103308755,0.25357142857142856,0.6454545454545455,0.3641025641025641,0.7827715355805244,71,209,39,58
event_days_only,train,1734,1262,472,132,3,0.8,1.0,1.0,1.0,0.9915254237288136,0.9957446808510638,0.0,468,0,4,1262
event_days_only,validation,444,271,173,132,3,0.8,0.808843290745046,0.8158292524482352,0.8677685950413223,0.6069364161849711,0.7142857142857143,0.05904059040590406,105,16,68,255
event_days_only,holdout,377,267,110,132,3,0.8,0.5762342526387471,0.3296874385724574,0.31351351351351353,0.5272727272727272,0.39322033898305087,0.4756554307116105,58,127,52,140
event_flags_only,train,1734,1262,472,143,14,0.05,0.9999697816218539,0.9999187796875331,0.5192519251925193,1.0,0.6835626357711803,0.3462757527733756,472,437,0,825
event_flags_only,validation,444,271,173,143,14,0.05,0.610711771857603,0.5399644202360887,0.41,0.9479768786127167,0.5724258289703316,0.8708487084870848,164,236,9,35
event_flags_only,holdout,377,267,110,143,14,0.05,0.5487912836227443,0.3065852566391149,0.3,0.9545454545454546,0.45652173913043476,0.9176029962546817,105,245,5,22
event_fault_only,train,1734,1262,472,135,6,0.1,1.0,1.0,0.6629213483146067,1.0,0.7972972972972973,0.1901743264659271,472,240,0,1022
event_fault_only,validation,444,271,173,135,6,0.1,0.6434741804065439,0.5777588307157588,0.4214876033057851,0.884393063583815,0.5708955223880597,0.7749077490774908,153,210,20,61
event_fault_only,holdout,377,267,110,135,6,0.1,0.5,0.33447270827605946,0.2782874617737003,0.8272727272727273,0.41647597254004576,0.8838951310861424,91,236,19,31
event_task_any_only,train,1734,1262,472,140,11,0.75,1.0,1.0,1.0,0.9957627118644068,0.9978768577494692,0.0,470,0,2,1262
event_task_any_only,validation,444,271,173,140,11,0.75,0.7633470554358722,0.776366254487979,0.8773584905660378,0.5375722543352601,0.6666666666666666,0.04797047970479705,93,13,80,258
event_task_any_only,holdout,377,267,110,140,11,0.75,0.5441947565543072,0.28982845714605376,0.3230769230769231,0.5727272727272728,0.4131147540983607,0.4943820224719101,63,132,47,135
event_context_full,train,1734,1262,472,146,17,0.7,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,472,0,0,1262
event_context_full,validation,444,271,173,146,17,0.7,0.8124053494870208,0.8200319042417276,0.7808219178082192,0.6589595375722543,0.7147335423197492,0.11808118081180811,114,32,59,239
event_context_full,holdout,377,267,110,146,17,0.7,0.5627851549199864,0.32708310887918673,0.3076923076923077,0.5818181818181818,0.4025157232704403,0.5393258426966292,64,144,46,123
