variant,rank,feature,importance
guarded_no_event_context,1,p_net_supply_temperature__max,89
guarded_no_event_context,2,s_hc1_supply_temperature__min,75
guarded_no_event_context,3,s_dhw_upper_storage_temperature__max,72
guarded_no_event_context,4,hc1_supply_temperature_gap__max_abs,69
guarded_no_event_context,5,p_net_meter_heat_power__min,60
guarded_no_event_context,6,anomaly_score,55
guarded_no_event_context,7,p_net_meter_heat_power__max,53
guarded_no_event_context,8,p_net_return_temperature__max,48
guarded_no_event_context,9,s_dhw_supply_temperature__mean,42
guarded_no_event_context,10,s_hc1_supply_temperature_setpoint__max,42
guarded_no_event_context,11,p_net_return_temperature__mean,41
guarded_no_event_context,12,s_dhw_supply_temperature__std,39
guarded_no_event_context,13,p_net_supply_temperature__mean,38
guarded_no_event_context,14,network_temperature_gap__mean,38
guarded_no_event_context,15,p_hc1_return_temperature__mean,36
event_days_only,1,days_since_last_task_event,211
event_days_only,2,days_since_last_any_event,188
event_days_only,3,days_since_last_fault_event,115
event_days_only,4,p_net_supply_temperature__max,98
event_days_only,5,s_dhw_upper_storage_temperature__max,58
event_days_only,6,p_net_return_temperature__max,52
event_days_only,7,s_dhw_lower_storage_temperature__min,49
event_days_only,8,anomaly_score,47
event_days_only,9,p_net_meter_flow__std,44
event_days_only,10,network_temperature_gap__mean,42
event_days_only,11,p_net_meter_volume__delta,38
event_days_only,12,p_net_supply_temperature__mean,36
event_days_only,13,p_net_meter_flow__min,35
event_days_only,14,s_hc1_supply_temperature_setpoint__mean,35
event_days_only,15,hc1_supply_temperature_gap__max_abs,34
event_flags_only,1,p_net_supply_temperature__max,108
event_flags_only,2,has_previous_task_event,72
event_flags_only,3,s_hc1_supply_temperature__min,62
event_flags_only,4,hc1_supply_temperature_gap__max_abs,49
event_flags_only,5,recent_task_90d,48
event_flags_only,6,p_net_supply_temperature__mean,46
event_flags_only,7,s_hc1_supply_temperature__max,46
event_flags_only,8,p_net_return_temperature__mean,44
event_flags_only,9,p_net_return_temperature__max,43
event_flags_only,10,s_dhw_supply_temperature__min,43
event_flags_only,11,p_net_meter_heat_power__max,43
event_flags_only,12,anomaly_score,40
event_flags_only,13,network_temperature_gap__mean,39
event_flags_only,14,s_hc1_supply_temperature_setpoint__min,39
event_flags_only,15,network_temperature_gap__last,38
event_fault_only,1,days_since_last_fault_event,156
event_fault_only,2,p_net_supply_temperature__max,79
event_fault_only,3,s_hc1_supply_temperature__min,60
event_fault_only,4,hc1_supply_temperature_gap__max_abs,60
event_fault_only,5,s_dhw_upper_storage_temperature__max,58
event_fault_only,6,anomaly_score,51
event_fault_only,7,p_net_meter_heat_power__max,48
event_fault_only,8,p_net_supply_temperature__mean,47
event_fault_only,9,p_net_meter_flow__min,47
event_fault_only,10,p_net_meter_heat_power__min,46
event_fault_only,11,network_temperature_gap__mean,45
event_fault_only,12,p_net_supply_temperature__min,40
event_fault_only,13,outdoor_temperature__max,40
event_fault_only,14,s_dhw_supply_temperature__min,37
event_fault_only,15,s_dhw_supply_temperature__mean,37
event_task_any_only,1,days_since_last_task_event,203
event_task_any_only,2,days_since_last_any_event,194
event_task_any_only,3,p_net_supply_temperature__max,99
event_task_any_only,4,s_dhw_upper_storage_temperature__max,61
event_task_any_only,5,p_net_return_temperature__max,58
event_task_any_only,6,s_dhw_lower_storage_temperature__min,48
event_task_any_only,7,p_net_meter_volume__delta,47
event_task_any_only,8,p_net_supply_temperature__mean,46
event_task_any_only,9,s_hc1_supply_temperature_setpoint__mean,45
event_task_any_only,10,anomaly_score,43
event_task_any_only,11,p_net_meter_flow__std,42
event_task_any_only,12,s_hc1_supply_temperature__min,41
event_task_any_only,13,p_net_meter_flow__min,38
event_task_any_only,14,hc1_supply_temperature_gap__max_abs,38
event_task_any_only,15,s_hc1_supply_temperature_setpoint__min,36
event_context_full,1,days_since_last_task_event,213
event_context_full,2,days_since_last_any_event,170
event_context_full,3,days_since_last_fault_event,115
event_context_full,4,p_net_supply_temperature__max,90
event_context_full,5,p_net_return_temperature__max,63
event_context_full,6,s_dhw_upper_storage_temperature__max,58
event_context_full,7,anomaly_score,47
event_context_full,8,network_temperature_gap__mean,45
event_context_full,9,s_dhw_lower_storage_temperature__min,43
event_context_full,10,p_net_meter_flow__std,41
event_context_full,11,p_net_meter_volume__delta,40
event_context_full,12,p_net_supply_temperature__mean,38
event_context_full,13,p_hc1_return_temperature__mean,36
event_context_full,14,p_net_meter_flow__min,35
event_context_full,15,outdoor_temperature__min,35
