variant,label,substation_id,rows,risk_mean,risk_median,high_or_critical_count,selected_high_threshold
guarded_no_event_context,normal,11,28,0.9093783113677733,0.9436243145511523,28,0.3
guarded_no_event_context,normal,59,28,0.9007902783483862,0.9104561701656235,28,0.3
guarded_no_event_context,pre_fault,45,12,0.6959596969127682,0.7473981485542989,11,0.3
event_days_only,normal,11,28,0.9602163402803336,0.9622341628444371,28,0.8
event_days_only,normal,59,28,0.9287405031799839,0.9301203921009233,28,0.8
event_days_only,pre_fault,45,12,0.9059363113015563,0.9302709045557851,10,0.8
event_flags_only,normal,11,28,0.8107309014524461,0.8149790349725548,28,0.05
event_flags_only,normal,59,28,0.9671904116873693,0.9717477771473596,28,0.05
event_flags_only,pre_fault,45,12,0.8676498240070489,0.8616528592184026,12,0.05
event_fault_only,normal,11,28,0.8923762473041845,0.9456163483941915,28,0.1
event_fault_only,normal,59,28,0.869348628440684,0.882711033347056,28,0.1
event_fault_only,pre_fault,45,12,0.6757441222064666,0.6675763967939125,12,0.1
event_task_any_only,normal,11,28,0.9442945573062609,0.9594435100595948,28,0.75
event_task_any_only,normal,59,28,0.9866801106694538,0.9857337876606986,28,0.75
event_task_any_only,pre_fault,45,12,0.9610156816610891,0.9728765057643645,12,0.75
event_context_full,normal,11,28,0.9562304146928373,0.9637969344988178,28,0.7
event_context_full,normal,59,28,0.9450523212087114,0.9457595624883117,28,0.7
event_context_full,pre_fault,45,12,0.9193578252029533,0.9421560807608673,12,0.7
