feature,importance,rank
days_since_last_any_event,172,1
days_since_last_task_event,127,2
doy_sin,126,3
day_of_year,123,4
doy_cos,115,5
days_since_last_fault_event,86,6
anomaly_score,74,7
s_dhw_upper_storage_temperature__max,63,8
p_net_supply_temperature__mean,56,9
network_temperature_gap__mean,56,10
p_net_return_temperature__max,51,11
s_hc1_supply_temperature__min,45,12
p_net_supply_temperature__max,39,13
p_net_meter_flow__min,32,14
s_hc1_supply_temperature__max,31,15
p_net_meter_flow__std,31,16
p_net_meter_flow__max,30,17
p_net_meter_heat_power__max,27,18
s_dhw_lower_storage_temperature__min,27,19
s_dhw_lower_storage_temperature__max,26,20
s_hc1_supply_temperature_setpoint__max,24,21
network_temperature_gap__last,23,22
hc1_supply_temperature_gap__max_abs,22,23
s_dhw_supply_temperature__min,22,24
p_net_meter_flow__mean,22,25
s_dhw_upper_storage_temperature__mean,21,26
s_dhw_3-way_valve_status__dominant__is__aus,21,27
s_dhw_3-way_valve_status__dominant__is__missing,21,28
s_hc1_supply_temperature_setpoint__min,20,29
p_hc1_return_temperature__std,20,30
s_dhw_lower_storage_temperature__last,20,31
s_dhw_lower_storage_temperature__first,17,32
s_dhw_control_unit_mode__dominant__is__standby,17,33
p_net_return_temperature__mean,17,34
s_hc1_supply_temperature__mean,16,35
p_net_return_temperature__min,15,36
p_net_supply_temperature__min,15,37
s_dhw_upper_storage_temperature__last,14,38
p_net_supply_temperature__last,14,39
dhw_supply_temperature_gap__max_abs,14,40
p_hc1_return_temperature__mean,13,41
season_bucket__is__winter,13,42
network_temperature_gap__max_abs,13,43
hc1_supply_temperature_gap__mean,13,44
outdoor_temperature__min,12,45
outdoor_temperature__last,11,46
s_dhw_lower_storage_temperature__mean,11,47
p_net_meter_heat_power__min,11,48
p_net_return_temperature__std,11,49
p_net_meter_energy__delta,11,50
p_net_meter_flow__last,11,51
s_dhw_upper_storage_temperature__first,11,52
s_hc1_supply_temperature_setpoint__std,11,53
p_net_meter_flow__first,10,54
p_hc1_return_temperature__first,10,55
s_dhw_lower_storage_temperature__std,9,56
p_net_meter_energy__std,9,57
month,8,58
s_dhw_upper_storage_temperature__min,8,59
p_net_supply_temperature__first,8,60
outdoor_temperature__max,8,61
p_hc1_return_temperature__max,7,62
s_dhw_control_unit_mode__dominant__is__missing,7,63
p_net_supply_temperature__std,7,64
configuration_type__is__sh_dhw_with_sub_circuits,6,65
s_hc1_supply_temperature_setpoint__mean,6,66
s_hc1_supply_temperature__std,6,67
s_dhw_supply_temperature__mean,6,68
s_dhw_upper_storage_temperature__std,6,69
p_net_return_temperature__last,6,70
p_hc1_return_temperature__last,6,71
p_net_meter_heat_power__std,5,72
s_dhw_supply_temperature__last,5,73
hc1_supply_temperature_gap__last,5,74
s_dhw_supply_temperature__std,5,75
s_dhw_supply_temperature_setpoint__mean,5,76
p_net_meter_volume__delta,5,77
s_dhw_lower_storage_temperature__delta,4,78
p_net_meter_heat_power__first,4,79
p_net_meter_heat_power__last,4,80
