feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
days_since_last_fault_event,1752.0970659255981,86,event_context,3,6,0.029798932154974624,0.0010592068703365897,0.07638013925843079,0.011724012758300343,0.04642570020239704,0.0076496164947787776,-0.016626768047422413,0.029954439056033753,
doy_sin,952.1377466320992,126,cyclic_time,8,3,0.026752032228615642,0.004455162429652104,0.011685373880504224,0.006808667319830659,0.04063957500679479,0.012839402925060405,-0.013887542778179149,-0.028954201126290567,
s_dhw_upper_storage_temperature__max,1416.406848371029,63,sensor_numeric,5,8,0.006748915866119132,0.0027946770650578477,0.007504611302662945,0.009905152060327209,0.04019333900640086,0.01095199094503053,-0.03344442314028173,-0.032688727703737916,
p_net_return_temperature__max,475.77677541971207,51,sensor_numeric,17,11,0.012937306864899767,0.0022748284910053397,-0.005565085460239394,0.005288821281316131,0.03934390668324662,0.027050804904586962,-0.02640659981834685,-0.04490899214348601,
s_dhw_3-way_valve_status__dominant__is__aus,278.65741008520126,21,derived_one_hot,23,26,0.002115768732228873,0.0020866161776325665,0.017588039161495782,0.0058109043452007824,0.03819186100658524,0.01286063909264735,-0.03607609227435637,-0.020603821845089458,
anomaly_score,785.7093303799629,74,context,11,7,0.004373598710240556,0.0019763629986053314,0.015271674306269944,0.0032710628763941967,0.029377138274773607,0.007495831859640359,-0.02500353956453305,-0.014105463968503663,
s_dhw_supply_temperature__min,968.9131745696068,22,sensor_numeric,7,23,-0.002772979080720084,0.0017429928452996322,0.0005278968871920697,0.004907403087025543,0.02547750649864756,0.006608294535730279,-0.028250485579367646,-0.02494960961145549,holdout_only_signal
s_dhw_upper_storage_temperature__last,339.0175740122795,14,sensor_numeric,20,38,-0.00043121599541834366,0.0008510394297307472,0.0018248107903280242,0.0027380578761811965,0.024987812288536894,0.006105278225685793,-0.025419028283955238,-0.02316300149820887,holdout_only_signal
doy_cos,1306.883144378662,115,cyclic_time,6,5,0.013768618842715862,0.0033134117171970583,-0.003053941684591943,0.010120415666339797,0.022875576131019603,0.013321070944288926,-0.00910695728830374,-0.025929517815611546,
days_since_last_task_event,2035.5985557734966,127,event_context,2,2,-0.004125293568427146,0.003670079281264976,0.21797633721859827,0.016569173961860268,0.0180496776829887,0.009627576691840906,-0.022174971251415848,0.19992665953560956,holdout_only_signal
s_dhw_upper_storage_temperature__first,110.17851972579956,11,sensor_numeric,43,46,0.001922980032537891,0.0009057083747440596,0.0033590847383950908,0.0024220355429721225,0.01361801242236026,0.0013692799804378014,-0.01169503238982237,-0.01025892768396517,
s_dhw_3-way_valve_status__dominant__is__missing,191.8186566233635,21,derived_one_hot,31,26,-0.0024271482431810097,0.0010665225435599317,0.020903636312821217,0.006562582975929606,0.010735592909384662,0.007560297899941109,-0.01316274115256567,0.010168043403436555,holdout_only_signal
p_hc1_return_temperature__first,51.639290153980255,10,sensor_numeric,64,54,-0.0009668671147270546,0.0006329631057428971,-0.0024668435013262546,0.0008222811671087517,0.008475477557717114,0.004513125632633286,-0.009442344672444168,-0.010942321059043369,holdout_only_signal
