variant,dropped_feature_count,dropped_features,feature_count,split,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
baseline_v3,0,,189,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
baseline_v3,0,,189,validation,431,288,143,0.7866890054390054,0.8084312556909732,0.8174603174603174,0.7202797202797203,0.7657992565055762,0.0798611111111111
baseline_v3,0,,189,holdout,300,214,86,0.6356226907194088,0.38424250925003617,0.3717948717948718,0.3372093023255814,0.35365853658536583,0.22897196261682243
drop_day_of_year,1,day_of_year,188,train,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
drop_day_of_year,1,day_of_year,188,validation,431,288,143,0.785426379176379,0.7997167284146514,0.8015267175572519,0.7342657342657343,0.7664233576642335,0.09027777777777778
drop_day_of_year,1,day_of_year,188,holdout,300,214,86,0.658389480547707,0.38316006894002985,0.4,0.3023255813953488,0.3443708609271523,0.1822429906542056
drop_days_since_last_any_event,1,days_since_last_any_event,188,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_days_since_last_any_event,1,days_since_last_any_event,188,validation,431,288,143,0.7839452214452214,0.806233357123455,0.7686567164179104,0.7202797202797203,0.7436823104693141,0.1076388888888889
drop_days_since_last_any_event,1,days_since_last_any_event,188,holdout,300,214,86,0.6389371875679201,0.3617643583401783,0.3235294117647059,0.2558139534883721,0.2857142857142857,0.21495327102803738
drop_supply_temp_mean_max,2,p_net_supply_temperature__mean|p_net_supply_temperature__max,187,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_supply_temp_mean_max,2,p_net_supply_temperature__mean|p_net_supply_temperature__max,187,validation,431,288,143,0.7881216006216006,0.7879424577655294,0.7410071942446043,0.7202797202797203,0.7304964539007093,0.125
drop_supply_temp_mean_max,2,p_net_supply_temperature__mean|p_net_supply_temperature__max,187,holdout,300,214,86,0.6791458378613345,0.41273282370591485,0.3902439024390244,0.37209302325581395,0.38095238095238093,0.2336448598130841
drop_network_temp_gap_mean,1,network_temperature_gap__mean,188,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_network_temp_gap_mean,1,network_temperature_gap__mean,188,validation,431,288,143,0.7959887334887336,0.8222879711288646,0.824,0.7202797202797203,0.7686567164179104,0.0763888888888889
drop_network_temp_gap_mean,1,network_temperature_gap__mean,188,holdout,300,214,86,0.6259508802434253,0.3794608392715239,0.35714285714285715,0.3488372093023256,0.35294117647058826,0.2523364485981308
drop_top5_drift,5,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max|network_temperature_gap__mean,184,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_top5_drift,5,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max|network_temperature_gap__mean,184,validation,431,288,143,0.7941919191919191,0.8141992270415997,0.7744360902255639,0.7202797202797203,0.7463768115942029,0.10416666666666667
drop_top5_drift,5,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max|network_temperature_gap__mean,184,holdout,300,214,86,0.6508367746142143,0.410945388319685,0.3717948717948718,0.3372093023255814,0.35365853658536583,0.22897196261682243
drop_calendar_and_supply,3,day_of_year|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_calendar_and_supply,3,day_of_year|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,validation,431,288,143,0.7831925019425019,0.8171179503739645,0.7984496124031008,0.7202797202797203,0.7573529411764706,0.09027777777777778
drop_calendar_and_supply,3,day_of_year|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,holdout,300,214,86,0.6392632036513801,0.3816131495957605,0.4444444444444444,0.32558139534883723,0.37583892617449666,0.16355140186915887
drop_event_any_and_supply,3,days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_event_any_and_supply,3,days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,validation,431,288,143,0.7860819735819736,0.7879315094229613,0.7555555555555555,0.7132867132867133,0.7338129496402878,0.11458333333333333
drop_event_any_and_supply,3,days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,186,holdout,300,214,86,0.6517061508367747,0.38402772418191206,0.4342105263157895,0.38372093023255816,0.4074074074074074,0.20093457943925233
drop_day_any_supply,4,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,185,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
drop_day_any_supply,4,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,185,validation,431,288,143,0.7615578865578867,0.7527439847937121,0.7285714285714285,0.7132867132867133,0.7208480565371025,0.13194444444444445
drop_day_any_supply,4,day_of_year|days_since_last_any_event|p_net_supply_temperature__mean|p_net_supply_temperature__max,185,holdout,300,214,86,0.6287220169528364,0.3792967914201695,0.44,0.38372093023255816,0.40993788819875776,0.19626168224299065
