split,scope,metric_type,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
train,overall,base,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
train,overall,calibrated,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
train,manufacturer_2_sh,base,290,181,109,1.0,1.0,1.0,1.0,1.0,0.0
train,manufacturer_2_sh,calibrated,290,181,109,1.0,1.0,1.0,1.0,1.0,0.0
validation,overall,base,431,288,143,0.7569201631701631,0.7573243086957299,0.7050359712230215,0.6853146853146853,0.6950354609929078,0.1423611111111111
validation,overall,calibrated,431,288,143,0.7569201631701631,0.7573243086957299,0.6372549019607843,0.45454545454545453,0.5306122448979592,0.1284722222222222
validation,manufacturer_2_sh,base,84,33,51,0.7165775401069518,0.8201872259706184,0.8947368421052632,0.6666666666666666,0.7640449438202247,0.12121212121212122
validation,manufacturer_2_sh,calibrated,84,33,51,0.7165775401069518,0.8201872259706184,1.0,0.0196078431372549,0.038461538461538464,0.0
holdout,overall,base,300,214,86,0.7270702021299719,0.5485095978547113,0.5454545454545454,0.4883720930232558,0.5153374233128835,0.16355140186915887
holdout,overall,calibrated,300,214,86,0.7270702021299719,0.5485095978547113,0.5540540540540541,0.47674418604651164,0.5125,0.1542056074766355
holdout,manufacturer_2_sh,base,65,53,12,0.8852201257861636,0.7504598915589629,0.75,0.5,0.6,0.03773584905660377
holdout,manufacturer_2_sh,calibrated,65,53,12,0.8852201257861636,0.7504598915589629,1.0,0.4166666666666667,0.5882352941176471,0.0
