category,count,rank_column
heat_meter,34,top1_category
temperature_gap,24,top1_category
temperature,12,top1_category
control_state,9,top1_category
data_quality,1,top1_category
heat_meter,41,top2_category
temperature_gap,22,top2_category
temperature,14,top2_category
data_quality,2,top2_category
control_state,1,top2_category
heat_meter,37,top3_category
temperature,26,top3_category
temperature_gap,8,top3_category
data_quality,8,top3_category
control_state,1,top3_category
heat_meter,41,top4_category
temperature,30,top4_category
temperature_gap,4,top4_category
flow,3,top4_category
control_state,1,top4_category
data_quality,1,top4_category
heat_meter,38,top5_category
temperature,28,top5_category
temperature_gap,6,top5_category
flow,6,top5_category
other_sensor_or_context,1,top5_category
data_quality,1,top5_category
