split,policy,row_count,normal_rows,pseudo_clean_rows,normal_false_rows,pseudo_clean_false_rows,normal_false_row_rate,pseudo_clean_false_row_rate,false_positive_episodes
holdout,iforest_point,394,261,251,0,0,0.0,0.0,0
holdout,mahalanobis_point,394,261,251,22,22,0.0842911877394636,0.08764940239043825,12
holdout,ensemble_any,394,261,251,22,22,0.0842911877394636,0.08764940239043825,12
holdout,ensemble_strong,394,261,251,0,0,0.0,0.0,0
holdout,ensemble_criticality,394,261,251,0,0,0.0,0.0,0
holdout,raw_ae_q999_c32,394,261,251,0,0,0.0,0.0,0
holdout,raw_ae_union,394,261,251,0,0,0.0,0.0,0
holdout,ensemble_criticality_and_raw_ae,394,261,251,0,0,0.0,0.0,0
holdout,ensemble_criticality_or_raw_ae,394,261,251,0,0,0.0,0.0,0
train,iforest_point,1770,1263,1263,16,16,0.012668250197941409,0.012668250197941409,11
train,mahalanobis_point,1770,1263,1263,13,13,0.010292953285827395,0.010292953285827395,11
train,ensemble_any,1770,1263,1263,25,25,0.01979414093428345,0.01979414093428345,19
train,ensemble_strong,1770,1263,1263,4,4,0.003167062549485352,0.003167062549485352,3
train,ensemble_criticality,1770,1263,1263,44,44,0.03483768804433888,0.03483768804433888,2
train,raw_ae_q999_c32,1770,1263,1263,0,0,0.0,0.0,0
train,raw_ae_union,1770,1263,1263,0,0,0.0,0.0,0
train,ensemble_criticality_and_raw_ae,1770,1263,1263,0,0,0.0,0.0,0
train,ensemble_criticality_or_raw_ae,1770,1263,1263,44,44,0.03483768804433888,0.03483768804433888,2
validation,iforest_point,362,243,240,0,0,0.0,0.0,0
validation,mahalanobis_point,362,243,240,5,5,0.0205761316872428,0.020833333333333332,4
validation,ensemble_any,362,243,240,5,5,0.0205761316872428,0.020833333333333332,4
validation,ensemble_strong,362,243,240,0,0,0.0,0.0,0
validation,ensemble_criticality,362,243,240,0,0,0.0,0.0,0
validation,raw_ae_q999_c32,362,243,240,0,0,0.0,0.0,0
validation,raw_ae_union,362,243,240,28,28,0.11522633744855967,0.11666666666666667,1
validation,ensemble_criticality_and_raw_ae,362,243,240,0,0,0.0,0.0,0
validation,ensemble_criticality_or_raw_ae,362,243,240,0,0,0.0,0.0,0
