split,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,method
train,1770,1263,507,0.6069156902337973,0.47599252497765965,0.7706422018348624,0.16568047337278108,0.2727272727272727,0.01979414093428345,multi_window_1h
train,1770,1263,507,0.6204303644464434,0.49997023144018193,0.8095238095238095,0.20118343195266272,0.3222748815165877,0.019002375296912115,multi_window_3h
train,1770,1263,507,0.7828204035037583,0.70225647171367,0.8903508771929824,0.40039447731755423,0.5523809523809524,0.01979414093428345,multi_window_6h
train,1770,1263,507,0.6452655694387834,0.5430332552586248,0.8482758620689655,0.24260355029585798,0.3773006134969325,0.01741884402216944,multi_window_12h
train,1770,1263,507,0.8706025383350434,0.78313909768483,0.8939393939393939,0.23274161735700197,0.36932707355242567,0.011084718923198733,multi_window_operational_confirmed
train,1770,1263,507,0.8232066976813917,0.7348910657706942,0.9386792452830188,0.39250493096646943,0.5535465924895688,0.010292953285827395,group_mahalanobis_global
train,1770,1263,507,0.9187823362864472,0.862606242032125,0.94921875,0.47928994082840237,0.6369593709043251,0.010292953285827395,group_mahalanobis_manufacturer
train,1770,1263,507,0.9514664842638532,0.9299739442087331,0.9594272076372315,0.7928994082840237,0.8682505399568035,0.013460015835312747,group_mahalanobis_configuration
validation,362,243,119,0.5311408514022893,0.3793440500912705,0.6666666666666666,0.03361344537815126,0.064,0.00823045267489712,multi_window_1h
validation,362,243,119,0.5758550333713732,0.4313069035802824,0.75,0.05042016806722689,0.09448818897637795,0.00823045267489712,multi_window_3h
validation,362,243,119,0.5183110281149497,0.3694881559870742,0.5833333333333334,0.058823529411764705,0.10687022900763359,0.0205761316872428,multi_window_6h
validation,362,243,119,0.6163502438012243,0.42309792104574107,0.36363636363636365,0.03361344537815126,0.06153846153846154,0.02880658436213992,multi_window_12h
validation,362,243,119,0.4936369609572224,0.39195448861334287,0.375,0.025210084033613446,0.047244094488188976,0.0205761316872428,multi_window_operational_confirmed
validation,362,243,119,0.4605249507210292,0.3471098909893535,0.5833333333333334,0.058823529411764705,0.10687022900763359,0.0205761316872428,group_mahalanobis_global
validation,362,243,119,0.37237611093820244,0.3040861687148218,0.1518987341772152,0.10084033613445378,0.12121212121212122,0.2757201646090535,group_mahalanobis_manufacturer
validation,362,243,119,0.5677974893661168,0.3871500931593862,0.3566666666666667,0.8991596638655462,0.5107398568019093,0.7942386831275721,group_mahalanobis_configuration
holdout,394,261,133,0.6400483968542044,0.5660589727189578,0.7083333333333334,0.2556390977443609,0.3756906077348066,0.05363984674329502,multi_window_1h
holdout,394,261,133,0.5906432748538012,0.5542254328248409,0.6666666666666666,0.2706766917293233,0.3850267379679144,0.06896551724137931,multi_window_3h
holdout,394,261,133,0.6697202777057586,0.6153622408127448,0.6271186440677966,0.2781954887218045,0.3854166666666667,0.0842911877394636,multi_window_6h
holdout,394,261,133,0.6027136807536082,0.5793261378742454,0.6323529411764706,0.3233082706766917,0.42786069651741293,0.09578544061302682,multi_window_12h
holdout,394,261,133,0.5821162100653934,0.4919209346106729,0.6792452830188679,0.2706766917293233,0.3870967741935484,0.06513409961685823,multi_window_operational_confirmed
holdout,394,261,133,0.6496989600437876,0.6005061044456143,0.6271186440677966,0.2781954887218045,0.3854166666666667,0.0842911877394636,group_mahalanobis_global
holdout,394,261,133,0.6079854809437386,0.5802815717992937,0.3905325443786982,0.49624060150375937,0.4370860927152318,0.3946360153256705,group_mahalanobis_manufacturer
holdout,394,261,133,0.7059026877538674,0.7310987098048213,0.3323076923076923,0.8120300751879699,0.47161572052401746,0.8314176245210728,group_mahalanobis_configuration
