model,split,metric,value
previous_promoted_risk,holdout,roc_auc,0.7270702021299719
previous_promoted_risk,holdout,average_precision,0.5485095978547113
previous_promoted_risk,holdout,precision,0.5540540540540541
previous_promoted_risk,holdout,recall,0.4767441860465116
previous_promoted_risk,holdout,f1,0.5125
previous_promoted_risk,holdout,false_positive_rate,0.1542056074766355
best_risk_event_temporal,holdout,roc_auc,0.9215116279069768
best_risk_event_temporal,holdout,average_precision,0.7929006145214028
best_risk_event_temporal,holdout,precision,0.875
best_risk_event_temporal,holdout,recall,0.5697674418604651
best_risk_event_temporal,holdout,f1,0.6901408450704225
best_risk_event_temporal,holdout,false_positive_rate,0.0327102803738317
best_risk_event_temporal,holdout,total_fault_events,10.0
best_risk_event_temporal,holdout,detected_fault_events,9.0
best_risk_event_temporal,holdout,event_recall,0.9
best_risk_event_temporal,holdout,median_lead_time_hours,28.0
best_risk_event_temporal,holdout,false_positive_rows,7.0
best_risk_event_temporal,holdout,false_positive_episodes,3.0
previous_promoted_leadtime,holdout,accuracy,0.6511627906976745
previous_promoted_leadtime,holdout,macro_f1,0.4405430711610487
previous_promoted_leadtime,holdout,weighted_f1,0.6431767703161746
previous_promoted_leadtime,holdout,top2_accuracy,0.9651162790697676
previous_promoted_leadtime,holdout,bucket_distance_mae,0.3837209302325581
best_leadtime,holdout,accuracy,0.7325581395348837
best_leadtime,holdout,macro_f1,0.4957264957264957
best_leadtime,holdout,weighted_f1,0.7215265354800239
best_leadtime,holdout,top2_accuracy,0.9651162790697676
best_leadtime,holdout,bucket_distance_mae,0.2906976744186046
