variant,split,actual_bucket,predicted_bucket,count
A0_full_current,train,0-24h,0-24h,137
A0_full_current,train,0-24h,1-3d,0
A0_full_current,train,0-24h,3-7d,0
A0_full_current,train,1-3d,0-24h,0
A0_full_current,train,1-3d,1-3d,234
A0_full_current,train,1-3d,3-7d,0
A0_full_current,train,3-7d,0-24h,0
A0_full_current,train,3-7d,1-3d,0
A0_full_current,train,3-7d,3-7d,36
A0_full_current,validation,0-24h,0-24h,9
A0_full_current,validation,0-24h,1-3d,30
A0_full_current,validation,0-24h,3-7d,0
A0_full_current,validation,1-3d,0-24h,1
A0_full_current,validation,1-3d,1-3d,73
A0_full_current,validation,1-3d,3-7d,0
A0_full_current,validation,3-7d,0-24h,8
A0_full_current,validation,3-7d,1-3d,22
A0_full_current,validation,3-7d,3-7d,0
A0_full_current,holdout,0-24h,0-24h,21
A0_full_current,holdout,0-24h,1-3d,14
A0_full_current,holdout,0-24h,3-7d,0
A0_full_current,holdout,1-3d,0-24h,10
A0_full_current,holdout,1-3d,1-3d,38
A0_full_current,holdout,1-3d,3-7d,0
A0_full_current,holdout,3-7d,0-24h,3
A0_full_current,holdout,3-7d,1-3d,0
A0_full_current,holdout,3-7d,3-7d,0
A1_no_onehot,train,0-24h,0-24h,137
A1_no_onehot,train,0-24h,1-3d,0
A1_no_onehot,train,0-24h,3-7d,0
A1_no_onehot,train,1-3d,0-24h,0
A1_no_onehot,train,1-3d,1-3d,234
A1_no_onehot,train,1-3d,3-7d,0
A1_no_onehot,train,3-7d,0-24h,0
A1_no_onehot,train,3-7d,1-3d,0
A1_no_onehot,train,3-7d,3-7d,36
A1_no_onehot,validation,0-24h,0-24h,9
A1_no_onehot,validation,0-24h,1-3d,30
A1_no_onehot,validation,0-24h,3-7d,0
A1_no_onehot,validation,1-3d,0-24h,1
A1_no_onehot,validation,1-3d,1-3d,73
A1_no_onehot,validation,1-3d,3-7d,0
A1_no_onehot,validation,3-7d,0-24h,8
A1_no_onehot,validation,3-7d,1-3d,22
A1_no_onehot,validation,3-7d,3-7d,0
A1_no_onehot,holdout,0-24h,0-24h,19
A1_no_onehot,holdout,0-24h,1-3d,16
A1_no_onehot,holdout,0-24h,3-7d,0
A1_no_onehot,holdout,1-3d,0-24h,10
A1_no_onehot,holdout,1-3d,1-3d,38
A1_no_onehot,holdout,1-3d,3-7d,0
A1_no_onehot,holdout,3-7d,0-24h,3
A1_no_onehot,holdout,3-7d,1-3d,0
A1_no_onehot,holdout,3-7d,3-7d,0
A2_no_sensor_horizon,train,0-24h,0-24h,137
A2_no_sensor_horizon,train,0-24h,1-3d,0
A2_no_sensor_horizon,train,0-24h,3-7d,0
A2_no_sensor_horizon,train,1-3d,0-24h,0
A2_no_sensor_horizon,train,1-3d,1-3d,234
A2_no_sensor_horizon,train,1-3d,3-7d,0
A2_no_sensor_horizon,train,3-7d,0-24h,0
A2_no_sensor_horizon,train,3-7d,1-3d,0
A2_no_sensor_horizon,train,3-7d,3-7d,36
A2_no_sensor_horizon,validation,0-24h,0-24h,8
A2_no_sensor_horizon,validation,0-24h,1-3d,31
A2_no_sensor_horizon,validation,0-24h,3-7d,0
