variant,category,feature_count,importance_sum,importance_mean
A0_full_current,sensor_horizon,120,2187.0,18.225
A0_full_current,base_sensor_or_state,119,1498.0,12.588235294117647
A0_full_current,timeflow,60,1025.0,17.083333333333332
A0_full_current,one_hot,44,1.0,0.022727272727272728
A0_full_current,risk_horizon,23,416.0,18.08695652173913
A0_full_current,anomaly_context,14,104.0,7.428571428571429
A0_full_current,time_context,12,263.0,21.916666666666668
A0_full_current,base_context,8,92.0,11.5
A0_full_current,risk_episode,6,111.0,18.5
A0_full_current,risk_context,4,85.0,21.25
A0_full_current,encoded_context_code,2,4.0,2.0
A1_no_onehot,sensor_horizon,120,2160.0,18.0
A1_no_onehot,base_sensor_or_state,119,1525.0,12.815126050420169
A1_no_onehot,timeflow,60,974.0,16.233333333333334
A1_no_onehot,risk_horizon,23,440.0,19.130434782608695
A1_no_onehot,anomaly_context,14,123.0,8.785714285714286
A1_no_onehot,time_context,12,231.0,19.25
A1_no_onehot,base_context,8,77.0,9.625
A1_no_onehot,risk_episode,6,109.0,18.166666666666668
A1_no_onehot,risk_context,4,88.0,22.0
A1_no_onehot,encoded_context_code,2,6.0,3.0
A2_no_sensor_horizon,base_sensor_or_state,119,2597.0,21.823529411764707
A2_no_sensor_horizon,timeflow,60,1889.0,31.483333333333334
A2_no_sensor_horizon,one_hot,44,13.0,0.29545454545454547
A2_no_sensor_horizon,risk_horizon,23,550.0,23.91304347826087
A2_no_sensor_horizon,anomaly_context,14,277.0,19.785714285714285
A2_no_sensor_horizon,time_context,12,549.0,45.75
A2_no_sensor_horizon,base_context,8,111.0,13.875
A2_no_sensor_horizon,risk_episode,6,145.0,24.166666666666668
A2_no_sensor_horizon,risk_context,4,88.0,22.0
A2_no_sensor_horizon,encoded_context_code,2,6.0,3.0
A3_no_timeflow,sensor_horizon,120,2635.0,21.958333333333332
A3_no_timeflow,base_sensor_or_state,119,2040.0,17.142857142857142
A3_no_timeflow,one_hot,44,2.0,0.045454545454545456
A3_no_timeflow,risk_horizon,23,429.0,18.652173913043477
