split,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae,variant,description,feature_count,train_precision_0_24h,train_recall_0_24h,train_f1_0_24h,train_support_0_24h,train_precision_1_3d,train_recall_1_3d,train_f1_1_3d,train_support_1_3d,train_precision_3_7d,train_recall_3_7d,train_f1_3_7d,train_support_3_7d,validation_precision_0_24h,validation_recall_0_24h,validation_f1_0_24h,validation_support_0_24h,validation_precision_1_3d,validation_recall_1_3d,validation_f1_1_3d,validation_support_1_3d,validation_precision_3_7d,validation_recall_3_7d,validation_f1_3_7d,validation_support_3_7d,holdout_precision_0_24h,holdout_recall_0_24h,holdout_f1_0_24h,holdout_support_0_24h,holdout_precision_1_3d,holdout_recall_1_3d,holdout_f1_1_3d,holdout_support_1_3d,holdout_precision_3_7d,holdout_recall_3_7d,holdout_f1_3_7d,holdout_support_3_7d
train,407,1.0,1.0,1.0,1.0,0.0,A0_full_current,현재 412개 feature 전체,412,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5734265734265734,0.3498192717975844,0.46578494237843615,0.8181818181818182,0.4825174825174825,A0_full_current,현재 412개 feature 전체,412,,,,,,,,,,,,,0.5,0.23076923076923078,0.3157894736842105,39.0,0.584,0.9864864864864865,0.7336683417085427,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.686046511627907,0.45623188405797105,0.6719110212335693,0.9651162790697675,0.3488372093023256,A0_full_current,현재 412개 feature 전체,412,,,,,,,,,,,,,,,,,,,,,,,,,0.6176470588235294,0.6,0.6086956521739131,35.0,0.7307692307692307,0.7916666666666666,0.76,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A1_no_onehot,원핫/context one-hot feature 제거,368,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5734265734265734,0.3498192717975844,0.46578494237843615,0.8041958041958042,0.4825174825174825,A1_no_onehot,원핫/context one-hot feature 제거,368,,,,,,,,,,,,,0.5,0.23076923076923078,0.3157894736842105,39.0,0.584,0.9864864864864865,0.7336683417085427,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.6627906976744186,0.4374207394400546,0.6466913040815077,0.9651162790697675,0.37209302325581395,A1_no_onehot,원핫/context one-hot feature 제거,368,,,,,,,,,,,,,,,,,,,,,,,,,0.59375,0.5428571428571428,0.5671641791044776,35.0,0.7037037037037037,0.7916666666666666,0.7450980392156863,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A2_no_sensor_horizon,24h/3d/7d sensor rolling feature 제거,292,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5664335664335665,0.3385714285714285,0.4556843156843156,0.7622377622377622,0.48951048951048953,A2_no_sensor_horizon,24h/3d/7d sensor rolling feature 제거,292,,,,,,,,,,,,,0.47058823529411764,0.20512820512820512,0.2857142857142857,39.0,0.5793650793650794,0.9864864864864865,0.73,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.6395348837209303,0.41459518818009383,0.6174247964506849,0.9418604651162791,0.3953488372093023,A2_no_sensor_horizon,24h/3d/7d sensor rolling feature 제거,292,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.45714285714285713,0.5079365079365079,35.0,0.6724137931034483,0.8125,0.7358490566037735,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A3_no_timeflow,lag/delta/roll3 timeflow feature 제거,352,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5664335664335665,0.3458725182863114,0.4609904202380692,0.8181818181818182,0.48951048951048953,A3_no_timeflow,lag/delta/roll3 timeflow feature 제거,352,,,,,,,,,,,,,0.47368421052631576,0.23076923076923078,0.3103448275862069,39.0,0.5806451612903226,0.972972972972973,0.7272727272727273,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.7093023255813954,0.47256038647342996,0.6948702392989551,0.9534883720930233,0.32558139534883723,A3_no_timeflow,lag/delta/roll3 timeflow feature 제거,352,,,,,,,,,,,,,,,,,,,,,,,,,0.6470588235294118,0.6285714285714286,0.6376811594202898,35.0,0.75,0.8125,0.78,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A4_no_risk_horizon_episode,risk horizon 24h/3d/7d + 48h episode feature 제거,383,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.6013986013986014,0.4406166136179242,0.5403246818712087,0.8041958041958042,0.5244755244755245,A4_no_risk_horizon_episode,risk horizon 24h/3d/7d + 48h episode feature 제거,383,,,,,,,,,,,,,0.45714285714285713,0.8205128205128205,0.5871559633027523,39.0,0.7397260273972602,0.7297297297297297,0.7346938775510204,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.7325581395348837,0.49572649572649574,0.7215265354800239,0.9651162790697675,0.29069767441860467,A4_no_risk_horizon_episode,risk horizon 24h/3d/7d + 48h episode feature 제거,383,,,,,,,,,,,,,,,,,,,,,,,,,0.6511627906976745,0.8,0.717948717948718,35.0,0.813953488372093,0.7291666666666666,0.7692307692307693,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A5_no_raw_ae_context,raw AE 직접/lag/alarm feature 제거,393,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5594405594405595,0.34196564283460956,0.4562126336194993,0.8251748251748252,0.4965034965034965,A5_no_raw_ae_context,raw AE 직접/lag/alarm feature 제거,393,,,,,,,,,,,,,0.45,0.23076923076923078,0.3050847457627119,39.0,0.5772357723577236,0.9594594594594594,0.7208121827411168,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.7093023255813954,0.4744658426750982,0.6965179783017039,0.9651162790697675,0.32558139534883723,A5_no_raw_ae_context,raw AE 직접/lag/alarm feature 제거,393,,,,,,,,,,,,,,,,,,,,,,,,,0.6388888888888888,0.6571428571428571,0.647887323943662,35.0,0.76,0.7916666666666666,0.7755102040816326,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A6_no_anomaly_context,anomaly/iforest/mahalanobis feature 제거,383,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5664335664335665,0.3385714285714285,0.4556843156843156,0.7972027972027972,0.48951048951048953,A6_no_anomaly_context,anomaly/iforest/mahalanobis feature 제거,383,,,,,,,,,,,,,0.47058823529411764,0.20512820512820512,0.2857142857142857,39.0,0.5793650793650794,0.9864864864864865,0.73,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.6744186046511628,0.4469035138807998,0.6593842694802997,0.9534883720930233,0.36046511627906974,A6_no_anomaly_context,anomaly/iforest/mahalanobis feature 제거,383,,,,,,,,,,,,,,,,,,,,,,,,,0.6060606060606061,0.5714285714285714,0.5882352941176471,35.0,0.7169811320754716,0.7916666666666666,0.7524752475247525,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A7_base_plus_risk_only,기본 baseline feature + 최소 risk context만 사용,189,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.45454545454545453,0.3331691297208539,0.4159495676737056,0.7902097902097902,0.6853146853146853,A7_base_plus_risk_only,기본 baseline feature + 최소 risk context만 사용,189,,,,,,,,,,,,,0.3116883116883117,0.6153846153846154,0.41379310344827586,39.0,0.6212121212121212,0.5540540540540541,0.5857142857142857,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.627906976744186,0.4207681365576102,0.6187468986734593,0.9651162790697675,0.4069767441860465,A7_base_plus_risk_only,기본 baseline feature + 최소 risk context만 사용,189,,,,,,,,,,,,,,,,,,,,,,,,,0.5384615384615384,0.6,0.5675675675675675,35.0,0.7021276595744681,0.6875,0.6947368421052632,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A8_top50,full 모델 중요도 상위 50개 feature만 사용,50,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5594405594405595,0.3269712045831449,0.44530431124732345,0.7902097902097902,0.4965034965034965,A8_top50,full 모델 중요도 상위 50개 feature만 사용,50,,,,,,,,,,,,,0.4375,0.1794871794871795,0.2545454545454545,39.0,0.5748031496062992,0.9864864864864865,0.7263681592039801,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.6627906976744186,0.43787388447582626,0.6461510567403546,0.9534883720930233,0.36046511627906974,A8_top50,full 모델 중요도 상위 50개 feature만 사용,50,,,,,,,,,,,,,,,,,,,,,,,,,0.6129032258064516,0.5428571428571428,0.5757575757575758,35.0,0.6909090909090909,0.7916666666666666,0.7378640776699029,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A8_top100,full 모델 중요도 상위 100개 feature만 사용,100,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5734265734265734,0.3498192717975844,0.46578494237843615,0.7902097902097902,0.4825174825174825,A8_top100,full 모델 중요도 상위 100개 feature만 사용,100,,,,,,,,,,,,,0.5,0.23076923076923078,0.3157894736842105,39.0,0.584,0.9864864864864865,0.7336683417085427,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.686046511627907,0.4539069359086918,0.6697837760581498,0.9534883720930233,0.3488372093023256,A8_top100,full 모델 중요도 상위 100개 feature만 사용,100,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.5714285714285714,0.5970149253731343,35.0,0.7222222222222222,0.8125,0.7647058823529411,48.0,0.0,0.0,0.0,3.0
train,407,1.0,1.0,1.0,1.0,0.0,A8_top150,full 모델 중요도 상위 150개 feature만 사용,150,1.0,1.0,1.0,137.0,1.0,1.0,1.0,234.0,1.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
validation,143,0.5664335664335665,0.3385714285714285,0.4556843156843156,0.7972027972027972,0.48951048951048953,A8_top150,full 모델 중요도 상위 150개 feature만 사용,150,,,,,,,,,,,,,0.47058823529411764,0.20512820512820512,0.2857142857142857,39.0,0.5793650793650794,0.9864864864864865,0.73,74.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,
holdout,86,0.6744186046511628,0.44434637638521135,0.6569887176118832,0.9651162790697675,0.36046511627906974,A8_top150,full 모델 중요도 상위 150개 feature만 사용,150,,,,,,,,,,,,,,,,,,,,,,,,,0.6129032258064516,0.5428571428571428,0.5757575757575758,35.0,0.7090909090909091,0.8125,0.7572815533980582,48.0,0.0,0.0,0.0,3.0
