split,actual_bucket,predicted_bucket,count
train,0-24h,0-24h,137
train,0-24h,1-3d,0
train,0-24h,3-7d,0
train,1-3d,0-24h,0
train,1-3d,1-3d,234
train,1-3d,3-7d,0
train,3-7d,0-24h,0
train,3-7d,1-3d,0
train,3-7d,3-7d,36
validation,0-24h,0-24h,35
validation,0-24h,1-3d,4
validation,0-24h,3-7d,0
validation,1-3d,0-24h,20
validation,1-3d,1-3d,54
validation,1-3d,3-7d,0
validation,3-7d,0-24h,20
validation,3-7d,1-3d,10
validation,3-7d,3-7d,0
holdout,0-24h,0-24h,27
holdout,0-24h,1-3d,8
holdout,0-24h,3-7d,0
holdout,1-3d,0-24h,14
holdout,1-3d,1-3d,34
holdout,1-3d,3-7d,0
holdout,3-7d,0-24h,3
holdout,3-7d,1-3d,0
holdout,3-7d,3-7d,0
