feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
outdoor_temperature__mean__roll3d_mean,causal_temporal,172.0,0.0,0.0,2346,-4.49988425925926,8.592066936728394,28.308564814814815,0.024339891818270985,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll24h_delta,causal_temporal,149.0,0.0,0.20702794242167655,1845,-4864000.0,0.0,1201194.4444444445,0.14197537765352922,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__mean__roll7d_slope,causal_temporal,145.0,0.0,0.1392887383573243,570,-10.8888888888889,0.0,5.28888888888889,-0.03168513407708695,must be computed using only data available at or before window_end
outdoor_temperature__std__roll24h_mean,causal_temporal,125.0,0.0,0.003810330228619814,2352,0.0,0.6121545234103074,4.177605787353724,-0.07231713076276544,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll7d_slope,causal_temporal,121.0,0.0,0.07324301439458086,1367,-28.444444444444457,0.0,9.261111111111106,0.05274760250867833,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll3d_slope,causal_temporal,107.0,0.0,0.05292125317527519,1353,-28.444444444444457,1.2634990994069629e-15,9.261111111111106,0.04984677068458579,must be computed using only data available at or before window_end
risk_probability_roll8_mean__lag2,risk_derived,102.0,0.0,0.0,2125,0.0014261126168904,0.0417775713573485,0.9973167149623438,0.07731212019884115,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll24h_mean,causal_temporal,101.0,0.0,0.0,814,-50.425000000000004,0.5499999999999972,31.365000000000002,0.08115082439530426,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__mean__roll3d_slope,causal_temporal,101.0,0.0,0.10287891617273497,524,-10.8888888888889,2.5269981988139257e-15,5.28888888888889,-0.03172665392639504,must be computed using only data available at or before window_end
outdoor_temperature__std__roll3d_slope,causal_temporal,98.0,0.0,0.0558848433530906,2231,-2.243744428678278,0.0011974841265804314,6.687621449587722,0.024153644449830588,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll3d_mean,causal_temporal,94.0,0.0,0.0029635901778154107,2105,-43.85000000000001,0.1299999999999994,43.5125,0.006645685843483678,must be computed using only data available at or before window_end
network_temperature_gap__last__roll24h_mean,causal_temporal,93.0,0.0,0.0046570702794242165,1142,-1.0,41.0,63.0,-0.004457579150727814,must be computed using only data available at or before window_end
raw_ae_roll5d_cmax_q998__lag1,raw_ae_derived,90.0,0.0,0.5948348856900931,93,0.0,0.0,720.0,0.16146707893992152,must be computed using only data available at or before window_end
p_net_supply_temperature__delta,causal_temporal,87.0,0.0,0.16257408975444537,574,-44.0,0.0,53.0,0.051486374606388684,must be computed using only data available at or before window_end
extreme_change_count,context_or_other,86.0,0.0,0.14817950889077053,65,0.0,10.0,70.0,-0.1357124958950111,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll3d_slope,causal_temporal,85.0,0.0,0.09906858594411516,1195,-21.499999999999993,-4.935543357058449e-18,59.16999999999999,0.031999625893758085,must be computed using only data available at or before window_end
doy_sin,time_calendar,79.0,0.0,0.0,238,-0.99996316124771,0.1369060579234757,0.99996316124771,-0.1633273487902083,must be computed using only data available at or before window_end
outdoor_temperature__std__roll24h_delta,causal_temporal,77.0,0.0,0.20745131244707873,1873,-5.8090756841839735,0.0,6.583403060386342,0.0063347090783809155,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll24h_delta,causal_temporal,74.0,0.0,0.2222692633361558,1037,-49.0,0.0,44.85,-0.06609401014262781,must be computed using only data available at or before window_end
dow_sin,time_calendar,74.0,0.0,0.15029635901778154,7,-0.9749279121818236,0.0,0.9749279121818236,-0.018936633734375524,must be computed using only data available at or before window_end
risk_probability_roll4_max__lag1,risk_derived,70.0,0.0,0.0,1025,0.0015068382051977,0.0564607949642969,0.997570688789836,0.041197912673261186,must be computed using only data available at or before window_end
iforest_anomaly_score__roll3_mean,anomaly_derived,67.0,0.0,0.0,2362,0.3624135503778659,0.4243114037054666,0.5809223538644768,-0.07610110198844226,must be computed using only data available at or before window_end
anomaly_criticality,anomaly_derived,65.0,0.0,0.8767993226079593,29,0.0,0.0,28.0,-0.021622521704822567,must be computed using only data available at or before window_end
p_net_meter_flow__min,sensor_window_stat,65.0,0.0,0.05334462320067739,1183,0.0,1604.0,7020000.0,0.06934641804124887,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll24h_mean,causal_temporal,62.0,0.0,0.0,2332,-4.888541666666666,8.631458333333335,28.824305555555554,0.03598395519509988,must be computed using only data available at or before window_end
p_net_supply_temperature__std,sensor_window_stat,60.0,0.0,0.02032176121930567,2232,0.0,0.7409937769440234,24.425396619093007,-0.11379358234514417,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__std,sensor_window_stat,60.0,0.0,0.1926333615580017,1882,0.0,1.5332835055662517,28.17880278839578,-0.1477604819447573,must be computed using only data available at or before window_end
risk_probability_roll8_mean__delta1,risk_derived,59.0,0.0,0.05292125317527519,2238,-0.423324073578771,-0.00016379018040994005,0.35616927752865724,-0.05510646892485137,must be computed using only data available at or before window_end
