scope,policy,description,row_count,normal_rows,clean_normal_rows,pre_fault_rows,alarm_rows,normal_false_rows,normal_false_row_rate,clean_false_rows,clean_false_row_rate,normal_site_months,clean_site_months,false_rows_per_site_month,clean_false_rows_per_site_month,false_positive_episodes,false_episodes_per_site_month,total_fault_events,detected_fault_events,event_recall,detected_24h_events,detected_3d_events,detected_7d_events,event_recall_24h,event_recall_3d,event_recall_7d,median_first_alarm_lead_hours,mean_first_alarm_lead_hours
overall,risk_high_or_critical,risk level high or critical,2362,1726,1715,636,532,19,0.01100811123986095,19,0.011078717201166181,14.17659137577002,14.08624229979466,1.3402375434530707,1.3488338192419826,9,0.6348493626882967,59,57,0.9661016949152542,46,56,57,0.7796610169491526,0.9491525423728814,0.9661016949152542,64.63333333333277,62.436369395711424
overall,risk_medium_or_higher,risk level medium/high/critical,2362,1726,1715,636,829,217,0.1257242178447277,217,0.12653061224489795,14.17659137577002,14.08624229979466,15.306923522595598,15.405102040816328,32,2.257242178447277,59,59,1.0,55,59,59,0.9322033898305084,1.0,1.0,64.88333333333277,63.87722693032007
overall,priority_high_or_urgent,priority level high or urgent,2362,1726,1715,636,638,80,0.046349942062572425,80,0.04664723032069971,14.17659137577002,14.08624229979466,5.643105446118192,5.679300291545189,25,1.7634704519119353,59,58,0.9830508474576272,53,58,58,0.8983050847457628,0.9830508474576272,0.9830508474576272,64.59999999999985,61.755282567049726
overall,priority_urgent,priority level urgent only,2362,1726,1715,636,499,18,0.010428736964078795,18,0.010495626822157435,14.17659137577002,14.08624229979466,1.2696987253765935,1.2778425655976677,8,0.5643105446118193,59,56,0.9491525423728814,46,55,56,0.7796610169491526,0.9322033898305084,0.9491525423728814,63.69999999999986,59.632554563491986
overall,anomaly_event,anomaly criticality event,2362,1726,1715,636,154,44,0.02549246813441483,44,0.02565597667638484,14.17659137577002,14.08624229979466,3.103707995365006,3.1236151603498543,2,0.14107763615295482,59,11,0.1864406779661017,11,11,11,0.1864406779661017,0.1864406779661017,0.1864406779661017,43.25,58.027272727272766
overall,multi_window_operational,3h/6h or 6h/12h anomaly confirmation,2362,1726,1715,636,163,36,0.02085747392815759,36,0.02099125364431487,14.17659137577002,14.08624229979466,2.539397450753187,2.5556851311953355,26,1.8340092699884125,59,22,0.3728813559322034,21,22,22,0.3559322033898305,0.3728813559322034,0.3728813559322034,23.69166666666639,39.35332070707064
overall,raw_ae_q999_c32,raw point AE q999 criticality >= 32,2362,1726,1715,636,150,0,0.0,0,0.0,14.17659137577002,14.08624229979466,0.0,0.0,0,0.0,59,16,0.2711864406779661,16,16,16,0.2711864406779661,0.2711864406779661,0.2711864406779661,60.75833333333347,55.541024305555396
overall,raw_ae_union,raw point AE q998_c48 or q999 spike union,2362,1726,1715,636,186,28,0.016222479721900347,28,0.0163265306122449,14.17659137577002,14.08624229979466,1.9750869061413674,1.9877551020408164,1,0.07053881807647741,59,17,0.288135593220339,17,17,17,0.288135593220339,0.288135593220339,0.288135593220339,63.71666666666694,53.56802287581685
holdout,risk_high_or_critical,risk level high or critical,300,214,214,86,56,7,0.03271028037383177,7,0.03271028037383177,1.757700205338809,1.757700205338809,3.9824766355140184,3.9824766355140184,3,1.7067757009345794,10,9,0.9,7,9,9,0.7,0.9,0.9,28.0,40.27962962962945
holdout,risk_medium_or_higher,risk level medium/high/critical,300,214,214,86,147,64,0.29906542056074764,64,0.29906542056074764,1.757700205338809,1.757700205338809,36.41121495327103,36.41121495327103,11,6.258177570093458,10,10,1.0,10,10,10,1.0,1.0,1.0,62.00833333333347,49.94499999999977
holdout,priority_high_or_urgent,priority level high or urgent,300,214,214,86,85,20,0.09345794392523364,20,0.09345794392523364,1.757700205338809,1.757700205338809,11.378504672897195,11.378504672897195,6,3.413551401869159,10,10,1.0,10,10,10,1.0,1.0,1.0,25.59166666666639,38.544999999999774
holdout,priority_urgent,priority level urgent only,300,214,214,86,46,9,0.04205607476635514,9,0.04205607476635514,1.757700205338809,1.757700205338809,5.1203271028037385,5.1203271028037385,4,2.2757009345794392,10,9,0.9,7,9,9,0.7,0.9,0.9,28.0,32.279629629629454
holdout,anomaly_event,anomaly criticality event,300,214,214,86,11,0,0.0,0,0.0,1.757700205338809,1.757700205338809,0.0,0.0,0,0.0,10,1,0.1,1,1,1,0.1,0.1,0.1,63.06666666666694,63.06666666666694
holdout,multi_window_operational,3h/6h or 6h/12h anomaly confirmation,300,214,214,86,36,10,0.04672897196261682,10,0.04672897196261682,1.757700205338809,1.757700205338809,5.689252336448598,5.689252336448598,7,3.9824766355140184,10,6,0.6,6,6,6,0.6,0.6,0.6,22.499999999999865,31.272222222222037
holdout,raw_ae_q999_c32,raw point AE q999 criticality >= 32,300,214,214,86,17,0,0.0,0,0.0,1.757700205338809,1.757700205338809,0.0,0.0,0,0.0,10,3,0.3,3,3,3,0.3,0.3,0.3,14.733333333332778,33.4777777777775
holdout,raw_ae_union,raw point AE q998_c48 or q999 spike union,300,214,214,86,29,7,0.03271028037383177,7,0.03271028037383177,1.757700205338809,1.757700205338809,3.9824766355140184,3.9824766355140184,1,0.5689252336448598,10,4,0.4,4,4,4,0.4,0.4,0.4,21.36666666666639,32.10833333333313
validation,risk_high_or_critical,risk level high or critical,431,288,288,143,69,12,0.041666666666666664,12,0.041666666666666664,2.3655030800821355,2.3655030800821355,5.072916666666667,5.072916666666667,7,2.959201388888889,11,10,0.9090909090909091,3,9,10,0.2727272727272727,0.8181818181818182,0.9090909090909091,67.6,78.50452777777784
validation,risk_medium_or_higher,risk level medium/high/critical,431,288,288,143,259,137,0.4756944444444444,137,0.4756944444444444,2.3655030800821355,2.3655030800821355,57.915798611111114,57.915798611111114,19,8.032118055555555,11,11,1.0,9,11,11,0.8181818181818182,1.0,1.0,67.2,77.99957070707076
validation,priority_high_or_urgent,priority level high or urgent,431,288,288,143,142,56,0.19444444444444445,56,0.19444444444444445,2.3655030800821355,2.3655030800821355,23.67361111111111,23.67361111111111,17,7.186631944444445,11,10,0.9090909090909091,7,10,10,0.6363636363636364,0.9090909090909091,0.9090909090909091,67.6,78.50452777777784
validation,priority_urgent,priority level urgent only,431,288,288,143,56,9,0.03125,9,0.03125,2.3655030800821355,2.3655030800821355,3.8046875,3.8046875,5,2.1137152777777777,11,9,0.8181818181818182,3,8,9,0.2727272727272727,0.7272727272727273,0.8181818181818182,68.0,77.51058641975315
validation,anomaly_event,anomaly criticality event,431,288,288,143,0,0,0.0,0,0.0,2.3655030800821355,2.3655030800821355,0.0,0.0,0,0.0,11,0,0.0,0,0,0,0.0,0.0,0.0,,
validation,multi_window_operational,3h/6h or 6h/12h anomaly confirmation,431,288,288,143,19,13,0.04513888888888889,13,0.04513888888888889,2.3655030800821355,2.3655030800821355,5.495659722222222,5.495659722222222,9,3.8046875,11,3,0.2727272727272727,3,3,3,0.2727272727272727,0.2727272727272727,0.2727272727272727,13.995277777777778,10.809537037037222
validation,raw_ae_q999_c32,raw point AE q999 criticality >= 32,431,288,288,143,3,0,0.0,0,0.0,2.3655030800821355,2.3655030800821355,0.0,0.0,0,0.0,11,1,0.09090909090909091,1,1,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,13.995277777777778,13.995277777777778
validation,raw_ae_union,raw point AE q998_c48 or q999 spike union,431,288,288,143,24,21,0.07291666666666667,21,0.07291666666666667,2.3655030800821355,2.3655030800821355,8.877604166666666,8.877604166666666,1,0.4227430555555556,11,1,0.09090909090909091,1,1,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,13.995277777777778,13.995277777777778
