score,description,k,total_pre_fault_rows,total_fault_events,pre_fault_hits,precision_at_k,row_recall_at_k,event_recall_at_k,urgent_hits,urgent_recall_at_k,ndcg_at_k
priority_score,final rule-based priority score,10,86,10,10,1.0,0.11627906976744186,0.2,3,0.08571428571428572,0.6013736174250577
priority_score,final rule-based priority score,20,86,10,20,1.0,0.23255813953488372,0.6,10,0.2857142857142857,0.6560352877161747
priority_score,final rule-based priority score,50,86,10,41,0.82,0.47674418604651164,0.9,20,0.5714285714285714,0.6567901883904491
priority_score,final rule-based priority score,86,86,10,65,0.7558139534883721,0.7558139534883721,1.0,34,0.9714285714285714,0.7611554599037403
priority_score,final rule-based priority score,100,86,10,71,0.71,0.8255813953488372,1.0,35,1.0,0.7960977121570182
risk_score,risk probability plus temporal smoothing,10,86,10,9,0.9,0.10465116279069768,0.3,3,0.08571428571428572,0.5699319365253319
risk_score,risk probability plus temporal smoothing,20,86,10,19,0.95,0.22093023255813954,0.5,7,0.2,0.5678883523087747
risk_score,risk probability plus temporal smoothing,50,86,10,40,0.8,0.46511627906976744,0.8,24,0.6857142857142857,0.6780118639796695
risk_score,risk probability plus temporal smoothing,86,86,10,64,0.7441860465116279,0.7441860465116279,1.0,30,0.8571428571428571,0.7226140164688295
risk_score,risk probability plus temporal smoothing,100,86,10,73,0.73,0.8488372093023255,1.0,30,0.8571428571428571,0.7652966231556279
anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,10,86,10,10,1.0,0.11627906976744186,0.1,4,0.11428571428571428,0.7365061098187466
anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,20,86,10,20,1.0,0.23255813953488372,0.4,8,0.22857142857142856,0.6811349498692066
anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,50,86,10,34,0.68,0.3953488372093023,0.8,15,0.42857142857142855,0.6019075489268672
anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,86,86,10,49,0.5697674418604651,0.5697674418604651,0.9,24,0.6857142857142857,0.6355897086468196
anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,100,86,10,54,0.54,0.627906976744186,1.0,26,0.7428571428571429,0.6720900795731508
mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,10,86,10,9,0.9,0.10465116279069768,0.2,3,0.08571428571428572,0.5699319365253319
mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,20,86,10,19,0.95,0.22093023255813954,0.5,8,0.22857142857142856,0.5872890847981356
mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,50,86,10,32,0.64,0.37209302325581395,0.9,18,0.5142857142857142,0.5667460194473491
mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,86,86,10,53,0.6162790697674418,0.6162790697674418,1.0,27,0.7714285714285715,0.6401342807622259
mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,100,86,10,54,0.54,0.627906976744186,1.0,27,0.7714285714285715,0.6449216511517036
multi_horizon_persistence_score,24h/3d/7d persistence score,10,86,10,10,1.0,0.11627906976744186,0.1,3,0.08571428571428572,0.5821356888725117
multi_horizon_persistence_score,24h/3d/7d persistence score,20,86,10,19,0.95,0.22093023255813954,0.3,9,0.2571428571428571,0.626109131668568
multi_horizon_persistence_score,24h/3d/7d persistence score,50,86,10,40,0.8,0.46511627906976744,0.7,17,0.4857142857142857,0.6216635759391446
multi_horizon_persistence_score,24h/3d/7d persistence score,86,86,10,57,0.6627906976744186,0.6627906976744186,0.9,30,0.8571428571428571,0.6904622184703895
multi_horizon_persistence_score,24h/3d/7d persistence score,100,86,10,59,0.59,0.686046511627907,0.9,31,0.8857142857142857,0.7030921096975904
raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,10,86,10,10,1.0,0.11627906976744186,0.1,4,0.11428571428571428,0.7365061098187466
raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,20,86,10,16,0.8,0.18604651162790697,0.3,7,0.2,0.6213003240649054
raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,50,86,10,31,0.62,0.36046511627906974,0.8,18,0.5142857142857142,0.5884983770520746
raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,86,86,10,39,0.45348837209302323,0.45348837209302323,0.8,20,0.5714285714285714,0.5406334556300018
raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,100,86,10,44,0.44,0.5116279069767442,0.9,23,0.6571428571428571,0.5835020925892408
