scope,ranking_date,manufacturer,substation_id,configuration_type,day_label,fault_event_count,fault_event_keys,pre_fault_window_count,normal_window_count,window_count,first_window_start,last_window_end,min_estimated_lead_time_hours,true_most_urgent_lead_time_bucket,representative_priority_reason,representative_priority_level,representative_predicted_lead_time_bucket,representative_risk_level,priority_score,risk_score,anomaly_ensemble_score,mw_anomaly_context_score,multi_horizon_persistence_score,raw_ae_score_ratio_q999_max,risk_high_or_critical_window_count,anomaly_event_label_window_count,mw_anomaly_operational_confirmed_window_count,raw_ae_alarm_q999_c32_window_count,raw_ae_alarm_union_q998_c48_or_q999_spike_window_count,substations_on_date,priority_score_substation_rank,risk_score_substation_rank,anomaly_ensemble_score_substation_rank,mw_anomaly_context_score_substation_rank,multi_horizon_persistence_score_substation_rank,raw_ae_score_ratio_q999_max_substation_rank,priority_top1_substation,priority_top3_substation,priority_top5_substation,priority_top10_substation,priority_top20pct_substation
overall,2020-06-13,manufacturer 1,26,SH + DHW with sub-circuits,pre_fault,1,manufacturer 1|26|7.0,2,0,2,2020-06-12 18:00:00,2020-06-13 06:00:00,4.633333333333334,0-6h,risk=critical|leadtime=0-24h|anomaly_consensus=2|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|raw_ae_q999_c32|repeated_high_48h|risk_24h_persistent|risk_3d_increasing|high_risk_0_24h_strong_anomaly,urgent,0-24h,critical,100.0,0.9950411975318304,5.384235991644989,10.0,12.14259096891555,1.1336977,2,0,2,1,1,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-12,manufacturer 1,26,SH + DHW with sub-circuits,pre_fault,1,manufacturer 1|26|7.0,1,0,1,2020-06-12 12:00:00,2020-06-12 18:00:00,16.633333333333333,6-24h,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent,urgent,1-3d,critical,88.9591,0.9547355671673295,2.3769168180693785,10.0,3.245238095238096,1.0508485,1,0,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-09,manufacturer 1,6,SH + DHW,normal,0,,0,1,1,2020-06-08 18:00:00,2020-06-09 00:00:00,,,leadtime=1-3d|repeated_watch_48h,low,1-3d,low,25.1546,0.2141366442891958,0.5046857808170734,0.0,5.514285714285714,0.34932208,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-08,manufacturer 1,6,SH + DHW,normal,0,,0,3,3,2020-06-07 18:00:00,2020-06-08 18:00:00,,,leadtime=0-24h|anomaly_consensus=1|mw_6h_12h_persistent|repeated_watch_48h,high,0-24h,medium,52.4217,0.2379296047657731,1.1972844937781748,5.501410940287274,6.364285714285714,0.43129957,0,0,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-07,manufacturer 1,6,SH + DHW,normal,0,,0,4,4,2020-06-06 18:00:00,2020-06-07 18:00:00,,,leadtime=1-3d|anomaly_consensus=1|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_watch_48h,high,1-3d,medium,55.1865,0.3322702781313642,1.515538179477249,10.0,6.947619047619048,0.53823626,0,0,2,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-06,manufacturer 1,6,SH + DHW,normal,0,,0,4,4,2020-06-05 18:00:00,2020-06-06 18:00:00,,,leadtime=0-24h|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_3d_persistent|leadtime_near_term_prob_high,urgent,0-24h,medium,79.0562,0.8128940855155532,1.2108578046692289,10.0,5.697983063145436,0.38587382,0,0,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-05,manufacturer 1,6,SH + DHW,normal,0,,0,4,4,2020-06-04 18:00:00,2020-06-05 18:00:00,,,risk=critical|leadtime=0-24h|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high,urgent,0-24h,critical,91.1113,0.92070947242014,1.363428421364882,5.296353826035458,5.881796491294566,0.4102589,1,0,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-04,manufacturer 1,6,SH + DHW,normal,0,,0,4,4,2020-06-03 18:00:00,2020-06-04 18:00:00,,,risk=critical|leadtime=0-24h|repeated_high_48h|risk_24h_persistent|risk_3d_increasing|leadtime_near_term_prob_high,urgent,0-24h,critical,84.516,0.9364056766738488,0.5360367299088679,0.0,4.384588457365608,0.48464987,2,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-03,manufacturer 1,6,SH + DHW,normal,0,,0,3,3,2020-06-02 18:00:00,2020-06-03 18:00:00,,,risk=critical|leadtime=1-3d|repeated_watch_48h|risk_3d_increasing,urgent,1-3d,critical,71.6394,0.9267545054845788,0.5264861955205241,0.0,3.139551666800246,0.33226407,1,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-06-02,manufacturer 1,6,SH + DHW,normal,0,,0,2,2,2020-06-02 00:00:00,2020-06-02 12:00:00,,,leadtime=1-3d|risk_3d_increasing,medium,1-3d,medium,43.7556,0.8524775750568373,0.4604549480975738,0.0,2.614767023426894,0.39138642,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True
overall,2020-05-26,manufacturer 1,13,SH + DHW,pre_fault,1,manufacturer 1|13|53.0,2,0,2,2020-05-25 18:00:00,2020-05-26 06:00:00,4.0,6-24h,leadtime=0-24h|raw_ae_union|repeated_watch_48h|leadtime_near_term_prob_high,high,0-24h,medium,65.0729,0.894309560399583,0.7488357564579331,1.0,6.095238095238095,1.0953846,0,0,0,0,2,1,1,1,1,1,1,1,True,True,True,True,True
