scope,date_filter,min_substations_per_date,score,description,top_n_substations_per_day,ranking_dates,average_substations_per_date,max_substations_per_date,total_station_days,total_pre_fault_station_days,normal_station_days,total_fault_events,selected_station_days,pre_fault_station_day_hits,precision_at_n,station_day_recall_at_n,event_recall_at_n,dates_with_pre_fault,prefault_date_hits,prefault_date_hit_rate,urgent_station_day_hits,urgent_station_day_recall_at_n,normal_false_station_days,normal_false_station_day_rate,distinct_substations_selected,median_pre_fault_rank
holdout,all_dates,1,priority_score,final rule-based priority score,1,78,1.3717948717948718,4,107,30,77,10,78,22,0.28205128205128205,0.7333333333333333,0.9,22,22,1.0,15,0.8333333333333334,56,0.7272727272727273,20,1.0
holdout,all_dates,1,priority_score,final rule-based priority score,3,78,1.3717948717948718,4,107,30,77,10,106,30,0.2830188679245283,1.0,1.0,22,22,1.0,18,1.0,76,0.987012987012987,23,1.0
holdout,all_dates,1,risk_score,risk probability plus temporal smoothing,1,78,1.3717948717948718,4,107,30,77,10,78,22,0.28205128205128205,0.7333333333333333,0.9,22,22,1.0,14,0.7777777777777778,56,0.7272727272727273,20,1.0
holdout,all_dates,1,risk_score,risk probability plus temporal smoothing,3,78,1.3717948717948718,4,107,30,77,10,106,30,0.2830188679245283,1.0,1.0,22,22,1.0,18,1.0,76,0.987012987012987,23,1.0
holdout,all_dates,1,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,78,1.3717948717948718,4,107,30,77,10,78,22,0.28205128205128205,0.7333333333333333,0.9,22,22,1.0,15,0.8333333333333334,56,0.7272727272727273,21,1.0
holdout,all_dates,1,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,78,1.3717948717948718,4,107,30,77,10,106,30,0.2830188679245283,1.0,1.0,22,22,1.0,18,1.0,76,0.987012987012987,23,1.0
holdout,all_dates,1,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,78,1.3717948717948718,4,107,30,77,10,78,22,0.28205128205128205,0.7333333333333333,0.9,22,22,1.0,15,0.8333333333333334,56,0.7272727272727273,21,1.0
holdout,all_dates,1,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,78,1.3717948717948718,4,107,30,77,10,106,30,0.2830188679245283,1.0,1.0,22,22,1.0,18,1.0,76,0.987012987012987,23,1.0
holdout,all_dates,1,multi_horizon_persistence_score,24h/3d/7d persistence score,1,78,1.3717948717948718,4,107,30,77,10,78,22,0.28205128205128205,0.7333333333333333,0.9,22,22,1.0,15,0.8333333333333334,56,0.7272727272727273,21,1.0
holdout,all_dates,1,multi_horizon_persistence_score,24h/3d/7d persistence score,3,78,1.3717948717948718,4,107,30,77,10,106,29,0.27358490566037735,0.9666666666666667,1.0,22,22,1.0,18,1.0,77,1.0,23,1.0
