manufacturer,substation_id,episode_id,episode_start,episode_end,window_count,max_risk_score,latest_risk_score,latest_risk_level,high_count,watch_count,raw_ae_alarm_count,multi_window_operational_count,latest_multi_window_context_score,latest_multi_horizon_persistence_score,risk_high_count_24h,risk_high_count_3d,risk_high_count_7d,risk_score_3d_slope,risk_score_7d_slope,split_event_regime_based,label,fault_event_id
manufacturer 1,7,manufacturer 1|7|2,2017-11-19 12:00:00,2017-11-26 12:00:00,28,1.0,1.0,critical,28,28,28,0,4.440884363251814,18.0,4.0,12.0,28.0,2.9613260142350697e-17,1.6003864237311643e-17,train,pre_fault,67.0
manufacturer 1,21,manufacturer 1|21|2,2019-01-18 06:00:00,2019-01-21 06:00:00,12,1.0,1.0,critical,12,12,12,5,6.731145218294548,18.0,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,62.0
manufacturer 1,30,manufacturer 1|30|1,2020-03-12 18:00:00,2020-03-16 12:00:00,15,1.0,0.9341876371694338,critical,15,15,14,15,10.0,18.0,4.0,12.0,15.0,-0.004274341075879835,-0.0017060551895133691,holdout,pre_fault,10.0
manufacturer 1,31,manufacturer 1|31|1,2020-01-10 18:00:00,2020-01-13 12:00:00,11,1.0,1.0,critical,11,11,11,9,10.0,18.0,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,45.0
manufacturer 2,10,manufacturer 2|10|1,2016-09-26 12:00:00,2016-09-29 06:00:00,11,1.0,1.0,critical,11,11,11,11,10.0,18.0,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,40.0
manufacturer 2,10,manufacturer 2|10|2,2016-12-03 12:00:00,2016-12-06 06:00:00,11,1.0,1.0,critical,11,11,11,11,10.0,18.0,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,38.0
manufacturer 2,10,manufacturer 2|10|7,2019-10-07 12:00:00,2019-10-14 06:00:00,27,1.0,1.0,critical,27,27,27,27,10.0,18.0,4.0,12.0,27.0,2.9613260142350697e-17,-5.639483826291568e-18,train,pre_fault,25.0
manufacturer 2,16,manufacturer 2|16|1,2018-05-16 12:00:00,2018-05-19 06:00:00,11,1.0,1.0,critical,11,11,11,11,10.0,18.0,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,31.0
manufacturer 2,57,manufacturer 2|57|2,2019-11-19 18:00:00,2019-11-21 06:00:00,6,1.0,1.0,critical,6,6,6,6,10.0,18.0,4.0,6.0,6.0,0.0,0.0,train,pre_fault,19.0
manufacturer 2,57,manufacturer 2|57|1,2019-11-01 12:00:00,2019-11-04 12:00:00,12,1.0,1.0,critical,12,12,0,6,4.452355425056697,17.04285714285714,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,24.0
manufacturer 1,8,manufacturer 1|8|1,2018-04-26 06:00:00,2018-04-27 06:00:00,4,1.0,1.0,critical,4,4,3,3,10.0,16.27840358871061,4.0,4.0,4.0,0.009943360172405083,0.009943360172405083,train,pre_fault,44.0
manufacturer 2,20,manufacturer 2|20|1,2017-01-08 06:00:00,2017-01-11 06:00:00,12,1.0,1.0,critical,12,12,12,0,1.3,15.642857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,36.0
manufacturer 1,29,manufacturer 1|29|1,2020-03-06 12:00:00,2020-03-07 06:00:00,3,1.0,1.0,critical,3,3,3,3,10.0,14.235714285714286,3.0,3.0,3.0,0.0,0.0,validation,pre_fault,15.0
manufacturer 2,28,manufacturer 2|28|1,2019-11-08 12:00:00,2019-11-11 06:00:00,11,1.0,1.0,critical,11,11,0,2,2.013261728317774,13.847619047619045,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,validation,pre_fault,23.0
manufacturer 1,28,manufacturer 1|28|1,2020-01-09 00:00:00,2020-01-13 06:00:00,17,1.0,1.0,critical,17,17,0,0,0.0,12.043515906700007,4.0,12.0,17.0,2.9613260142350697e-17,0.00039008104928612934,train,pre_fault,47.0
manufacturer 1,6,manufacturer 1|6|1,2019-04-13 06:00:00,2019-04-16 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.0,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,64.0
manufacturer 1,7,manufacturer 1|7|1,2015-03-23 06:00:00,2015-03-26 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.0,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,63.0
manufacturer 1,20,manufacturer 1|20|1,2017-06-04 06:00:00,2017-06-07 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,34.0
manufacturer 1,24,manufacturer 1|24|1,2016-01-09 12:00:00,2016-01-12 12:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,13.0
manufacturer 1,24,manufacturer 1|24|2,2016-10-21 12:00:00,2016-10-24 12:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,38.0
manufacturer 2,4,manufacturer 2|4|2,2016-12-13 06:00:00,2016-12-16 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,37.0
manufacturer 2,15,manufacturer 2|15|1,2019-12-16 06:00:00,2019-12-19 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,13.0
manufacturer 2,21,manufacturer 2|21|1,2018-11-30 12:00:00,2018-12-03 12:00:00,12,1.0,1.0,critical,12,12,0,0,8.18526034428492,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,30.0
manufacturer 2,26,manufacturer 2|26|1,2019-11-12 06:00:00,2019-11-15 06:00:00,12,1.0,1.0,critical,12,12,0,0,0.5,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,22.0
manufacturer 2,39,manufacturer 2|39|1,2019-09-30 12:00:00,2019-10-03 12:00:00,12,1.0,1.0,critical,12,12,0,0,4.266842952169193,11.142857142857142,4.0,12.0,12.0,2.9613260142350697e-17,2.9613260142350697e-17,train,pre_fault,27.0
