feature,importance
mahalanobis_score,165
doy_cos,112
doy_sin,101
day_of_year,86
anomaly_score,81
p_net_supply_temperature__mean__roll7d_mean,53
p_net_supply_temperature__mean__roll3d_mean,52
outdoor_temperature__mean__roll7d_slope,51
p_net_return_temperature__mean__roll3d_mean,48
outdoor_temperature__std__roll7d_mean,48
p_net_supply_temperature__mean__roll3d_delta,46
outdoor_temperature__std__roll3d_mean,44
s_dhw_control_unit_mode__dominant__is__standby,43
s_dhw_supply_temperature_setpoint__mean__roll7d_slope,39
p_hc1_return_temperature__std,38
s_hc1_supply_temperature_setpoint__std,37
p_net_return_temperature__mean__roll3d_delta,36
p_net_return_temperature__max,30
network_temperature_gap__last__roll7d_mean,28
mahalanobis_score_ratio,27
s_dhw_supply_temperature__mean__roll7d_mean,27
s_hc1_supply_temperature__mean__roll3d_mean,26
p_net_meter_heat_power__mean__roll7d_mean,26
network_temperature_gap__mean__roll7d_mean,25
s_dhw_lower_storage_temperature__last,24
network_temperature_gap__last__roll3d_mean,24
p_net_meter_heat_power__mean__roll3d_delta,24
p_net_return_temperature__mean__roll24h_mean,23
network_temperature_gap__mean__roll3d_mean,22
network_temperature_gap__last__roll7d_slope,22
s_hc1_supply_temperature__min,22
dhw_supply_temperature_gap__last__roll7d_mean,21
p_net_return_temperature__mean__roll7d_mean,21
iforest_anomaly_score,21
p_net_supply_temperature__mean,20
s_dhw_supply_temperature_setpoint__mean__roll3d_slope,20
s_dhw_supply_temperature__std,19
s_dhw_supply_temperature__min,19
p_net_meter_flow__min,18
s_hc1_supply_temperature__mean__roll24h_mean,18
s_dhw_supply_temperature__mean__roll3d_mean,17
p_net_meter_flow__mean__roll3d_mean,17
dhw_supply_temperature_gap__last__roll3d_mean,16
p_net_supply_temperature__mean__roll24h_mean,16
s_hc1_supply_temperature_setpoint__mean__roll24h_mean,16
p_net_return_temperature__std,16
p_net_supply_temperature__max,15
p_net_meter_flow__max,15
hc1_supply_temperature_gap__last__roll3d_mean,15
anomaly_ensemble_score,14
s_dhw_supply_temperature__mean__roll24h_mean,14
outdoor_temperature__mean__roll3d_slope,14
outdoor_temperature__std__roll3d_delta,14
p_net_meter_heat_power__mean__roll24h_mean,14
p_hc1_return_temperature__min,13
p_net_meter_heat_power__min,13
dhw_supply_temperature_gap__max_abs,13
p_net_meter_heat_power__mean__roll3d_mean,13
s_dhw_supply_temperature__mean__roll7d_slope,13
s_dhw_upper_storage_temperature__max,12
p_net_meter_heat_power__max,12
p_net_meter_flow__mean__roll24h_mean,12
hc1_supply_temperature_gap__max_abs,11
outdoor_temperature__mean__roll7d_mean,11
s_dhw_supply_temperature_setpoint__std,11
outdoor_temperature__max,10
network_temperature_gap__max_abs__roll7d_mean,10
outdoor_temperature__mean__roll3d_mean,10
hc1_supply_temperature_gap__last__roll7d_mean,10
s_hc1_supply_temperature__mean__roll7d_mean,10
s_hc1_supply_temperature__last,10
s_dhw_supply_temperature__mean__roll3d_slope,10
s_dhw_supply_temperature__last,10
outdoor_temperature__std__roll24h_mean,9
s_dhw_supply_temperature_setpoint__mean__roll24h_mean,9
network_temperature_gap__mean__roll3d_delta,9
p_net_meter_flow__last,9
