feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
mahalanobis_score,anomaly_derived,165.0,0.0,0.0,2362,24.83729276408789,96.7602566169171,184736.98140887063,0.17103434064862577,must be computed using only data available at or before window_end
doy_cos,time_calendar,112.0,0.0,0.0,245,-0.9998526477050268,0.5147928015098309,0.9998526477050268,0.15540456186831483,must be computed using only data available at or before window_end
doy_sin,time_calendar,101.0,0.0,0.0,238,-0.99996316124771,0.1369060579234757,0.99996316124771,-0.0631418149603785,must be computed using only data available at or before window_end
day_of_year,time_calendar,86.0,0.0,0.0,271,1.0,158.0,365.0,0.01995685629154191,must be computed using only data available at or before window_end
anomaly_score,anomaly_derived,81.0,0.0,0.0,2362,0.3554917958965486,0.528029177486468,280.3839195297156,0.17163983529212842,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll7d_mean,causal_temporal,53.0,0.0,0.0,2310,17.261111111111113,89.27284210292024,106.78703703703702,0.02001355413613032,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll3d_mean,causal_temporal,52.0,0.0,0.0,2280,13.182870370370368,89.36691086691087,108.5629050925926,0.019725169158407996,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll7d_slope,causal_temporal,51.0,0.0,0.05376799322607959,2236,-6.516666666666666,-0.0021133588046203097,10.629166666666665,-0.19072466731798327,must be computed using only data available at or before window_end
outdoor_temperature__std__roll7d_mean,causal_temporal,48.0,0.0,0.003386960203217612,2355,0.0,0.6182999786271604,4.177605787353724,-0.15989021008287474,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll3d_mean,causal_temporal,48.0,0.0,0.0,2282,13.270833333333334,49.54947916666667,67.47237413194445,-0.07596123283558022,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll3d_delta,causal_temporal,46.0,0.0,0.5660457239627434,818,-52.44444444444444,0.0,37.36111111111112,0.006783713257130247,must be computed using only data available at or before window_end
outdoor_temperature__std__roll3d_mean,causal_temporal,44.0,0.0,0.003386960203217612,2354,0.0,0.6185427833346822,4.177605787353724,-0.16115661449426585,must be computed using only data available at or before window_end
s_dhw_control_unit_mode__dominant__is__standby,operation_state,43.0,0.0,0.9085520745131245,2,0.0,0.0,1.0,-0.06675729075393644,must be computed using only data available at or before window_end
