threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count,manufacturer,configuration_type
0.05,0.3423913043478261,1.0,0.5101214574898786,0.39424280350438046,0.9029850746268657,63,121,0,13,4,4,1.0,67.85,9,134,manufacturer 1,SH + DHW
0.06,0.35,1.0,0.5185185185185185,0.40229885057471265,0.8731343283582089,63,117,0,17,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.07,0.3539325842696629,1.0,0.5228215767634855,0.4064516129032258,0.8582089552238806,63,115,0,19,4,4,1.0,67.85,7,134,manufacturer 1,SH + DHW
0.08,0.35795454545454547,1.0,0.5271966527196653,0.4106910039113429,0.8432835820895522,63,113,0,21,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.09,0.36627906976744184,1.0,0.5361702127659574,0.4194407456724368,0.8134328358208955,63,109,0,25,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.09999999999999999,0.37058823529411766,1.0,0.5407725321888412,0.423956931359354,0.7985074626865671,63,107,0,27,4,4,1.0,67.85,9,134,manufacturer 1,SH + DHW
0.10999999999999999,0.3772455089820359,1.0,0.5478260869565217,0.43091655266757867,0.7761194029850746,63,104,0,30,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.12,0.3795180722891566,1.0,0.5502183406113537,0.4332874828060523,0.7686567164179104,63,103,0,31,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.13,0.3780487804878049,0.9841269841269841,0.5462555066079295,0.43115438108484005,0.7611940298507462,62,102,1,32,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.13999999999999999,0.38271604938271603,0.9841269841269841,0.551111111111111,0.4360056258790436,0.746268656716418,62,100,1,34,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.14999999999999997,0.38271604938271603,0.9841269841269841,0.551111111111111,0.4360056258790436,0.746268656716418,62,100,1,34,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.15999999999999998,0.3924050632911392,0.9841269841269841,0.5610859728506786,0.4460431654676259,0.7164179104477612,62,96,1,38,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.16999999999999998,0.3935483870967742,0.9682539682539683,0.5596330275229358,0.4465592972181552,0.7014925373134329,61,94,2,40,4,4,1.0,67.85,9,134,manufacturer 1,SH + DHW
0.18,0.39869281045751637,0.9682539682539683,0.5648148148148149,0.45185185185185184,0.6865671641791045,61,92,2,42,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.19,0.39473684210526316,0.9523809523809523,0.5581395348837209,0.44709388971684055,0.6865671641791045,60,92,3,42,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
0.19999999999999996,0.4,0.9523809523809523,0.5633802816901408,0.45248868778280543,0.6716417910447762,60,90,3,44,4,4,1.0,67.85,9,134,manufacturer 1,SH + DHW
0.20999999999999996,0.3945578231292517,0.9206349206349206,0.5523809523809524,0.445468509984639,0.664179104477612,58,89,5,45,4,4,1.0,67.85,9,134,manufacturer 1,SH + DHW
0.21999999999999997,0.3931034482758621,0.9047619047619048,0.5480769230769231,0.4432348367029549,0.6567164179104478,57,88,6,46,4,4,1.0,67.85,8,134,manufacturer 1,SH + DHW
