threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count
0.05,0.38309859154929576,0.951048951048951,0.5461847389558233,0.4350607805502239,0.7604166666666666,136,219,7,69,11,11,1.0,67.2,21,288
0.06,0.39080459770114945,0.951048951048951,0.5539714867617108,0.44299674267100975,0.7361111111111112,136,212,7,76,11,11,1.0,67.2,19,288
0.07,0.39244186046511625,0.9440559440559441,0.5544147843942505,0.44437129690585914,0.7256944444444444,135,209,8,79,11,11,1.0,67.2,17,288
0.08,0.39473684210526316,0.9440559440559441,0.5567010309278351,0.44672402382528126,0.71875,135,207,8,81,11,11,1.0,67.2,18,288
0.09,0.3994082840236686,0.9440559440559441,0.5613305613305613,0.451505016722408,0.7048611111111112,135,203,8,85,11,11,1.0,67.2,18,288
0.09999999999999999,0.40298507462686567,0.9440559440559441,0.5648535564853556,0.45515846257585973,0.6944444444444444,135,200,8,88,11,11,1.0,67.2,19,288
0.10999999999999999,0.4115853658536585,0.9440559440559441,0.5732484076433121,0.4639175257731959,0.6701388888888888,135,193,8,95,11,11,1.0,67.2,18,288
0.12,0.4161490683229814,0.9370629370629371,0.5763440860215053,0.46820405310971347,0.6527777777777778,134,188,9,100,11,11,1.0,67.2,18,288
0.13,0.41379310344827586,0.9230769230769231,0.5714285714285715,0.46511627906976744,0.6493055555555556,132,187,11,101,11,11,1.0,67.2,18,288
0.13999999999999999,0.4217252396166134,0.9230769230769231,0.5789473684210527,0.4731182795698925,0.6284722222222222,132,181,11,107,11,11,1.0,67.2,17,288
0.14999999999999997,0.4258064516129032,0.9230769230769231,0.5827814569536424,0.4772234273318872,0.6180555555555556,132,178,11,110,11,11,1.0,67.2,17,288
0.15999999999999998,0.43812709030100333,0.916083916083916,0.5927601809954751,0.48917102315160566,0.5833333333333334,131,168,12,120,11,11,1.0,67.2,18,288
0.16999999999999998,0.4406779661016949,0.9090909090909091,0.593607305936073,0.491307634164777,0.5729166666666666,130,165,13,123,11,11,1.0,67.2,18,288
0.18,0.4529616724738676,0.9090909090909091,0.6046511627906977,0.5034856700232379,0.5451388888888888,130,157,13,131,11,11,1.0,67.2,17,288
0.19,0.45714285714285713,0.8951048951048951,0.6052009456264775,0.5067300079176563,0.5277777777777778,128,152,15,136,11,11,1.0,67.2,19,288
0.19999999999999996,0.46886446886446886,0.8951048951048951,0.6153846153846154,0.5182186234817814,0.5034722222222222,128,145,15,143,11,11,1.0,67.2,18,288
0.20999999999999996,0.4734848484848485,0.8741258741258742,0.6142506142506142,0.5212677231025855,0.4826388888888889,125,139,18,149,11,11,1.0,67.2,20,288
