source_id,final_class,target_class,source_event_id,fault_event_id,disturbance_row_id,substation_id,window_policy,window_start,window_end,coverage_rate,overlap_disturbance_count,normal_collision_count,hard_normal_tag,dataset,feature_set,feature_count,model,fold,y_true,probability_target,prediction_t0_45,prediction_t0_5,prediction_t0_55,prediction_t0_6,gate,training_dataset_id,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,recomputed_sample_count,recomputed_expected_count,recomputed_coverage_rate,y,prediction_t0_4
disturbance_0001,fault,fault,69,69,1,26,fault_pre_7d,2020-03-03 15:49:00,2020-03-10 15:49:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.556844650729,1,1,1,0,fault_gate,fault_no_overlap,2.93951388889,8.38069444444,-2.67,1.65270833333,0.336313657407,87.0084501607,2.3275462963,-1.99123263889,5.37,-2.5005150463,3.27909639458,3.95,-18.6866724537,1008,1008,1,1,
disturbance_0003,fault,fault,,,3,3,fault_pre_7d,2015-12-02 13:48:00,2015-12-09 13:48:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.535005923507,1,1,0,0,fault_gate,fault_no_overlap,-0.313888888889,0.00694444444445,-3,3.54097222222,2.12818287037,,,,,1.86221064815,0.873217665316,-1.05,1.84340277778,1008,1008,1,1,
disturbance_0005,fault,fault,,,5,3,fault_pre_7d,2016-10-24 14:18:00,2016-10-31 14:18:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.787227107032,1,1,1,1,fault_gate,fault_no_overlap,-1.41736111111,1.02777777778,-2.4,-0.640972222222,1.30740740741,-77.8407871068,1.28401229593,0.0161395374712,1.12166666667,2.67592592593,-2.01859217278,0.9,2.76383101852,1008,1008,1,1,
disturbance_0006,fault,fault,,,6,3,fault_pre_7d,2016-11-08 22:50:00,2016-11-15 22:50:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.308896351708,0,0,0,0,fault_gate,fault_no_overlap,0.741666666667,-1.31527777778,-1.65,1.47916666667,-0.319618055556,-172.887973961,-0.444322916667,0.124704861111,1.015,-2.12523148148,0.231831736403,1,-2.0759837963,1008,1008,1,1,
disturbance_0008,fault,fault,60,60,8,4,fault_pre_7d,2015-03-11 18:54:00,2015-03-18 18:54:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.76894556381,1,1,1,1,fault_gate,fault_no_overlap,1.24652777778,2.37777777778,6.95,-1.72777777778,-4.78802083333,1.65773478795,-2.53703703704,-2.2509837963,-10.2,-12.171412037,-4.53569906377,1.05,-12.1752893519,1008,1008,1,1,
disturbance_0010,fault,fault,11,11,10,4,fault_pre_7d,2016-11-11 15:13:00,2016-11-18 15:13:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.660182648468,1,1,1,1,fault_gate,fault_no_overlap,-0.804861111111,1.24166666667,-1.6,12.8423611111,6.02390046296,350.754416915,5.12770061728,0.896199845679,3.26666666667,9.83559027778,16.8979234121,97,-2.00833333333,1008,1008,1,1,
disturbance_0016,fault,fault,,,16,5,fault_pre_7d,2020-01-28 14:02:00,2020-02-04 14:02:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.867728281082,1,1,1,1,fault_gate,fault_no_overlap,-0.547916666667,0.509444444444,7.41,-0.50125,-2.92560185185,-4.06135681584,-0.614583333333,-2.31101851852,-2.25,-4.79741319444,-1.43741023396,0.65,-4.80794560185,1008,1008,1,1,
disturbance_0018,fault,fault,64,64,18,6,fault_pre_7d,2019-04-09 09:41:00,2019-04-16 09:41:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.926743909087,1,1,1,1,fault_gate,fault_no_overlap,-1.21136574074,0.319305555556,5.49333333333,-1.16618055556,-2.36257716049,-133.270376065,-2.27719907407,-0.0853780864198,1.3,-4.7165461034,-1.9221140543,1.3,-4.30557195216,1008,1008,1,1,
disturbance_0021,fault,fault,63,63,21,7,fault_pre_7d,2015-03-19 07:15:00,2015-03-26 07:15:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.736825238855,1,1,1,1,fault_gate,fault_no_overlap,-2.02083333333,-1.64166666667,0.95,-0.0458333333333,-2.9537037037,110.017058764,-3.11130401235,0.157600308642,-6.23333333333,-7.61388888889,-3.01459400714,-1.9,-7.61805555556,1008,1008,1,1,
disturbance_0022,fault,fault,36,36,22,7,fault_pre_7d,2015-03-26 20:05:00,2015-04-02 20:05:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.468402614697,1,0,0,0,fault_gate,fault_no_overlap,6.42708333333,2.97916666667,-3.5,-2.91041666667,0.311458333333,-49.4298974576,-0.0960648148148,0.407523148148,1.2,-0.438888888889,-0.743382771111,-1,-0.115625,1008,1008,1,1,
