모델/정책,검증구간,표본수,양성수,TP,FP,FN,TN,정확도,균형정확도,정밀도,재현율,특이도,음성예측도_NPV,F1,MCC,Cohen_Kappa,오경보율_FPR,알람률,양성비율,ROC_AUC,Average_Precision
Isolation Forest 정책,validation,169,26,4,49,22,94,0.579882,0.405594,0.075472,0.153846,0.657343,0.810345,0.101266,-0.146830,-0.132515,0.342657,0.313609,0.153846,0.514793,0.190735
Mahalanobis 정책,validation,169,26,3,61,23,82,0.502959,0.344406,0.046875,0.115385,0.573427,0.780952,0.066667,-0.231470,-0.194748,0.426573,0.378698,0.153846,0.299623,0.214583
IF·Mahalanobis 결합,validation,169,26,3,47,23,96,0.585799,0.393357,0.060000,0.115385,0.671329,0.806723,0.078947,-0.168601,-0.154822,0.328671,0.295858,0.153846,0.292899,0.150726
강한 q99 결합,validation,169,26,1,1,25,142,0.846154,0.515734,0.500000,0.038462,0.993007,0.850299,0.071429,0.104992,0.050562,0.006993,0.011834,0.153846,0.292899,0.150726
지속성 criticality 결합,validation,169,26,0,41,26,102,0.603550,0.356643,0.000000,0.000000,0.713287,0.796875,0.000000,-0.241327,-0.231966,0.286713,0.242604,0.153846,0.292899,0.150726
Isolation Forest 정책,holdout,183,77,38,12,39,94,0.721311,0.690149,0.760000,0.493506,0.886792,0.706767,0.598425,0.421321,0.399459,0.113208,0.273224,0.420765,0.636976,0.700610
Mahalanobis 정책,holdout,183,77,46,29,31,77,0.672131,0.661909,0.613333,0.597403,0.726415,0.712963,0.605263,0.325055,0.324972,0.273585,0.409836,0.420765,0.656579,0.722849
IF·Mahalanobis 결합,holdout,183,77,38,8,39,98,0.743169,0.709017,0.826087,0.493506,0.924528,0.715328,0.617886,0.475742,0.442399,0.075472,0.251366,0.420765,0.667238,0.737961
강한 q99 결합,holdout,183,77,22,0,55,106,0.699454,0.642857,1.000000,0.285714,1.000000,0.658385,0.444444,0.433717,0.316654,0.000000,0.120219,0.420765,0.667238,0.737961
지속성 criticality 결합,holdout,183,77,21,0,56,106,0.693989,0.636364,1.000000,0.272727,1.000000,0.654321,0.428571,0.422435,0.302857,0.000000,0.114754,0.420765,0.667238,0.737961
