대상,지표,성공건,분모,점추정,95%CI_하한,95%CI_상한,PPT표기
이상탐지 IF·Mahalanobis,정밀도,38,46,0.826087,0.692766,0.909142,"82.6% (38/46, 95% CI 69.3~90.9%)"
이상탐지 IF·Mahalanobis,재현율,38,77,0.493506,0.384830,0.602800,"49.4% (38/77, 95% CI 38.5~60.3%)"
이상탐지 IF·Mahalanobis,오경보율,8,106,0.075472,0.038737,0.141900,"7.5% (8/106, 95% CI 3.9~14.2%)"
복원 Risk,정밀도,24,28,0.857143,0.685102,0.943010,"85.7% (24/28, 95% CI 68.5~94.3%)"
복원 Risk,재현율,24,66,0.363636,0.258070,0.484204,"36.4% (24/66, 95% CI 25.8~48.4%)"
복원 Risk,오경보율,4,86,0.046512,0.018234,0.113570,"4.7% (4/86, 95% CI 1.8~11.4%)"
복원 Leadtime,정확도,47,66,0.712121,0.593628,0.807281,"71.2% (47/66, 95% CI 59.4~80.7%)"
복원 Leadtime,Top-2 정확도,65,66,0.984848,0.919041,0.997320,"98.5% (65/66, 95% CI 91.9~99.7%)"
Priority 공식 v4,정밀도,56,67,0.835821,0.729447,0.905774,"83.6% (56/67, 95% CI 72.9~90.6%)"
Priority 공식 v4,재현율,56,77,0.727273,0.618791,0.814155,"72.7% (56/77, 95% CI 61.9~81.4%)"
Priority 공식 v4,오경보율,11,106,0.103774,0.058940,0.176322,"10.4% (11/106, 95% CI 5.9~17.6%)"
Priority 공식 v4,이벤트 재현율,7,8,0.875000,0.529112,0.977583,"87.5% (7/8, 95% CI 52.9~97.8%)"
Agent V1,보고서 성공률,5,7,0.714286,0.358934,0.917781,"71.4% (5/7, 95% CI 35.9~91.8%)"
Agent V1,출력 재생성 발생률,3,7,0.428571,0.158220,0.749542,"42.9% (3/7, 95% CI 15.8~75.0%)"
