manufacturer,substation_id,column_name,sample_non_null_count
manufacturer 1,1,timestamp,200
manufacturer 1,1,outdoor_temperature,200
manufacturer 1,1,s_hc1_supply_temperature,200
manufacturer 1,1,s_hc1_supply_temperature_setpoint,200
manufacturer 1,1,s_dhw_supply_temperature,200
manufacturer 1,1,s_dhw_supply_temperature_setpoint,200
manufacturer 1,1,p_hc1_return_temperature,200
manufacturer 1,1,s_dhw_upper_storage_temperature,200
manufacturer 1,1,s_dhw_lower_storage_temperature,200
manufacturer 1,1,p_net_meter_energy,0
manufacturer 1,1,p_net_meter_volume,0
manufacturer 1,1,p_net_meter_heat_power,0
manufacturer 1,1,p_net_meter_flow,0
manufacturer 1,1,p_net_supply_temperature,0
manufacturer 1,1,p_net_return_temperature,0
manufacturer 1,10,timestamp,200
manufacturer 1,10,outdoor_temperature,194
manufacturer 1,10,s_hc1_supply_temperature,194
manufacturer 1,10,s_hc1_supply_temperature_setpoint,194
manufacturer 1,10,s_dhw_supply_temperature,194
manufacturer 1,10,s_dhw_supply_temperature_setpoint,194
manufacturer 1,10,p_hc1_return_temperature,194
manufacturer 1,10,s_dhw_upper_storage_temperature,194
manufacturer 1,10,s_dhw_upper_storage_temperature_setpoint,194
manufacturer 1,10,s_dhw_lower_storage_temperature,194
manufacturer 1,10,p_net_meter_energy,200
manufacturer 1,10,p_net_meter_volume,200
manufacturer 1,10,p_net_meter_heat_power,200
manufacturer 1,10,p_net_meter_flow,200
manufacturer 1,10,p_net_supply_temperature,200
manufacturer 1,10,p_net_return_temperature,200
manufacturer 1,11,timestamp,200
manufacturer 1,11,outdoor_temperature,200
manufacturer 1,11,s_hc1_supply_temperature,200
manufacturer 1,11,s_hc1_supply_temperature_setpoint,200
manufacturer 1,11,s_dhw_supply_temperature,200
manufacturer 1,11,s_dhw_supply_temperature_setpoint,200
manufacturer 1,11,p_hc1_return_temperature,200
manufacturer 1,11,s_dhw_upper_storage_temperature,200
manufacturer 1,11,s_dhw_lower_storage_temperature,200
manufacturer 1,11,p_net_meter_energy,0
manufacturer 1,11,p_net_meter_volume,0
manufacturer 1,11,p_net_meter_heat_power,0
manufacturer 1,11,p_net_meter_flow,0
manufacturer 1,11,p_net_supply_temperature,0
manufacturer 1,11,p_net_return_temperature,0
manufacturer 1,12,timestamp,200
manufacturer 1,12,outdoor_temperature,200
manufacturer 1,12,s_hc1_supply_temperature,200
manufacturer 1,12,s_hc1_supply_temperature_setpoint,200
manufacturer 1,12,s_dhw_supply_temperature,200
manufacturer 1,12,s_dhw_supply_temperature_setpoint,200
manufacturer 1,12,p_hc1_return_temperature,200
manufacturer 1,12,s_dhw_upper_storage_temperature,200
manufacturer 1,12,s_dhw_upper_storage_temperature_setpoint,200
manufacturer 1,12,s_dhw_lower_storage_temperature,200
manufacturer 1,12,p_net_meter_energy,0
manufacturer 1,12,p_net_meter_volume,0
manufacturer 1,12,p_net_meter_heat_power,0
manufacturer 1,12,p_net_meter_flow,0
manufacturer 1,12,p_net_supply_temperature,0
manufacturer 1,12,p_net_return_temperature,0
manufacturer 1,13,timestamp,200
manufacturer 1,13,outdoor_temperature,200
manufacturer 1,13,s_hc1_supply_temperature,200
manufacturer 1,13,s_hc1_supply_temperature_setpoint,200
manufacturer 1,13,s_dhw_supply_temperature,200
manufacturer 1,13,s_dhw_supply_temperature_setpoint,200
manufacturer 1,13,p_hc1_return_temperature,200
manufacturer 1,13,s_dhw_upper_storage_temperature,200
manufacturer 1,13,s_dhw_upper_storage_temperature_setpoint,200
manufacturer 1,13,s_dhw_lower_storage_temperature,200
manufacturer 1,13,p_net_meter_energy,0
manufacturer 1,13,p_net_meter_volume,0
manufacturer 1,13,p_net_meter_heat_power,0
manufacturer 1,13,p_net_meter_flow,0
manufacturer 1,13,p_net_supply_temperature,0
manufacturer 1,13,p_net_return_temperature,0
manufacturer 1,14,timestamp,200
manufacturer 1,14,outdoor_temperature,200
manufacturer 1,14,s_hc1_supply_temperature,200
manufacturer 1,14,s_hc1_supply_temperature_setpoint,200
manufacturer 1,14,s_dhw_supply_temperature,200
manufacturer 1,14,s_dhw_supply_temperature_setpoint,200
manufacturer 1,14,p_hc1_return_temperature,200
manufacturer 1,14,p_hc1_return_temperature_setpoint,200
manufacturer 1,14,s_dhw_upper_storage_temperature,200
manufacturer 1,14,s_dhw_lower_storage_temperature,200
manufacturer 1,14,p_net_meter_energy,0
manufacturer 1,14,p_net_meter_volume,0
manufacturer 1,14,p_net_meter_heat_power,0
manufacturer 1,14,p_net_meter_flow,0
manufacturer 1,14,p_net_supply_temperature,0
manufacturer 1,14,p_net_return_temperature,0
manufacturer 1,15,timestamp,200
manufacturer 1,15,outdoor_temperature,200
manufacturer 1,15,s_hc1_supply_temperature,200
manufacturer 1,15,s_hc1_supply_temperature_setpoint,200
manufacturer 1,15,s_dhw_supply_temperature,200
manufacturer 1,15,s_dhw_supply_temperature_setpoint,200
manufacturer 1,15,p_hc1_return_temperature,200
manufacturer 1,15,p_hc1_return_temperature_setpoint,200
manufacturer 1,15,s_dhw_upper_storage_temperature,200
manufacturer 1,15,s_dhw_upper_storage_temperature_setpoint,200
manufacturer 1,15,s_dhw_lower_storage_temperature,200
manufacturer 1,15,p_net_meter_energy,0
manufacturer 1,15,p_net_meter_volume,0
manufacturer 1,15,p_net_meter_heat_power,0
manufacturer 1,15,p_net_meter_flow,0
manufacturer 1,15,p_net_supply_temperature,0
manufacturer 1,15,p_net_return_temperature,0
manufacturer 1,15,s_hc1.1_supply_temperature,0
manufacturer 1,15,s_hc1.2_supply_temperature,0
manufacturer 1,15,s_hc1.1_return_temperature,0
manufacturer 1,15,s_hc1.2_return_temperature,0
manufacturer 1,15,s_hc1.1_supply_temperature_setpoint,0
manufacturer 1,15,s_hc1.1_return_temperature_setpoint,0
manufacturer 1,15,s_hc1.2_supply_temperature_setpoint,0
manufacturer 1,15,s_hc1.2_return_temperature_setpoint,0
manufacturer 1,16,timestamp,200
manufacturer 1,16,outdoor_temperature,200
manufacturer 1,16,p_dhw_return_temperature_setpoint,200
manufacturer 1,16,s_hc1_supply_temperature,200
manufacturer 1,16,s_hc1_supply_temperature_setpoint,200
manufacturer 1,16,p_hc1_return_temperature,200
manufacturer 1,16,p_net_meter_energy,0
manufacturer 1,16,p_net_meter_volume,0
manufacturer 1,16,p_net_meter_heat_power,0
manufacturer 1,16,p_net_meter_flow,0
manufacturer 1,16,p_net_supply_temperature,0
manufacturer 1,16,p_net_return_temperature,0
manufacturer 1,17,timestamp,200
manufacturer 1,17,outdoor_temperature,200
manufacturer 1,17,s_hc1_supply_temperature,200
manufacturer 1,17,s_hc1_supply_temperature_setpoint,200
manufacturer 1,17,p_hc1_return_temperature,200
manufacturer 1,17,p_hc1_return_temperature_setpoint,200
manufacturer 1,17,s_dhw_upper_storage_temperature_setpoint,200
manufacturer 1,17,p_net_meter_energy,0
manufacturer 1,17,p_net_meter_volume,0
manufacturer 1,17,p_net_meter_heat_power,0
manufacturer 1,17,p_net_meter_flow,0
manufacturer 1,17,p_net_supply_temperature,0
manufacturer 1,17,p_net_return_temperature,0
manufacturer 1,18,timestamp,200
manufacturer 1,18,outdoor_temperature,200
manufacturer 1,18,s_hc1_supply_temperature,200
manufacturer 1,18,s_hc1_supply_temperature_setpoint,200
manufacturer 1,18,s_dhw_supply_temperature,200
manufacturer 1,18,s_dhw_supply_temperature_setpoint,200
