manufacturer,substation_id,window_start,window_end,anomaly_score,risk_score,risk_probability,risk_level_calibrated,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,lead_time_bucket_distance,days_since_last_fault_event,days_since_last_task_event,days_since_last_any_event,configuration_type,has_dhw,has_buffer_tank,main_abnormal_sensors,label,fault_label,estimated_lead_time_hours,lead_time_bucket
manufacturer_2,7,2026-06-21T12:00:00,2026-06-21T18:00:00,0.0583,14.49,0.1287,low,1-3d,0.3588,0.3544,0.3588,0.2868,0,327.6,166.1,192.1,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_1,8,2026-06-12T18:00:00,2026-06-13T00:00:00,0.8735,100.0,1.0,critical,0-24h,0.7291,0.7291,0.1281,0.1428,0,225.8,149.0,146.9,sh,0,0,s_dhw_supply_temperature;s_dhw_upper_storage_temperature;s_hc1_supply_temperature,pre_fault,pump_degradation,16.6,0-24h
manufacturer_2,11,2026-05-25T12:00:00,2026-05-25T18:00:00,0.8979,96.18,0.9496,critical,0-24h,0.7507,0.7507,0.1227,0.1267,0,118.4,189.1,170.2,sh_with_sub_circuits,0,0,p_hc1_return_temperature,pre_fault,pump_degradation,15.6,0-24h
manufacturer_2,2,2026-04-06T12:00:00,2026-04-06T18:00:00,0.7409,86.51,0.8619,high,0-24h,0.7472,0.7472,0.1335,0.1193,0,356.6,63.3,1.3,sh_dhw,1,0,s_dhw_upper_storage_temperature,pre_fault,valve_fault,22.6,0-24h
manufacturer_1,7,2026-07-26T18:00:00,2026-07-27T00:00:00,0.1175,11.23,0.0654,low,1-3d,0.4268,0.2831,0.4268,0.2901,0,362.4,101.0,14.0,sh,0,0,,normal,,,
manufacturer_2,2,2026-06-08T18:00:00,2026-06-09T00:00:00,0.75,63.01,0.6065,high,1-3d,0.6754,0.1496,0.6754,0.175,0,186.9,184.3,103.6,sh,0,0,s_dhw_supply_temperature;s_hc1_supply_temperature,pre_fault,pump_degradation,31.9,1-3d
manufacturer_1,17,2026-07-18T00:00:00,2026-07-18T06:00:00,0.1296,14.12,0.1439,low,0-24h,0.3692,0.3692,0.351,0.2797,0,219.5,93.2,34.6,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_2,9,2026-04-03T06:00:00,2026-04-03T12:00:00,0.9242,89.69,0.9171,critical,0-24h,0.7176,0.7176,0.1522,0.1303,0,213.7,52.2,123.2,sh_dhw_with_sub_circuits,1,0,s_dhw_upper_storage_temperature;p_net_return_temperature,pre_fault,pump_degradation,5.4,0-24h
manufacturer_2,1,2026-07-31T18:00:00,2026-08-01T00:00:00,0.4902,47.36,0.4779,high,3-7d,0.6537,0.1639,0.1824,0.6537,0,261.0,73.6,20.3,sh_with_sub_circuits,0,0,p_net_supply_temperature;s_dhw_supply_temperature;s_hc1_supply_temperature,pre_fault,sensor_drift,109.1,3-7d
manufacturer_1,18,2026-08-17T18:00:00,2026-08-18T00:00:00,0.0674,12.23,0.0849,low,3-7d,0.404,0.257,0.3391,0.404,0,278.4,67.6,126.4,sh,0,0,,normal,,,
manufacturer_2,10,2026-04-01T18:00:00,2026-04-02T00:00:00,0.1281,8.94,0.1008,low,3-7d,0.3773,0.3189,0.3038,0.3773,0,177.2,168.1,77.4,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_1,1,2026-05-22T00:00:00,2026-05-22T06:00:00,0.1619,1.82,0.0,low,3-7d,0.4084,0.2827,0.3088,0.4084,0,234.8,157.6,78.7,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_1,18,2026-05-27T00:00:00,2026-05-27T06:00:00,0.8931,85.46,0.9447,critical,0-24h,0.7465,0.7465,0.145,0.1085,0,177.2,101.6,54.5,sh_with_sub_circuits,0,0,p_hc1_return_temperature;s_dhw_upper_storage_temperature;s_hc1_supply_temperature,pre_fault,valve_fault,20.7,0-24h
manufacturer_2,18,2026-05-23T18:00:00,2026-05-24T00:00:00,0.8355,90.0,0.8839,high,0-24h,0.7368,0.7368,0.1605,0.1026,0,325.0,129.7,13.9,sh_dhw_with_sub_circuits,1,0,s_dhw_supply_temperature;p_net_supply_temperature;s_dhw_upper_storage_temperature,pre_fault,sensor_drift,12.7,0-24h
manufacturer_1,10,2026-05-15T18:00:00,2026-05-16T00:00:00,0.1037,7.71,0.0851,low,0-24h,0.3892,0.3892,0.307,0.3038,0,203.5,137.4,117.3,sh,0,0,,normal,,,
manufacturer_1,2,2026-05-20T12:00:00,2026-05-20T18:00:00,0.033,3.19,0.0543,low,0-24h,0.3518,0.3518,0.3197,0.3285,0,195.5,29.6,75.6,sh,0,0,,normal,,,
manufacturer_1,4,2026-08-10T06:00:00,2026-08-10T12:00:00,0.5684,61.98,0.6502,high,3-7d,0.707,0.1733,0.1197,0.707,0,90.1,134.4,70.1,sh_dhw_with_sub_circuits,1,0,s_hc1_supply_temperature,pre_fault,sensor_drift,126.4,3-7d
manufacturer_2,6,2026-04-09T00:00:00,2026-04-09T06:00:00,0.5448,70.81,0.7011,high,1-3d,0.7504,0.1219,0.7504,0.1277,0,106.8,152.1,56.6,sh_dhw,1,0,p_net_supply_temperature,pre_fault,sensor_drift,25.1,1-3d
manufacturer_1,2,2026-07-03T18:00:00,2026-07-04T00:00:00,0.1647,17.27,0.185,low,1-3d,0.3642,0.3515,0.3642,0.2843,0,358.6,118.3,14.7,sh,0,0,,normal,,,
manufacturer_2,7,2026-06-20T18:00:00,2026-06-21T00:00:00,0.11,10.55,0.1176,low,3-7d,0.3852,0.2535,0.3614,0.3852,0,66.0,174.3,60.0,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_1,18,2026-08-15T00:00:00,2026-08-15T06:00:00,0.5984,56.09,0.5487,high,1-3d,0.7459,0.1182,0.7459,0.1359,0,338.7,187.8,45.3,sh_dhw,1,0,p_net_supply_temperature;s_dhw_upper_storage_temperature,pre_fault,heat_exchanger_fouling,34.1,1-3d
manufacturer_1,16,2026-08-13T18:00:00,2026-08-14T00:00:00,0.8339,92.51,0.9344,critical,0-24h,0.7482,0.7482,0.1553,0.0965,0,8.7,16.2,71.4,sh,0,0,p_net_return_temperature,pre_fault,heat_exchanger_fouling,21.0,0-24h
manufacturer_2,8,2026-06-20T00:00:00,2026-06-20T06:00:00,0.1541,12.5,0.1064,low,0-24h,0.3677,0.3677,0.2945,0.3377,0,153.6,27.6,93.5,sh_dhw,1,0,,normal,,,
manufacturer_2,17,2026-06-23T18:00:00,2026-06-24T00:00:00,0.7892,84.36,0.8584,high,0-24h,0.7227,0.7227,0.1688,0.1084,0,24.3,177.9,97.4,sh_with_buffer_tank,0,1,s_hc1_supply_temperature;p_hc1_return_temperature;p_net_return_temperature,pre_fault,sensor_drift,18.3,0-24h
manufacturer_1,6,2026-08-05T18:00:00,2026-08-06T00:00:00,0.4352,53.28,0.5536,high,3-7d,0.7083,0.1165,0.1752,0.7083,0,187.5,155.6,43.1,sh_with_sub_circuits,0,0,s_dhw_upper_storage_temperature;s_hc1_supply_temperature,pre_fault,heat_exchanger_fouling,81.9,3-7d
manufacturer_2,18,2026-05-02T18:00:00,2026-05-03T00:00:00,0.1803,6.93,0.0439,low,3-7d,0.3616,0.352,0.2865,0.3616,0,293.6,198.5,108.4,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_1,18,2026-05-27T06:00:00,2026-05-27T12:00:00,0.1493,4.2,0.0473,low,0-24h,0.4037,0.4037,0.3527,0.2437,0,174.8,49.5,107.6,sh,0,0,,normal,,,
manufacturer_1,13,2026-08-06T00:00:00,2026-08-06T06:00:00,0.7994,90.36,0.8596,high,0-24h,0.7531,0.7531,0.1149,0.1321,0,69.0,8.9,42.0,sh_dhw,1,0,p_net_meter_flow,pre_fault,heat_exchanger_fouling,9.6,0-24h
manufacturer_1,17,2026-08-13T18:00:00,2026-08-14T00:00:00,0.4807,47.59,0.4858,high,3-7d,0.6955,0.1843,0.1202,0.6955,0,337.9,70.1,53.4,sh_with_buffer_tank,0,1,s_dhw_supply_temperature;p_net_return_temperature,pre_fault,heat_exchanger_fouling,107.8,3-7d
manufacturer_1,15,2026-04-03T12:00:00,2026-04-03T18:00:00,0.5648,59.59,0.588,high,3-7d,0.6983,0.1321,0.1697,0.6983,0,11.2,69.8,149.4,sh_with_sub_circuits,0,0,p_net_return_temperature,pre_fault,heat_exchanger_fouling,107.1,3-7d
manufacturer_1,4,2026-04-16T00:00:00,2026-04-16T06:00:00,0.6227,65.24,0.6158,high,1-3d,0.7463,0.1416,0.7463,0.1121,0,161.8,70.8,187.6,sh,0,0,s_dhw_upper_storage_temperature;p_net_meter_flow,pre_fault,valve_fault,45.2,1-3d
manufacturer_1,17,2026-08-18T18:00:00,2026-08-19T00:00:00,0.903,92.55,0.9063,critical,0-24h,0.7091,0.7091,0.1406,0.1503,0,21.4,9.7,73.2,sh_with_sub_circuits,0,0,p_net_supply_temperature,pre_fault,valve_fault,15.9,0-24h
manufacturer_2,15,2026-07-22T06:00:00,2026-07-22T12:00:00,0.0884,5.38,0.1044,low,3-7d,0.3496,0.338,0.3124,0.3496,0,74.2,194.7,85.7,sh,0,0,,normal,,,
manufacturer_1,5,2026-05-15T06:00:00,2026-05-15T12:00:00,0.0043,2.0,0.0426,low,1-3d,0.3834,0.2793,0.3834,0.3374,0,367.2,26.2,21.5,sh,0,0,,normal,,,
manufacturer_1,14,2026-08-07T06:00:00,2026-08-07T12:00:00,0.125,15.63,0.1255,low,0-24h,0.376,0.376,0.3447,0.2793,0,385.2,148.4,56.0,sh,0,0,,normal,,,
manufacturer_1,9,2026-05-10T12:00:00,2026-05-10T18:00:00,0.0463,10.83,0.085,low,0-24h,0.3583,0.3583,0.358,0.2837,0,83.0,106.9,158.0,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_1,7,2026-05-04T12:00:00,2026-05-04T18:00:00,0.0602,6.35,0.1215,low,3-7d,0.3797,0.2631,0.3572,0.3797,0,290.3,98.0,163.0,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_2,11,2026-08-12T06:00:00,2026-08-12T12:00:00,0.768,90.4,0.8905,high,0-24h,0.7075,0.7075,0.1363,0.1562,0,16.9,162.4,145.0,sh,0,0,s_hc1_supply_temperature;p_net_supply_temperature;s_dhw_supply_temperature,pre_fault,sensor_drift,7.6,0-24h
manufacturer_2,5,2026-08-05T12:00:00,2026-08-05T18:00:00,0.0384,1.3,0.0209,low,1-3d,0.376,0.3063,0.376,0.3177,0,264.6,178.4,52.4,sh,0,0,,normal,,,
manufacturer_1,12,2026-07-05T18:00:00,2026-07-06T00:00:00,0.5787,53.32,0.5416,high,1-3d,0.6877,0.1845,0.6877,0.1278,0,190.9,93.4,177.7,sh_dhw,1,0,p_net_return_temperature;s_hc1_supply_temperature;p_net_meter_flow,pre_fault,valve_fault,57.3,1-3d
manufacturer_1,4,2026-04-25T18:00:00,2026-04-26T00:00:00,0.3678,67.3,0.6815,high,3-7d,0.664,0.1423,0.1937,0.664,0,374.2,107.7,117.2,sh_dhw,1,0,p_net_supply_temperature;p_hc1_return_temperature;s_hc1_supply_temperature,pre_fault,sensor_drift,78.7,3-7d
manufacturer_1,6,2026-07-06T06:00:00,2026-07-06T12:00:00,0.5749,64.77,0.589,high,1-3d,0.7358,0.1451,0.7358,0.1191,0,156.2,174.1,135.8,sh_dhw,1,0,p_net_return_temperature;s_dhw_upper_storage_temperature,pre_fault,heat_exchanger_fouling,44.6,1-3d
manufacturer_1,8,2026-06-30T06:00:00,2026-06-30T12:00:00,0.8819,83.43,0.847,high,0-24h,0.7456,0.7456,0.1307,0.1237,0,355.4,148.4,42.0,sh_with_buffer_tank,0,1,p_net_supply_temperature;s_dhw_supply_temperature;p_net_meter_flow,pre_fault,pump_degradation,4.2,0-24h
manufacturer_1,8,2026-07-04T18:00:00,2026-07-05T00:00:00,0.6013,43.51,0.4452,high,3-7d,0.6612,0.1393,0.1995,0.6612,0,348.6,113.8,191.1,sh_dhw_with_sub_circuits,1,0,s_hc1_supply_temperature,pre_fault,pump_degradation,153.7,3-7d
manufacturer_1,12,2026-07-08T12:00:00,2026-07-08T18:00:00,0.0599,16.22,0.168,low,3-7d,0.3715,0.3511,0.2774,0.3715,0,387.0,29.2,178.0,sh,0,0,,normal,,,
manufacturer_1,15,2026-07-31T12:00:00,2026-07-31T18:00:00,0.0943,4.95,0.0364,low,1-3d,0.3817,0.3006,0.3817,0.3177,0,261.8,90.1,162.6,sh_dhw,1,0,,normal,,,
manufacturer_1,11,2026-07-23T12:00:00,2026-07-23T18:00:00,0.578,56.31,0.5402,high,3-7d,0.6751,0.1923,0.1326,0.6751,0,28.0,71.4,158.4,sh_dhw,1,0,s_dhw_supply_temperature,pre_fault,valve_fault,121.7,3-7d
manufacturer_2,14,2026-08-02T00:00:00,2026-08-02T06:00:00,0.0974,4.21,0.061,low,0-24h,0.3765,0.3765,0.2803,0.3431,0,191.7,112.7,147.9,sh,0,0,,normal,,,
