column_name,dtype,feature_family,selection_split_column,selection_split_value,missing_rate_train,unique_count_train,selected_for_baseline,exclusion_reason,manufacturer_1_non_null_rate_train,manufacturer_2_non_null_rate_train,m1_missing_rate_train,m1_unique_count_train,m1_selected_for_baseline
dow_cos,float64,cyclic_time,split_regime_based,train,0.0,7,True,,1.0,1.0,0.0,7,True
dow_sin,float64,cyclic_time,split_regime_based,train,0.0,7,True,,1.0,1.0,0.0,7,True
doy_cos,float64,cyclic_time,split_regime_based,train,0.0,216,True,,1.0,1.0,0.0,162,True
doy_sin,float64,cyclic_time,split_regime_based,train,0.0,209,True,,1.0,1.0,0.0,155,True
hour_cos,float64,cyclic_time,split_regime_based,train,0.0,4,True,,1.0,1.0,0.0,4,True
hour_sin,float64,cyclic_time,split_regime_based,train,0.0,3,True,,1.0,1.0,0.0,3,True
configuration_type__is__sh_dhw,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
configuration_type__is__sh_dhw_with_sub_circuits,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
season_bucket__is__autumn,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
season_bucket__is__spring,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
season_bucket__is__summer,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
season_bucket__is__winter,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
days_since_last_any_event,float64,event_context,split_regime_based,train,0.2092326139088729,1286,True,,0.8080459770114943,0.7719298245614035,0.0,707,True
days_since_last_task_event,float64,event_context,split_regime_based,train,0.2092326139088729,1286,True,,0.8080459770114943,0.7719298245614035,0.0,707,True
extreme_change_count,int64,sensor_numeric,split_regime_based,train,0.0,61,True,,1.0,1.0,0.0,57,True
max_timestamp_gap_minutes,float64,sensor_numeric,split_regime_based,train,0.0,9,True,,1.0,1.0,0.0,2,True
missing_count,int64,sensor_numeric,split_regime_based,train,0.0,44,True,,1.0,1.0,0.0,12,True
missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,70,True,,1.0,1.0,0.0,24,True
network_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.0,695,True,,1.0,1.0,0.0,650,True
network_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.0,462,True,,1.0,1.0,0.0,415,True
network_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.0,1333,True,,1.0,1.0,0.0,820,True
outdoor_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,668,True,,1.0,1.0,0.0,511,True
outdoor_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,380,True,,1.0,1.0,0.0,341,True
outdoor_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,574,True,,1.0,1.0,0.0,495,True
outdoor_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,452,True,,1.0,1.0,0.0,408,True
outdoor_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1572,True,,1.0,1.0,0.0,883,True
outdoor_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,478,True,,1.0,1.0,0.0,427,True
outdoor_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1644,True,,1.0,1.0,0.0,896,True
p_hc1_return_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,686,True,,1.0,1.0,0.0,520,True
p_hc1_return_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,457,True,,1.0,1.0,0.0,367,True
p_hc1_return_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,682,True,,1.0,1.0,0.0,533,True
p_hc1_return_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,503,True,,1.0,1.0,0.0,421,True
p_hc1_return_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1588,True,,1.0,1.0,0.0,876,True
p_hc1_return_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,488,True,,1.0,1.0,0.0,387,True
p_hc1_return_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1652,True,,1.0,1.0,0.0,895,True
p_net_meter_energy__delta,float64,sensor_numeric,split_regime_based,train,0.0,980,True,,1.0,1.0,0.0,683,True
p_net_meter_energy__first,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0,0.0,877,True
p_net_meter_energy__last,float64,sensor_numeric,split_regime_based,train,0.0,1638,True,,1.0,1.0,0.0,880,True
p_net_meter_energy__max,float64,sensor_numeric,split_regime_based,train,0.0,1638,True,,1.0,1.0,0.0,880,True
p_net_meter_energy__mean,float64,sensor_numeric,split_regime_based,train,0.0,1647,True,,1.0,1.0,0.0,883,True
p_net_meter_energy__min,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0,0.0,877,True
p_net_meter_energy__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_energy__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_energy__std,float64,sensor_numeric,split_regime_based,train,0.0,1610,True,,1.0,1.0,0.0,853,True
p_net_meter_flow__delta,float64,sensor_numeric,split_regime_based,train,0.0,1261,True,,1.0,1.0,0.0,766,True
p_net_meter_flow__first,float64,sensor_numeric,split_regime_based,train,0.0,1096,True,,1.0,1.0,0.0,562,True
p_net_meter_flow__last,float64,sensor_numeric,split_regime_based,train,0.0,1320,True,,1.0,1.0,0.0,797,True
p_net_meter_flow__max,float64,sensor_numeric,split_regime_based,train,0.0,1302,True,,1.0,1.0,0.0,687,True
p_net_meter_flow__mean,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0,0.0,874,True
p_net_meter_flow__min,float64,sensor_numeric,split_regime_based,train,0.0,959,True,,1.0,1.0,0.0,520,True
p_net_meter_flow__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_flow__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_flow__std,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0,0.0,888,True
p_net_meter_heat_power__delta,float64,sensor_numeric,split_regime_based,train,0.0,937,True,,1.0,1.0,0.0,549,True
p_net_meter_heat_power__first,float64,sensor_numeric,split_regime_based,train,0.0,678,True,,1.0,1.0,0.0,232,True
p_net_meter_heat_power__last,float64,sensor_numeric,split_regime_based,train,0.0,949,True,,1.0,1.0,0.0,512,True
p_net_meter_heat_power__max,float64,sensor_numeric,split_regime_based,train,0.0,917,True,,1.0,1.0,0.0,364,True
p_net_meter_heat_power__mean,float64,sensor_numeric,split_regime_based,train,0.0,1539,True,,1.0,1.0,0.0,786,True
p_net_meter_heat_power__min,float64,sensor_numeric,split_regime_based,train,0.0,551,True,,1.0,1.0,0.0,217,True
p_net_meter_heat_power__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_heat_power__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_heat_power__std,float64,sensor_numeric,split_regime_based,train,0.0,1610,True,,1.0,1.0,0.0,853,True
p_net_meter_volume__delta,float64,sensor_numeric,split_regime_based,train,0.0,1250,True,,1.0,1.0,0.0,803,True
p_net_meter_volume__first,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0,0.0,886,True
p_net_meter_volume__last,float64,sensor_numeric,split_regime_based,train,0.0,1646,True,,1.0,1.0,0.0,889,True
p_net_meter_volume__max,float64,sensor_numeric,split_regime_based,train,0.0,1646,True,,1.0,1.0,0.0,889,True
p_net_meter_volume__mean,float64,sensor_numeric,split_regime_based,train,0.0,1653,True,,1.0,1.0,0.0,889,True
p_net_meter_volume__min,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0,0.0,886,True
p_net_meter_volume__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_meter_volume__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
