manufacturer,substation_id,source_file,window_start,window_end,label,lead_time_bucket,estimated_lead_time_hours,fault_event_id
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-01T00:00:00+00:00,2019-12-01T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-01T06:00:00+00:00,2019-12-01T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-01T12:00:00+00:00,2019-12-01T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-01T18:00:00+00:00,2019-12-02T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-02T00:00:00+00:00,2019-12-02T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-02T06:00:00+00:00,2019-12-02T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-02T12:00:00+00:00,2019-12-02T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-02T18:00:00+00:00,2019-12-03T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-03T00:00:00+00:00,2019-12-03T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-03T06:00:00+00:00,2019-12-03T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-03T12:00:00+00:00,2019-12-03T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-03T18:00:00+00:00,2019-12-04T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-04T00:00:00+00:00,2019-12-04T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-04T06:00:00+00:00,2019-12-04T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-04T12:00:00+00:00,2019-12-04T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-04T18:00:00+00:00,2019-12-05T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-05T00:00:00+00:00,2019-12-05T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-05T06:00:00+00:00,2019-12-05T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-05T12:00:00+00:00,2019-12-05T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-05T18:00:00+00:00,2019-12-06T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-06T00:00:00+00:00,2019-12-06T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-06T06:00:00+00:00,2019-12-06T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-06T12:00:00+00:00,2019-12-06T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-06T18:00:00+00:00,2019-12-07T00:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-07T00:00:00+00:00,2019-12-07T06:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-07T06:00:00+00:00,2019-12-07T12:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-07T12:00:00+00:00,2019-12-07T18:00:00+00:00,normal,,,
manufacturer 1,1,manufacturer 1/operational_data/substation_1.csv,2019-12-07T18:00:00+00:00,2019-12-08T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-16T00:00:00+00:00,2016-09-16T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-16T06:00:00+00:00,2016-09-16T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-16T12:00:00+00:00,2016-09-16T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-16T18:00:00+00:00,2016-09-17T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-17T00:00:00+00:00,2016-09-17T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-17T06:00:00+00:00,2016-09-17T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-17T12:00:00+00:00,2016-09-17T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-17T18:00:00+00:00,2016-09-18T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-18T00:00:00+00:00,2016-09-18T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-18T06:00:00+00:00,2016-09-18T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-18T12:00:00+00:00,2016-09-18T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-18T18:00:00+00:00,2016-09-19T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-19T00:00:00+00:00,2016-09-19T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-19T06:00:00+00:00,2016-09-19T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-19T12:00:00+00:00,2016-09-19T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-19T18:00:00+00:00,2016-09-20T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-20T00:00:00+00:00,2016-09-20T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-20T06:00:00+00:00,2016-09-20T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-20T12:00:00+00:00,2016-09-20T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-20T18:00:00+00:00,2016-09-21T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-21T00:00:00+00:00,2016-09-21T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-21T06:00:00+00:00,2016-09-21T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-21T12:00:00+00:00,2016-09-21T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-21T18:00:00+00:00,2016-09-22T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-22T00:00:00+00:00,2016-09-22T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-22T06:00:00+00:00,2016-09-22T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-22T12:00:00+00:00,2016-09-22T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2016-09-22T18:00:00+00:00,2016-09-23T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-27T00:00:00+00:00,2018-02-27T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-27T06:00:00+00:00,2018-02-27T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-27T12:00:00+00:00,2018-02-27T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-27T18:00:00+00:00,2018-02-28T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-28T00:00:00+00:00,2018-02-28T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-28T06:00:00+00:00,2018-02-28T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-28T12:00:00+00:00,2018-02-28T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-02-28T18:00:00+00:00,2018-03-01T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-01T00:00:00+00:00,2018-03-01T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-01T06:00:00+00:00,2018-03-01T12:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-01T12:00:00+00:00,2018-03-01T18:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-01T18:00:00+00:00,2018-03-02T00:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-02T00:00:00+00:00,2018-03-02T06:00:00+00:00,normal,,,
manufacturer 1,2,manufacturer 1/operational_data/substation_2.csv,2018-03-02T06:00:00+00:00,2018-03-02T12:00:00+00:00,normal,,,
