substation_id,matched_name,kapt_code,kapt_bjd_code,kakao_place_id,life_zone,dong,village,road_address,jibun_address,latitude,longitude,heating_type,kapt_complex_type,approval_date,household_count,building_count,gross_floor_area_m2,exclusive_residential_area_m2,exclusive_area_households_json,fee_year,fee_latest_month,fee_months_count,private_usage_cost_ytd_krw,private_usage_cost_latest_month_krw,private_usage_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_krw,total_mgmt_cost_latest_month_krw,total_mgmt_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_per_household_krw,predist_mapping_type,predist_mapping_note,predist_manufacturer,predist_source_file,predist_raw_file_path,predist_configuration_type,predist_configuration_ko,predist_sensor_groups,predist_sensor_groups_ko,predist_sensor_column_count,predist_raw_sampled_rows,predist_raw_sampled_columns,predist_has_outdoor_temperature_sensor,predist_has_space_heating_sensor,predist_has_dhw_sensor,predist_has_dhw_storage_sensor,predist_has_primary_heat_meter_sensor,predist_has_primary_supply_return_temp_sensor
1,도램마을10단지호반베르디움아파트,A33980017,3611011400,17645969,4,도담동,도램마을,세종특별자치시 보듬4로 20,세종특별자치시 도담동 853,36.51160559,127.26095746,지역난방,아파트,도램마을10단지 (A33980017),678,10,103177,57504.018,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""678"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,715564000,101415000,1764.00,1239704000,200543000,3488.00,1828471.98,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_1.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_1.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,8,200,15,1,1,1,1,0,0
2,도램마을11단지반도유보라아파트,A10027058,3611011400,25755200,4,도담동,도램마을,세종특별자치시 보듬4로 9,세종특별자치시 도담동 653,36.51370267,127.26008591,지역난방,주상복합,도램마을11단지 (A10027058),580,8,94715,49289.8444,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""580"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,573964000,77681000,1576.00,920670000,150749000,3058.00,1587362.07,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_2.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_2.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,4,200,11,1,1,0,0,0,0
3,도램마을12단지엘가아파트,A33980019,3611011400,18090633,4,도담동,도램마을,세종특별자치시 보듬4로 19,세종특별자치시 도담동 651,36.51349154,127.2618513,지역난방,아파트,엘가도램마을12단지 (A33980019),190,4,33266,17817.226,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""62"", ""85㎡ ~ 135㎡ 이하"": ""128"", ""135㎡ 초과"": ""0""}",2026,05,5,229689000,31838000,1787.00,368305000,59106000,3317.00,1938447.37,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_3.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_3.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,6,200,13,1,1,0,0,0,0
4,도램마을13단지중흥S클래스그린카운티아파트,A33980023,3611011400,998061523,4,도담동,도램마을,세종특별자치시 보람로 95,세종특별자치시 도담동 632,36.51699185,127.2609253,지역난방,아파트,도램마을13단지아파트 (A33980023),965,15,123489,57044.238,"{""60㎡ 이하"": ""965"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,741015000,105837000,1855.00,1387408000,233812000,4098.00,1437728.50,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_4.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_4.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,9,200,16,1,1,1,1,0,0
5,도램마을14단지한림풀에버아파트,A10028070,3611011400,19148044,4,도담동,도램마을,세종특별자치시 보듬2로 42,세종특별자치시 도담동 858,36.51002656,127.26594658,지역난방,아파트,도램마을14단지 (A10028070),979,14,180274,99729.596,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""974"", ""135㎡ 초과"": ""5""}",2026,05,5,1245346000,189173000,1897.00,1928767000,326788000,3277.00,1970139.94,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_5.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_5.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,8,200,15,1,1,1,1,0,0
6,도램마을15단지세종힐스테이트아파트,A33980024,3611011400,18038993,4,도담동,도램마을,세종특별자치시 보듬2로 43,세종특별자치시 도담동 859,36.51183082,127.26507084,지역난방,아파트,도램마을15단지(세종힐스테이트) (A33980024),876,9,137826,74375.537,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""876"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,905668000,130577000,1756.00,1543998000,258020000,3470.00,1762554.79,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_6.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_6.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|1차측 열량계|1차측 공급/환수온도,10,200,11,1,1,0,0,1,1
7,도램마을16단지아파트,A10024586,3611011400,19148021,4,도담동,도램마을,세종특별자치시 보듬4로 55,세종특별자치시 도담동 641,36.51424502,127.26546981,지역난방,아파트,세종도램마을16~19단지 (A10024586),723,15,114155,83942.6336000000,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""617"", ""85㎡ ~ 135㎡ 이하"": ""106"", ""135㎡ 초과"": ""0""}",2026,05,5,697138000,96692000,1534.00,1363744000,231966000,3681.00,1886229.60,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_7.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_7.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,11,200,18,1,1,1,1,0,0
8,도램마을17단지아파트,A10024586,3611011400,19148001,4,도담동,도램마을,세종특별자치시 보듬6로 52,세종특별자치시 도담동 639,36.51527785,127.26501561,지역난방,아파트,세종도램마을16~19단지 (A10024586),723,15,114155,83942.6336000000,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""617"", ""85㎡ ~ 135㎡ 이하"": ""106"", ""135㎡ 초과"": ""0""}",2026,05,5,697138000,96692000,1534.00,1363744000,231966000,3681.00,1886229.60,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_8.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_8.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,9,200,16,1,1,1,1,0,0
9,도램마을18단지아파트,A10024586,3611011400,19148043,4,도담동,도램마을,세종특별자치시 보듬4로 85,세종특별자치시 도담동 636,36.51428608,127.26726174,지역난방,아파트,세종도램마을16~19단지 (A10024586),723,15,114155,83942.6336000000,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""617"", ""85㎡ ~ 135㎡ 이하"": ""106"", ""135㎡ 초과"": ""0""}",2026,05,5,697138000,96692000,1534.00,1363744000,231966000,3681.00,1886229.60,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_9.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_9.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,8,200,15,1,1,1,1,0,0
10,도램마을19단지아파트,A10024586,3611011400,19148067,4,도담동,도램마을,세종특별자치시 보듬4로 111,세종특별자치시 도담동 638,36.51527721,127.26732209,지역난방,아파트,세종도램마을16~19단지 (A10024586),723,15,114155,83942.6336000000,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""617"", ""85㎡ ~ 135㎡ 이하"": ""106"", ""135㎡ 초과"": ""0""}",2026,05,5,697138000,96692000,1534.00,1363744000,231966000,3681.00,1886229.60,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_10.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_10.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,외기온|난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,15,200,16,1,1,1,1,1,1
