source_column,category_value,derived_feature_column
manufacturer,manufacturer 1,manufacturer__is__manufacturer_1
manufacturer,manufacturer 2,manufacturer__is__manufacturer_2
configuration_type,SH,configuration_type__is__sh
configuration_type,SH + DHW,configuration_type__is__sh_dhw
configuration_type,SH + DHW with sub-circuits,configuration_type__is__sh_dhw_with_sub_circuits
configuration_type,SH with buffer tank,configuration_type__is__sh_with_buffer_tank
configuration_type,SH with sub-circuits,configuration_type__is__sh_with_sub_circuits
configuration_type,missing,configuration_type__is__missing
season_bucket,autumn,season_bucket__is__autumn
season_bucket,spring,season_bucket__is__spring
season_bucket,summer,season_bucket__is__summer
season_bucket,winter,season_bucket__is__winter
s_dhw_3-way_valve_status__dominant,AUS,s_dhw_3-way_valve_status__dominant__is__aus
s_dhw_3-way_valve_status__dominant,EIN,s_dhw_3-way_valve_status__dominant__is__ein
s_dhw_3-way_valve_status__dominant,missing,s_dhw_3-way_valve_status__dominant__is__missing
s_dhw_control_unit_mode__dominant,Standby,s_dhw_control_unit_mode__dominant__is__standby
s_dhw_control_unit_mode__dominant,Tag,s_dhw_control_unit_mode__dominant__is__tag
s_dhw_control_unit_mode__dominant,missing,s_dhw_control_unit_mode__dominant__is__missing
s_hc1.1_control_unit_mode__dominant,Nacht,s_hc1.1_control_unit_mode__dominant__is__nacht
s_hc1.1_control_unit_mode__dominant,Tag,s_hc1.1_control_unit_mode__dominant__is__tag
s_hc1.1_control_unit_mode__dominant,missing,s_hc1.1_control_unit_mode__dominant__is__missing
s_hc1.1_heating_pump_status__dominant,EIN,s_hc1.1_heating_pump_status__dominant__is__ein
s_hc1.1_heating_pump_status__dominant,missing,s_hc1.1_heating_pump_status__dominant__is__missing
s_hc1.2_control_unit_mode__dominant,Nacht,s_hc1.2_control_unit_mode__dominant__is__nacht
s_hc1.2_control_unit_mode__dominant,Standby,s_hc1.2_control_unit_mode__dominant__is__standby
s_hc1.2_control_unit_mode__dominant,Tag,s_hc1.2_control_unit_mode__dominant__is__tag
s_hc1.2_control_unit_mode__dominant,missing,s_hc1.2_control_unit_mode__dominant__is__missing
s_hc1.2_dhw_control unit_mode__dominant,Standby,s_hc1.2_dhw_control unit_mode__dominant__is__standby
s_hc1.2_dhw_control unit_mode__dominant,missing,s_hc1.2_dhw_control unit_mode__dominant__is__missing
s_hc1.2_heating_pump_status__dominant,AUS,s_hc1.2_heating_pump_status__dominant__is__aus
s_hc1.2_heating_pump_status__dominant,EIN,s_hc1.2_heating_pump_status__dominant__is__ein
s_hc1.2_heating_pump_status__dominant,missing,s_hc1.2_heating_pump_status__dominant__is__missing
s_hc1.3_control_unit_mode__dominant,Tag,s_hc1.3_control_unit_mode__dominant__is__tag
s_hc1.3_control_unit_mode__dominant,missing,s_hc1.3_control_unit_mode__dominant__is__missing
s_hc1.3_heating_pump_status__dominant,AUS,s_hc1.3_heating_pump_status__dominant__is__aus
s_hc1.3_heating_pump_status__dominant,EIN,s_hc1.3_heating_pump_status__dominant__is__ein
s_hc1.3_heating_pump_status__dominant,missing,s_hc1.3_heating_pump_status__dominant__is__missing
s_hc1_control_unit_mode__dominant,Nacht,s_hc1_control_unit_mode__dominant__is__nacht
s_hc1_control_unit_mode__dominant,Standby,s_hc1_control_unit_mode__dominant__is__standby
s_hc1_control_unit_mode__dominant,Tag,s_hc1_control_unit_mode__dominant__is__tag
s_hc1_control_unit_mode__dominant,missing,s_hc1_control_unit_mode__dominant__is__missing
s_hc1_heating_pump_status_setpoint__dominant,AUS,s_hc1_heating_pump_status_setpoint__dominant__is__aus
s_hc1_heating_pump_status_setpoint__dominant,EIN,s_hc1_heating_pump_status_setpoint__dominant__is__ein
s_hc1_heating_pump_status_setpoint__dominant,missing,s_hc1_heating_pump_status_setpoint__dominant__is__missing
