column_name,role,dtype
manufacturer,identifier,str
substation_id,identifier,int64
source_file,source_trace,str
window_start,time_range,str
window_end,time_range,str
main_missing_sensors,explanation_text,str
main_changed_sensors,explanation_text,str
season_bucket,time_context,str
label,target,str
fault_label,target_context,str
fault_event_id,event_identifier,float64
estimated_lead_time_hours,lead_time_target,float64
normal_event_related,label_context,bool
maintenance_related,interpretation_context,bool
disturbance_count,interpretation_context,int64
leakage_blocked_fault_count,leakage_guard,int64
window_source_type,training_control,str
use_for_supervised_training,training_control,bool
configuration_type,configuration_context,str
normal_reference_group,configuration_context,str
s_hc1_control_unit_mode__dominant,control_context,str
s_dhw_control_unit_mode__dominant,control_context,str
s_hc1_heating_pump_status_setpoint__dominant,control_context,str
s_dhw_3-way_valve_status__dominant,control_context,str
s_hc1.2_heating_pump_status__dominant,control_context,str
s_hc1.3_heating_pump_status__dominant,control_context,str
s_hc1.1_control_unit_mode__dominant,control_context,str
s_hc1.2_control_unit_mode__dominant,control_context,str
s_hc1.2_dhw_control unit_mode__dominant,control_context,str
s_hc1.1_heating_pump_status__dominant,control_context,str
s_hc1.3_control_unit_mode__dominant,control_context,str
split_time_based,evaluation_split,str
split_substation_based,evaluation_split,str
split_regime_based,evaluation_split,str
normal_reference_outlier,training_control,bool
normal_reference_outlier_count,training_control,int64
normal_reference_filter_reason,training_control,str
