manufacturer,substation_id,window_start,window_end,configuration_type,label,fault_label,fault_event_id,anomaly_ensemble_score,anomaly_policy_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,anomaly_criticality,anomaly_event_label,anomaly_evidence_event_label,anomaly_evidence_source,risk_probability,risk_score,risk_level_calibrated,predicted_lead_time_bucket,leadtime_urgency_score,current_best_priority_score,current_best_priority_level,priority_score,priority_level,priority_source,policy_version,current_best_weight,m1_specialist_weight,decision_basis,priority_high_label,m1_specialist_priority_score,m1_specialist_priority_level,m1_hybrid_priority_score,m1_hybrid_priority_level,m1_evidence_pre_event_score,m1_evidence_leadtime_score,m1_evidence_priority_score,m1_evidence_priority_level,m1_evidence_trigger,m1_risk_pre_event_priority_score,m1_risk_pre_event_priority_level,m1_risk_pre_event_trigger,m1_priority_agreement,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons,shadow_priority_score,priority_policy_agreement,operational_label,primary_state,review_required,review_reasons,trust_level,first_crossing_time,stable_crossing_time,stable_crossing_lead_hours,why_reason,recommended_action
manufacturer 1,10,2014-05-04 00:00:00,2014-05-04 06:00:00,SH + DHW,pre_fault,Motorised control valve (primary side): Actuator defective,1,32.1067107719,1.08025644987,0.972230804885,59.7165326294,2,2,0,0,no_active_anomaly,0.990078952429,1,critical,0-24h,0.827940423517,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,81.1927183104,high,94.7339611269,urgent,99.7354647362,84.7940423517,99.7354647362,high,pre_event,100,urgent,risk|pre_event,both_high,0.775206247367,0.170390844583,0.11612324773,0.997354647362,fault,,unknown_review,0.1,False,,88.8382127055,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed,medium,2014-05-04 00:00:00,2014-05-04 00:00:00,12,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; m1_evidence_priority=high; evidence_trigger=pre_event; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk|pre_event; agreement=both_high; fault_gate=0.775; pre_event=0.997; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk|pre_event.
manufacturer 1,7,2017-11-25 12:00:00,2017-11-25 18:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,17.1636756454,1.00307650836,0.902768857527,31.583725061,2,4,0,0,no_active_anomaly,0.995942162385,1,critical,0-24h,0.8944112787,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,81.8462589993,high,94.9169525198,urgent,97.2980375241,91.44112787,97.2980375241,medium,none,100,urgent,risk,both_high,0.571611938526,0.108949684867,0.0345406574455,0.972980375241,fault,,unknown_review,0.1,False,,90.832338361,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; m1_evidence_priority=medium; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=both_high; fault_gate=0.572; pre_event=0.973; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-25 18:00:00,2017-11-26 00:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.9061770795,1.02130655208,0.91917589687,31.0833290717,2,5,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.996105087284,1,critical,0-24h,0.918933086497,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,30.599859799,low,80.5679607437,high,2.78521309827,93.8933086497,93.8933086497,medium,none,100,urgent,risk,current_only_high,0.212912366832,0.0613072776906,0.0508335735463,0.0278521309827,normal,,unknown_review,0.1,False,,93.8179925949,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|m1_priority_disagreement|m1_priority_disagreement,medium_high,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; m1_evidence_priority=medium; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.213; pre_event=0.028; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-21 12:00:00,2017-11-21 18:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.8119945663,0.975852760177,0.878267484159,30.9419034882,1,0,0,0,no_active_anomaly,0.99281883924,1,critical,0-24h,0.899606921918,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,51.0122002363,medium,86.2834160662,urgent,40.9527137796,91.9606921918,91.9606921918,medium,none,100,urgent,risk,current_only_high,0.507306588431,0.143371531574,0.0944951144051,0.409527137796,fault,,unknown_review,0.1,True,m1_specialist_gate_near_threshold,86.4882076575,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_specialist_gate_near_threshold|m1_priority_disagreement|m1_specialist_gate_near_threshold|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; m1_evidence_priority=medium; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.507; pre_event=0.410; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-22 18:00:00,2017-11-23 00:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.7760442797,0.986891514086,0.888202362677,30.8652625835,1,0,0,0,no_active_anomaly,0.994893693608,1,critical,0-24h,0.863844143617,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,64.3470216623,medium,90.0171660654,urgent,67.1485406433,88.3844143617,88.3844143617,low,none,100,urgent,risk,current_only_high,0.700678897261,0.186104441678,0.0942587768137,0.671485406433,fault,,unknown_review,0.1,False,,85.4153243085,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; m1_evidence_priority=low; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.701; pre_event=0.671; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-24 12:00:00,2017-11-24 18:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.7367727975,0.991428501921,0.892285651729,30.7875444174,1,0,0,0,no_active_anomaly,0.99639697396,1,critical,1-3d,0.776022235087,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,49.4592354947,medium,85.8485859385,urgent,44.8701244401,79.6022235087,79.6022235087,low,none,100,urgent,risk,current_only_high,0.636593343528,0.156417970192,0.0869312506813,0.448701244401,fault,,unknown_review,0.1,False,,82.7806670526,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; m1_evidence_priority=low; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.637; pre_event=0.449; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-23 12:00:00,2017-11-23 18:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.7300617612,0.980236947668,0.882213252901,30.7838142119,1,0,0,0,no_active_anomaly,0.996704610387,1,critical,1-3d,0.725178302595,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,65.339036963,medium,90.2949303496,urgent,76.5157961547,74.5178302595,76.5157961547,low,none,100,urgent,risk,current_only_high,0.720248487669,0.141416052373,0.0507452062871,0.765157961547,fault,,unknown_review,0.1,False,,81.2553490778,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; m1_evidence_priority=low; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.720; pre_event=0.765; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-22 12:00:00,2017-11-22 18:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.7146235034,0.973063068553,0.875756761697,30.7604109913,1,0,0,0,no_active_anomaly,0.99593457613,1,critical,0-24h,0.822598484344,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,69.9529870895,medium,91.5868363851,urgent,79.5909682894,84.2598484344,84.2598484344,low,none,100,urgent,risk,current_only_high,0.682021258062,0.133374421072,0.0528292304793,0.795909682894,fault,,unknown_review,0.1,False,,84.1779545303,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; m1_evidence_priority=low; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.682; pre_event=0.796; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-26 00:00:00,2017-11-26 06:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.6037458137,1.0248452525,0.922360727251,30.5098797583,2,6,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.9952087172,1,critical,0-24h,0.982101808302,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,76.1980143438,high,93.3354440163,urgent,82.2453819905,100,100,urgent,leadtime,100,urgent,risk,both_high,0.692164744394,0.18905759572,0.0772998069407,0.822453819905,fault,,unknown_review,0.1,False,,95.7130542491,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold,medium_high,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; m1_evidence_priority=urgent; evidence_trigger=leadtime; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=both_high; fault_gate=0.692; pre_event=0.822; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
manufacturer 1,7,2017-11-24 00:00:00,2017-11-24 06:00:00,SH + DHW,pre_fault,Motorised control valve (primary side) defective,67,16.5002405234,0.981025222618,0.882922700356,30.3495601023,1,0,0,0,no_active_anomaly,0.956022854525,1,critical,0-24h,0.832670889042,100,urgent,100,urgent,m1_risk_0.78_or_pre_event_0.99_gate_v4,m1_risk_pre_event_priority_v4,,,label-free v4 gate: restored risk_score >= 0.78 OR pre_event_probability >= 0.99; urgent when risk >= 0.92 OR pre_event >= 0.998; band score preserves level ordering,1,38.9289927181,low,82.9001179611,urgent,22.6343019033,85.2670889042,85.2670889042,low,none,100,urgent,risk,current_only_high,0.327903859886,0.0812219660974,0.0698188106666,0.226343019033,normal,,unknown_review,0.1,False,,84.4801266713,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement|m1_priority_disagreement,medium,2017-11-19 18:00:00,2017-11-19 18:00:00,162,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=urgent; m1_evidence_priority=low; evidence_trigger=none; risk_pre_event_priority=urgent; risk_pre_event_trigger=risk; agreement=current_only_high; fault_gate=0.328; pre_event=0.226; fault_group=unknown_review,urgent review: high-confidence evidence gate triggered by risk.
