manufacturer,substation_id,window_start,window_end,label,fault_label,fault_event_id,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_fault_prediction,m1_specialist_task_prediction,m1_specialist_activity_prediction,m1_specialist_pre_event_prediction,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_leadtime_urgency,m1_specialist_priority_score,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons
manufacturer 1,1,2019-12-01 00:00:00,2019-12-01 06:00:00,normal,,,m1_runtime_model,2019-11-24 06:00:00,2019-12-01 06:00:00,1008,1008,1.0,0.7901796626066521,0.08148463317397,0.041654948508084155,0.9224320668322072,1,0,0,1,fault,,unknown_review,0.1,0.832919756397118,77.22135636768495,False,
manufacturer 1,1,2019-12-01 06:00:00,2019-12-01 12:00:00,normal,,,m1_runtime_model,2019-11-24 12:00:00,2019-12-01 12:00:00,1008,1008,1.0,0.7866767041633387,0.052635214610590814,0.021971327098656294,0.9243814781019395,1,0,0,1,fault,,unknown_review,0.1,0.8231662088499543,77.03596756110531,False,
manufacturer 1,1,2019-12-01 18:00:00,2019-12-02 00:00:00,normal,,,m1_runtime_model,2019-11-25 00:00:00,2019-12-02 00:00:00,1008,1008,1.0,0.8106444516416027,0.046224958200334405,0.0190824382097674,0.5607243834130214,1,0,0,0,fault,,unknown_review,0.1,0.8152732097479238,56.7980373801539,False,
manufacturer 1,1,2019-12-02 12:00:00,2019-12-02 18:00:00,normal,,,m1_runtime_model,2019-11-25 18:00:00,2019-12-02 18:00:00,1008,1008,1.0,0.7957352989095002,0.10775640410928224,0.06794828030986928,0.6816287427038888,1,0,0,1,fault,,unknown_review,0.1,0.6989043716102323,59.95671199702086,False,
manufacturer 1,1,2019-12-02 18:00:00,2019-12-03 00:00:00,normal,,,m1_runtime_model,2019-11-26 00:00:00,2019-12-03 00:00:00,1008,1008,1.0,0.5020506005793007,0.07418511361420353,0.04969138080209871,0.1118245876293569,1,0,0,0,fault,,unknown_review,0.1,0.8533306066651767,33.25027051956994,True,m1_specialist_gate_near_threshold
manufacturer 1,1,2019-12-03 00:00:00,2019-12-03 06:00:00,normal,,,m1_runtime_model,2019-11-26 06:00:00,2019-12-03 06:00:00,1008,1008,1.0,0.7639997143008952,0.08159599631387936,0.04376384457021465,0.9358586314197755,1,0,0,1,fault,,unknown_review,0.1,0.8598666910028836,78.76822545817416,False,
manufacturer 1,1,2019-12-03 06:00:00,2019-12-03 12:00:00,normal,,,m1_runtime_model,2019-11-26 12:00:00,2019-12-03 12:00:00,1008,1008,1.0,0.8163396656755797,0.09468325823116862,0.05272849103486111,0.9519967853240833,1,0,0,1,fault,,unknown_review,0.1,0.9791102924656944,83.23313196679541,False,
manufacturer 1,1,2019-12-03 12:00:00,2019-12-03 18:00:00,normal,,,m1_runtime_model,2019-11-26 18:00:00,2019-12-03 18:00:00,1008,1008,1.0,0.8820139715450752,0.11742545855957585,0.04876384457021465,0.7762706516895358,1,0,0,1,fault,,unknown_review,0.1,0.996640987914782,74.09411548036793,False,
manufacturer 1,1,2019-12-04 00:00:00,2019-12-04 06:00:00,normal,,,m1_runtime_model,2019-11-27 06:00:00,2019-12-04 06:00:00,1008,1008,1.0,0.8100282537741946,0.1357074961560446,0.08556187570917899,0.7305283203284132,1,0,0,1,fault,,unknown_review,0.1,0.9484316525194189,70.1320071936453,False,
manufacturer 1,1,2019-12-04 06:00:00,2019-12-04 12:00:00,normal,,,m1_runtime_model,2019-11-27 12:00:00,2019-12-04 12:00:00,1008,1008,1.0,0.8047564879372754,0.11799477877424491,0.056831719529393955,0.8747236096244475,1,0,0,1,fault,,unknown_review,0.1,0.8653774136965604,75.57112094024141,False,
