method,split,row_count,normal_count,pre_fault_count,precision,recall,f1,false_positive_rate,roc_auc,average_precision
iforest_policy,train,900,682,218,0.369426751592,0.266055045872,0.309333333333,0.145161290323,0.604179558234,0.378991307735
mahalanobis_policy,train,900,682,218,0.9125,0.334862385321,0.489932885906,0.0102639296188,0.890964244397,0.751446238834
policy_and_point,train,900,682,218,0.906976744186,0.178899082569,0.298850574713,0.0058651026393,0.889343269929,0.731259868655
strong_q99_and_point,train,900,682,218,0.947368421053,0.0825688073394,0.151898734177,0.00146627565982,0.889343269929,0.731259868655
policy_and_criticality,train,900,682,218,0.818181818182,0.0412844036697,0.0786026200873,0.00293255131965,0.889343269929,0.731259868655
iforest_policy,validation,169,143,26,0.0754716981132,0.153846153846,0.101265822785,0.342657342657,0.514792899408,0.190735472987
mahalanobis_policy,validation,169,143,26,0.046875,0.115384615385,0.0666666666667,0.426573426573,0.29962345347,0.214583272291
policy_and_point,validation,169,143,26,0.06,0.115384615385,0.0789473684211,0.328671328671,0.292899408284,0.150726076855
strong_q99_and_point,validation,169,143,26,0.5,0.0384615384615,0.0714285714286,0.00699300699301,0.292899408284,0.150726076855
policy_and_criticality,validation,169,143,26,0,0,0,0.286713286713,0.292899408284,0.150726076855
iforest_policy,holdout,183,106,77,0.76,0.493506493506,0.59842519685,0.11320754717,0.636976231316,0.700609963947
mahalanobis_policy,holdout,183,106,77,0.613333333333,0.597402597403,0.605263157895,0.27358490566,0.656579269787,0.722849091672
policy_and_point,holdout,183,106,77,0.826086956522,0.493506493506,0.617886178862,0.0754716981132,0.667238421955,0.737960705195
strong_q99_and_point,holdout,183,106,77,1,0.285714285714,0.444444444444,0,0.667238421955,0.737960705195
policy_and_criticality,holdout,183,106,77,1,0.272727272727,0.428571428571,0,0.667238421955,0.737960705195
