manufacturer,substation_id,source_file,window_start,window_end,main_missing_sensors,main_changed_sensors,season_bucket,label,fault_label,fault_event_id,estimated_lead_time_hours,normal_event_related,maintenance_related,disturbance_count,leakage_blocked_fault_count,window_source_type,use_for_supervised_training,configuration_type,normal_reference_group,s_hc1_control_unit_mode__dominant,s_dhw_control_unit_mode__dominant,s_hc1_heating_pump_status_setpoint__dominant,s_dhw_3-way_valve_status__dominant,s_hc1.2_heating_pump_status__dominant,s_hc1.3_heating_pump_status__dominant,s_hc1.1_control_unit_mode__dominant,s_hc1.2_control_unit_mode__dominant,s_hc1.2_dhw_control unit_mode__dominant,s_hc1.1_heating_pump_status__dominant,s_hc1.3_control_unit_mode__dominant,split_time_based,split_substation_based,split_regime_based,normal_reference_outlier,normal_reference_outlier_count,normal_reference_filter_reason,configuration_type__is__missing,configuration_type__is__sh,configuration_type__is__sh_with_buffer_tank,configuration_type__is__sh_with_sub_circuits,manufacturer__is__manufacturer_1,manufacturer__is__manufacturer_2,s_dhw_3-way_valve_status__dominant__is__aus,s_dhw_3-way_valve_status__dominant__is__ein,s_dhw_3-way_valve_status__dominant__is__missing,s_dhw_control_unit_mode__dominant__is__missing,s_dhw_control_unit_mode__dominant__is__standby,s_dhw_control_unit_mode__dominant__is__tag,s_hc1.1_control_unit_mode__dominant__is__missing,s_hc1.1_control_unit_mode__dominant__is__nacht,s_hc1.1_control_unit_mode__dominant__is__tag,s_hc1.1_heating_pump_status__dominant__is__ein,s_hc1.1_heating_pump_status__dominant__is__missing,s_hc1.2_control_unit_mode__dominant__is__missing,s_hc1.2_control_unit_mode__dominant__is__nacht,s_hc1.2_control_unit_mode__dominant__is__standby,s_hc1.2_control_unit_mode__dominant__is__tag,s_hc1.2_dhw_control unit_mode__dominant__is__missing,s_hc1.2_dhw_control unit_mode__dominant__is__standby,s_hc1.2_heating_pump_status__dominant__is__aus,s_hc1.2_heating_pump_status__dominant__is__ein,s_hc1.2_heating_pump_status__dominant__is__missing,s_hc1.3_control_unit_mode__dominant__is__missing,s_hc1.3_control_unit_mode__dominant__is__tag,s_hc1.3_heating_pump_status__dominant__is__aus,s_hc1.3_heating_pump_status__dominant__is__ein,s_hc1.3_heating_pump_status__dominant__is__missing,s_hc1_control_unit_mode__dominant__is__missing,s_hc1_control_unit_mode__dominant__is__nacht,s_hc1_control_unit_mode__dominant__is__standby,s_hc1_control_unit_mode__dominant__is__tag,s_hc1_heating_pump_status_setpoint__dominant__is__aus,s_hc1_heating_pump_status_setpoint__dominant__is__ein,s_hc1_heating_pump_status_setpoint__dominant__is__missing,has_buffer_tank,has_dhw,s_hc1_supply_temperature_setpoint__missing_count,s_hc1_supply_temperature_setpoint__missing_rate,s_dhw_lower_storage_temperature__missing_count,s_dhw_lower_storage_temperature__missing_rate,s_dhw_upper_storage_temperature__missing_count,s_dhw_upper_storage_temperature__missing_rate,s_dhw_supply_temperature__missing_count,s_dhw_supply_temperature__missing_rate,s_dhw_supply_temperature_setpoint__missing_count,s_dhw_supply_temperature_setpoint__missing_rate,iforest_anomaly_score,mahalanobis_score,iforest_threshold,mahalanobis_threshold,iforest_score_ratio,mahalanobis_score_ratio,iforest_q99_label,mahalanobis_q99_label,iforest_anomaly_label,mahalanobis_anomaly_label,anomaly_consensus_count,anomaly_ensemble_score,anomaly_policy_score,anomaly_score,anomaly_label,strong_anomaly_label,anomaly_criticality,anomaly_event_label
manufacturer 1,1,substation_1.csv,2019-12-01 00:00:00,2019-12-01 06:00:00,,p_net_meter_energy|p_net_meter_flow|p_net_supply_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,train,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.459842982072,168.181780548,0.543030891697,239.472775395,0.846808144994,0.702300210411,0,0,0,0,0,0.770218939665,0.702300210411,0.702300210411,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-01 06:00:00,2019-12-01 12:00:00,,p_net_meter_flow|p_net_meter_energy|p_net_meter_heat_power|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,train,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.479754056014,232.653642983,0.543030891697,239.472775395,0.883474703466,0.971524393947,0,0,0,0,0,0.930141039421,0.971524393947,0.971524393947,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-01 18:00:00,2019-12-02 00:00:00,,p_net_meter_flow|p_net_meter_energy|p_net_meter_heat_power|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,train,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.472831468448,200.24986731,0.543030891697,239.472775395,0.870726648664,0.836211410584,0,0,0,0,0,0.852433572481,0.836211410584,0.836211410584,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-02 12:00:00,2019-12-02 18:00:00,,p_net_meter_flow|p_net_meter_energy|p_net_meter_heat_power|s_dhw_lower_storage_temperature|p_net_return_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.474056844696,277.592758616,0.543030891697,239.472775395,0.872983198461,1.15918295162,0,1,0,1,1,1.02466906764,0.969981331623,0.969981331623,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-02 18:00:00,2019-12-03 00:00:00,,p_net_meter_flow|p_net_meter_energy|p_net_meter_heat_power|p_net_return_temperature|s_hc1_supply_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.455531855244,182.394781443,0.543030891697,239.472775395,0.838869136563,0.761651428399,0,0,0,0,0,0.797943751236,0.761651428399,0.761651428399,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-03 00:00:00,2019-12-03 06:00:00,,p_net_meter_flow|p_net_meter_energy|s_dhw_lower_storage_temperature|p_net_meter_heat_power|s_hc1_supply_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.441966799775,109.964840314,0.543030891697,239.472775395,0.813888871762,0.459195581343,0,0,0,0,0,0.62590142784,0.459195581343,0.459195581343,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-03 06:00:00,2019-12-03 12:00:00,,p_net_meter_energy|p_net_meter_flow|s_dhw_upper_storage_temperature|s_hc1_supply_temperature_setpoint|s_dhw_lower_storage_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.435301018832,202.334547195,0.543030891697,239.472775395,0.801613730431,0.844916700284,0,0,0,0,0,0.824564304453,0.844916700284,0.844916700284,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-03 12:00:00,2019-12-03 18:00:00,,p_net_meter_energy|p_net_meter_flow|s_dhw_upper_storage_temperature|p_net_meter_heat_power|s_hc1_supply_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.428195181143,121.85330108,0.543030891697,239.472775395,0.788528217622,0.508839891628,0,0,0,0,0,0.640293404845,0.508839891628,0.508839891628,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-04 00:00:00,2019-12-04 06:00:00,,p_net_meter_flow|p_net_meter_energy|s_dhw_lower_storage_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.45266056995,131.943479441,0.543030891697,239.472775395,0.833581619152,0.550974862271,0,0,0,0,0,0.683800038006,0.550974862271,0.550974862271,0,0,0,0
manufacturer 1,1,substation_1.csv,2019-12-04 06:00:00,2019-12-04 12:00:00,,p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|s_dhw_upper_storage_temperature|s_dhw_supply_temperature,winter,normal,,,,True,False,0,0,normal_context,True,SH + DHW,manufacturer 1|SH + DHW|winter,,,,,,,,,,,,validation,holdout,validation,False,0,,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,False,True,0,0,0,0,0,0,0,0,0,0,0.445161213266,219.317540146,0.543030891697,239.472775395,0.819771434871,0.915834961965,0,0,0,0,0,0.870685104231,0.910857149857,0.910857149857,0,0,0,0
