manufacturer,substation_id,window_start,window_end,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean
manufacturer 1,1,2019-12-01 00:00:00,2019-12-01 06:00:00,m1_runtime_model,2019-11-24 06:00:00,2019-12-01 06:00:00,1008,1008,1,1.51483300265,1.91003306878,0.34,-3.8636276455,-2.92619190917,-31.866248631,-2.09097222222,-0.835219686949,1.045,-3.16130576224,0.536256108109,0.225,-3.37518535053
manufacturer 1,1,2019-12-01 06:00:00,2019-12-01 12:00:00,m1_runtime_model,2019-11-24 12:00:00,2019-12-01 12:00:00,1008,1008,1,3.21791005291,2.74326388889,3.6,-3.81115244709,-4.18998531195,18.5294792875,-3.58711419753,-0.602871114418,-1.45,-5.36554766038,0.259368843994,0.435,-5.7310408675
manufacturer 1,1,2019-12-01 18:00:00,2019-12-02 00:00:00,m1_runtime_model,2019-11-25 00:00:00,2019-12-02 00:00:00,1008,1008,1,4.87184027778,0.755324074074,8.52,-4.25671296296,-8.28723454034,85.2775721287,-5.37559799383,-2.91163654652,-14.46,-12.7548869737,0.743725162201,-2.52,-13.2939083444
manufacturer 1,1,2019-12-02 12:00:00,2019-12-02 18:00:00,m1_runtime_model,2019-11-25 18:00:00,2019-12-02 18:00:00,1008,1008,1,1.62194212963,0.251069444444,8.86,1.50703009259,-12.0923354277,-4.60149919821,-4.89286265432,-7.19947277337,10.965,-18.9410956928,-0.896020633589,-1.02,-19.0879866623
manufacturer 1,1,2019-12-02 18:00:00,2019-12-03 00:00:00,m1_runtime_model,2019-11-26 00:00:00,2019-12-03 00:00:00,1008,1008,1,-1.09540046296,-4.19291203704,5.725,3.69299537037,-11.161903136,-49.445351124,-5.03811728395,-6.12378585207,-1.7,-17.2143489721,-1.40290723961,-2.455,-17.2670719246
manufacturer 1,1,2019-12-03 00:00:00,2019-12-03 06:00:00,m1_runtime_model,2019-11-26 06:00:00,2019-12-03 06:00:00,1008,1008,1,-4.96648263889,-1.79821064815,4.795,1.84184953704,-9.41920637676,-59.1759954446,-4.66321373457,-4.7559926422,-4.23,-14.8427565724,-2.72657566826,-0.655,-14.6624258984
manufacturer 1,1,2019-12-03 06:00:00,2019-12-03 12:00:00,m1_runtime_model,2019-11-26 12:00:00,2019-12-03 12:00:00,1008,1008,1,-4.00668634259,-0.224039351852,6.265,2.24103935185,-7.03266085207,-12.0856603656,-4.31539351852,-2.71726733355,-4.21,-11.3874778301,-2.30834367517,0.97,-11.1020480049
manufacturer 1,1,2019-12-03 12:00:00,2019-12-03 18:00:00,m1_runtime_model,2019-11-26 18:00:00,2019-12-03 18:00:00,1008,1008,1,-0.682172453704,0.881944444444,6.59,4.89252083333,-4.8358684138,-27.8806434306,-3.35349151235,-1.48237690146,0.265,-8.10186440421,-2.78307297092,0.00999999999999,-7.96337883047
manufacturer 1,1,2019-12-04 00:00:00,2019-12-04 06:00:00,m1_runtime_model,2019-11-27 06:00:00,2019-12-04 06:00:00,1008,1008,1,-2.29391203704,-1.10009259259,3.595,-0.585543981481,-1.83155938602,-0.368823457293,-2.04894868827,0.217389302249,-0.776666666667,-4.05431087412,-4.64318326212,1.25,-3.96214262291
manufacturer 1,1,2019-12-04 06:00:00,2019-12-04 12:00:00,m1_runtime_model,2019-11-27 12:00:00,2019-12-04 12:00:00,1008,1008,1,-1.91240740741,0.560208333333,3.69,0.396469907407,-0.929885003307,-48.5650568201,-0.991078317901,0.0611933145944,-1,-2.54325570437,-4.12631845292,0.606666666667,-2.31654655809
manufacturer 1,1,2019-12-04 12:00:00,2019-12-04 18:00:00,m1_runtime_model,2019-11-27 18:00:00,2019-12-04 18:00:00,1008,1008,1,0.742060185185,1.4637962963,6.695,2.54211574074,-0.280773506393,-47.5621056967,-0.243007330247,-0.0377661761464,2.6,-1.28233788029,-4.0060628732,0.775,-1.07299254575
manufacturer 1,1,2019-12-04 18:00:00,2019-12-05 00:00:00,m1_runtime_model,2019-11-28 00:00:00,2019-12-05 00:00:00,1008,1008,1,1.85992592593,0.232050925926,4.59833333333,-0.650914351852,-0.58012612985,-91.947414834,-0.449025848765,-0.131100281085,-4.84666666667,-1.38800068893,-3.75083363125,-1.23666666667,-1.18939898865
manufacturer 1,1,2019-12-05 06:00:00,2019-12-05 12:00:00,m1_runtime_model,2019-11-28 12:00:00,2019-12-05 12:00:00,1008,1008,1,-2.17404861111,0.807527777778,3.97666666667,1.46755787037,0.280461254409,-80.8803917567,-0.0587287808642,0.339190035273,-2.02333333333,0.116969218474,-3.83475354658,1.28,0.078681065366
manufacturer 1,1,2019-12-05 12:00:00,2019-12-05 18:00:00,m1_runtime_model,2019-11-28 18:00:00,2019-12-05 18:00:00,1008,1008,1,-0.379058862434,0.32066468254,4.06333333333,4.28557308201,0.707749724427,-41.0972677092,-0.155372299383,0.86312202381,-2.03333333333,0.798868689374,-3.452925843,-0.42,0.908762469687
manufacturer 1,1,2019-12-06 00:00:00,2019-12-06 06:00:00,m1_runtime_model,2019-11-29 06:00:00,2019-12-06 06:00:00,1008,1008,1,-0.887936507937,-0.580208333333,4.45333333333,-2.95441798942,1.95760852072,-19.7460486376,0.48041087963,1.47719764109,12.4233333333,2.57376095403,-3.22513036398,1.27333333333,2.80546250827
manufacturer 1,1,2019-12-06 06:00:00,2019-12-06 12:00:00,m1_runtime_model,2019-11-29 12:00:00,2019-12-06 12:00:00,1008,1008,1,-1.01204530423,-0.105509259259,3.855,-0.977820767196,2.00023448523,-22.4264217091,0.422926311728,1.5773081735,-3.39,2.61607191082,-2.75843151407,-1.205,2.87688168265
manufacturer 1,1,2019-12-06 12:00:00,2019-12-06 18:00:00,m1_runtime_model,2019-11-29 18:00:00,2019-12-06 18:00:00,1008,1008,1,-0.226643518519,0.337939814815,1.5,2.78625,2.16815790344,-44.8870791208,0.904890046296,1.26326785714,0.01,2.99606226576,-2.23278398384,-0.61,3.28643029376
manufacturer 1,1,2019-12-06 18:00:00,2019-12-07 00:00:00,m1_runtime_model,2019-11-30 00:00:00,2019-12-07 00:00:00,1008,1008,1,-1.14243055556,-2.85523148148,1.11333333333,2.62097222222,3.15500203924,-57.4755459649,1.5985628858,1.55643915344,-0.01,4.84389019786,-1.88879622876,-0.693333333333,5.15323970734
manufacturer 1,1,2019-12-07 00:00:00,2019-12-07 06:00:00,m1_runtime_model,2019-11-30 06:00:00,2019-12-07 06:00:00,1008,1008,1,-3.38335648148,-1.39418981481,-0.595,2.25391203704,5.16413012566,-88.3905798965,3.1448591821,2.01927094356,0.06,7.76769228119,-3.00258141156,-0.05,7.79202346506
manufacturer 1,1,2019-12-07 06:00:00,2019-12-07 12:00:00,m1_runtime_model,2019-11-30 12:00:00,2019-12-07 12:00:00,1008,1008,1,-2.12776388889,1.38808333333,0.485,2.11041435185,5.86765616733,-119.976113524,3.97572337963,1.8919327877,0.705,9.11678564539,-2.6434651509,1.38,9.09880278604
manufacturer 1,1,2019-12-07 12:00:00,2019-12-07 18:00:00,m1_runtime_model,2019-11-30 18:00:00,2019-12-07 18:00:00,1008,1008,1,1.71575462963,2.04953240741,-0.73,-0.211854166667,6.29313938492,-120.611853729,3.92055362654,2.37258575838,-7.29,9.83318707286,-2.90456853592,0.69,9.63064885086
manufacturer 1,1,2019-12-07 18:00:00,2019-12-08 00:00:00,m1_runtime_model,2019-12-01 00:00:00,2019-12-08 00:00:00,1008,1008,1,1.6776712963,-2.13180555556,-2.0625,-1.4591875,6.14334441138,-86.8339452275,3.70903742284,2.43430698854,1.05,9.71842792383,-2.94830058207,-1.3475,9.58125414738
manufacturer 1,10,2014-05-03 18:00:00,2014-05-04 00:00:00,m1_runtime_model,2014-04-27 00:00:00,2014-05-04 00:00:00,1008,1008,1,1.41875,-5.65,-5.05,-9.04513888889,0.873900462963,-71.4277551061,-3.0879358574,3.96970547099,8.28333333333,2.53321759259,-1.60292985808,1.65,5.17228009259
manufacturer 1,10,2014-05-04 00:00:00,2014-05-04 06:00:00,m1_runtime_model,2014-04-27 06:00:00,2014-05-04 06:00:00,1008,1008,1,-4.18888888889,-0.651388888889,1.7,-10.2340277778,-1.20144675926,-121.393362425,-5.84225377309,4.64869649362,1.51666666667,0.0535300925926,-1.43814976911,3.75,2.60011574074
manufacturer 1,10,2014-05-04 06:00:00,2014-05-04 12:00:00,m1_runtime_model,2014-04-27 12:00:00,2014-05-04 12:00:00,1008,1008,1,-2.42152777778,2.10972222222,-5.35,-2.59027777778,-4.8884837963,-180.138628,-9.90182637263,5.02185954983,5.3,-4.2775462963,-6.33906077708,-0.55,-1.94241898148
manufacturer 1,11,2016-09-30 00:00:00,2016-09-30 06:00:00,m1_runtime_model,2016-09-23 06:00:00,2016-09-30 06:00:00,1008,1008,1,-2.4625,-2.98888888889,-2.35,2.45069444444,0.428645833333,-0.344450757476,-1.77736604141,2.59313853032,-1.43333333333,2.38564814815,0.760630655916,15.7,0.000868055555564
