manufacturer,substation_id,window_start,window_end,source_file,configuration_type,season_bucket,label,fault_label,fault_event_id,estimated_lead_time_hours,lead_time_bucket,anomaly_score,anomaly_ensemble_score,iforest_anomaly_score,mahalanobis_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,strong_anomaly_label,anomaly_criticality,anomaly_event_label,mw_anomaly_1h_iforest_score_ratio,mw_anomaly_1h_mahalanobis_score_ratio,mw_anomaly_1h_score,mw_anomaly_1h_label,mw_anomaly_1h_strong_label,mw_anomaly_1h_criticality,mw_anomaly_1h_event_label,mw_anomaly_3h_iforest_score_ratio,mw_anomaly_3h_mahalanobis_score_ratio,mw_anomaly_3h_score,mw_anomaly_3h_label,mw_anomaly_3h_strong_label,mw_anomaly_3h_criticality,mw_anomaly_3h_event_label,mw_anomaly_6h_iforest_score_ratio,mw_anomaly_6h_mahalanobis_score_ratio,mw_anomaly_6h_score,mw_anomaly_6h_label,mw_anomaly_6h_strong_label,mw_anomaly_6h_criticality,mw_anomaly_6h_event_label,mw_anomaly_12h_iforest_score_ratio,mw_anomaly_12h_mahalanobis_score_ratio,mw_anomaly_12h_score,mw_anomaly_12h_label,mw_anomaly_12h_strong_label,mw_anomaly_12h_criticality,mw_anomaly_12h_event_label,mw_anomaly_multi_window_count,mw_anomaly_short_term_confirmed,mw_anomaly_main_confirmed,mw_anomaly_persistent_confirmed,mw_anomaly_fast_spike,mw_anomaly_operational_confirmed,mw_anomaly_context_score,mw_anomaly_has_raw_data,group_mahalanobis_global_score_ratio,group_mahalanobis_global_label,group_mahalanobis_manufacturer_score_ratio,group_mahalanobis_manufacturer_label,group_mahalanobis_configuration_score_ratio,group_mahalanobis_configuration_label,group_mahalanobis_aux_count,risk_probability,risk_probability_raw,risk_probability_roll4_max,risk_probability_roll8_mean,risk_probability_roll8_max,risk_probability_delta1,risk_temporal_boost,risk_score,risk_watch_label,risk_recent_high_count_48h,risk_recent_watch_count_48h,risk_repeated_high_48h,risk_repeated_watch_48h,risk_high_episode_start,risk_score_24h_max,risk_score_24h_mean,risk_high_count_24h,risk_watch_count_24h,risk_score_3d_max,risk_score_3d_mean,risk_score_3d_slope,risk_high_count_3d,risk_watch_count_3d,risk_episode_start_count_3d,risk_score_7d_max,risk_score_7d_mean,risk_score_7d_slope,risk_high_count_7d,risk_watch_count_7d,risk_episode_start_count_7d,anomaly_criticality_24h_max,anomaly_criticality_3d_max,anomaly_criticality_7d_max,mw_anomaly_confirmed_count_24h,mw_anomaly_confirmed_count_3d,mw_anomaly_confirmed_count_7d,mw_anomaly_persistent_count_3d,mw_anomaly_persistent_count_7d,multi_horizon_persistence_score,risk_level_calibrated,risk_threshold_medium_applied,risk_threshold_high_applied,risk_threshold_critical_applied,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,expected_lead_time_hours,leadtime_near_term_probability,leadtime_within_3d_probability,leadtime_urgency_score,days_since_last_task_event,days_since_last_any_event,risk_base_score,risk_probability_component_score,leadtime_component_score,leadtime_ordinal_component_score,anomaly_component_score,multi_window_anomaly_component_score,risk_episode_component_score,multi_horizon_component_score,history_adjustment_score,history_adjustment_reason,urgency_bonus_score,urgency_bonus_reason,priority_score,priority_level,priority_reason,engine_version,anomaly_policy_score
manufacturer 1,31,2020-01-11 00:00:00,2020-01-11 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,57.8,1-3d,280.38391953,333.672004941,0.495939550555,184736.981409,0.96009615129,628.718414622,2,0,2,0,0.839689248316,735.529908308,390.22550535,1,0,2,0,0.890645294964,462.471802618,245.528658676,1,0,2,0,0.925642999948,528.205410037,280.38391953,1,0,2,0,0.884135984761,418.256818468,222.091657701,1,0,2,0,4,1,1,1,1,1,10,1,528.205410037,1,647.585311514,1,843.64306083,1,2,0.98917996338,0.98917996338,0.993084654782,0.991132309081,0.993084654782,-0.00390469140272,0.0108200366203,1,1,2,2,1,0,0,1,1,2,2,1,1,-1.11022302463e-16,2,2,1,1,1,-1.11022302463e-16,2,2,1,2,2,2,2,2,2,2,2,9.49047619048,critical,0.22,0.92,0.92,1-3d,0.995982537646,0.00303639936882,0.995982537646,0.000981062985232,47.9613261577,0.00303639936882,0.999018937015,0.667024757799,301,301,38,18,7.5,2.0010742734,17.2,12,8.08656029296,13.4904761905,0,,6,,100,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent,best_priority_engine_v1,1.06677350143
manufacturer 1,29,2020-03-06 12:00:00,2020-03-06 18:00:00,substation_29.csv,SH + DHW with sub-circuits,spring,pre_fault,Failure of the domestic hot water storage charging pump,15,13.9952777778,6-24h,240.85924166,271.098209004,0.500065891958,158652.438002,1.02213680373,510.599631521,2,1,1,0,0.818001655543,2.22522312681,1.56382903531,1,0,1,0,0.83764627082,2.67990258653,1.81404211815,1,0,1,0,0.933344581785,453.623716427,240.85924166,1,0,1,0,0.912709644548,277.239586473,147.365954363,1,0,1,0,4,1,1,1,1,1,10,1,453.623716427,1,554.867454817,1,936.719949353,1,2,0.978119716645,0.978119716645,0.978119716645,0.978119716645,0.978119716645,0,0.0218802833548,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4.74523809524,critical,0.22,0.92,0.92,0-24h,0.462393379667,0.462393379667,0.402329015718,0.135277604615,41.0938258642,0.462393379667,0.864722395385,0.730612723479,171.76349537,171.76349537,38,18,8.1,2.19183817044,16.6,12,1.67504226684,6.74523809524,0,,6,,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent,best_priority_engine_v1,1.1357075597
manufacturer 1,31,2020-01-11 06:00:00,2020-01-11 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,51.8,1-3d,210.604872405,242.470631121,0.491458482172,138692.700292,0.960495180886,456.639996955,2,0,3,0,0.758206799132,0.0858133273872,0.401838259107,0,0,1,0,0.728045860818,0.181259464938,0.438249071001,0,0,1,0,0.917279340351,396.554247387,210.604872405,1,0,3,0,0.897977806074,437.919340981,232.519300289,1,0,3,0,2,0,0,1,0,1,10,1,396.554247387,1,473.894140148,1,629.725800996,1,2,0.993160785835,0.993160785835,0.993160785835,0.991808467999,0.993160785835,0.00398082245565,0.00683921416468,1,1,3,3,1,1,0,1,1,3,3,1,1,0,3,3,1,1,1,0,3,3,1,3,3,3,3,3,3,3,3,14.2357142857,critical,0.22,0.92,0.92,1-3d,0.990862149973,0.00779089435561,0.990862149973,0.00134695567183,47.8165086116,0.00779089435561,0.998653044328,0.668365661004,301,301,38,18,7.5,2.00509698301,17.8,10.6,9.55471371332,16,0,,6,,100,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent,best_priority_engine_v1,1.06721686765
manufacturer 1,31,2020-01-13 06:00:00,2020-01-13 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,3.8,0-6h,147.894666524,163.945086635,0.486747025699,97313.2486566,0.929983605726,308.505649698,2,0,7,1,0.887548216868,360.614144026,191.542643996,1,0,3,0,0.910721883935,480.643205736,255.168938326,1,0,3,0,0.908485674473,278.240902372,147.894666524,1,0,7,1,0.866839018253,300.228356539,159.528443304,1,0,11,1,4,1,1,1,1,1,10,1,278.240902372,1,320.784008023,1,361.617854118,1,2,0.992467341054,0.992467341054,0.992565231474,0.98947803092,0.993046263827,-9.78904197829e-05,0.00753265894577,1,1,8,8,1,1,0,1,1,4,4,1,1,1.13164409274e-17,11,11,1,1,1,1.13164409274e-17,11,11,1,7,7,7,3,9,9,9,9,18,critical,0.22,0.92,0.92,0-24h,0.992138325561,0.992138325561,0.00746626839322,0.000395406045531,12.3114895151,0.992138325561,0.999604593954,0.997115837823,301,301,38,18,13.5,2.99134751347,19,12,9.56026127157,18,0,,5,high_risk_near_leadtime_criticality,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1,1.03331511747
manufacturer 1,31,2020-01-12 00:00:00,2020-01-12 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,33.8,1-3d,144.15332635,161.613830268,0.504690684854,94833.9681236,0.969977543388,304.071586457,2,0,4,0,0.957793604211,359.537815814,191.005205375,1,0,1,0,0.920189831362,319.483268714,169.758621639,1,0,2,0,0.941976495021,271.152070561,144.15332635,1,0,4,0,0.859589985043,230.220921018,122.421095433,1,0,6,1,4,1,1,1,1,1,10,1,271.152070561,1,316.74899129,1,355.534502987,1,2,0.993046263827,0.993046263827,0.993160785835,0.989153597969,0.993160785835,0.00403060717212,0.0069537361735,1,1,6,6,1,1,0,1,1,4,4,1,1,0,6,6,1,1,1,0,6,6,1,4,4,4,3,5,5,5,5,18,critical,0.22,0.92,0.92,1-3d,0.943039687976,0.0544488840754,0.943039687976,0.00251142794813,46.2206629855,0.0544488840754,0.997488572052,0.683142009393,301,301,38,18,7.5,2.04942602818,18.4,12,9.55562988939,18,0,,6,,100,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent,best_priority_engine_v1,1.07775282599
manufacturer 1,31,2020-01-13 00:00:00,2020-01-13 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,9.8,6-24h,142.325352999,157.295770994,0.495006671062,93633.3027139,0.939519940651,295.951314382,2,0,6,1,0.933975124021,3.36297918307,2.22134727532,1,0,2,0,0.940089686534,416.06462964,220.956095862,1,0,2,0,0.923901833365,267.719092712,142.325352999,1,0,6,1,0.866477364466,207.675187683,110.475093833,1,0,10,1,4,1,1,1,1,1,10,1,267.719092712,1,307.821844814,1,350.163981637,1,2,0.992565231474,0.992565231474,0.992645809131,0.989564711518,0.993160785835,0.00579764210891,0.00743476852598,1,1,8,8,1,1,0,1,1,4,4,1,1,-2.6305574508e-17,10,10,1,1,1,-2.6305574508e-17,10,10,1,6,6,6,3,8,8,8,8,18,critical,0.22,0.92,0.92,0-24h,0.994620970882,0.994620970882,0.00511462398884,0.000264405129314,12.2126822176,0.994620970882,0.999735594871,0.998030720208,301,301,38,18,13.5,2.99409216062,19,12,9.55947814821,18,0,,5,high_risk_near_leadtime_criticality,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1,1.04391104517
manufacturer 1,31,2020-01-11 18:00:00,2020-01-12 00:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,39.8,1-3d,99.0842398564,111.46753735,0.495616441168,65098.3362808,0.934468693864,209.487428422,2,0,3,0,0.748126848446,0.117532326211,0.413911751661,0,0,0,0,0.884201512137,258.642390439,137.496041644,1,0,1,0,0.92503993463,186.131077523,99.0842398564,1,0,3,0,0.83770050971,77.3462814866,41.3872484275,1,0,5,1,3,0,1,1,0,1,10,1,186.131077523,1,226.205747033,1,312.278649094,1,2,0.989015656654,0.989015656654,0.993160785835,0.988375064797,0.993160785835,0.0115813933209,0.0109843433456,1,1,5,5,1,1,0,1,1,4,4,1,1,-4.05396129633e-17,5,5,1,1,1,-4.05396129633e-17,5,5,1,3,3,3,3,4,4,4,4,17.4761904762,critical,0.22,0.92,0.92,1-3d,0.986543349583,0.0125608352984,0.986543349583,0.000895815118402,47.6123086178,0.0125608352984,0.999104184882,0.670256401687,301,301,38,18,7.5,2.01076920506,17.8,12,9.58787474676,18,0,,6,,100,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent,best_priority_engine_v1,1.03829854874
manufacturer 1,31,2020-01-12 06:00:00,2020-01-12 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,27.8,1-3d,88.6773366465,98.9500667429,0.498275817999,58229.3288348,0.964598576542,185.8428404,2,0,5,1,0.75612813758,0.131510110478,0.425080583216,0,0,0,0,0.754916194671,0.25777525628,0.491431497324,0,0,1,0,0.930003510424,166.491009428,88.6773366465,1,0,5,1,0.868597631514,207.352825672,110.305238493,1,0,7,1,2,0,0,1,0,1,10,1,166.491009428,1,208.619347531,1,336.882980774,1,2,0.992645809131,0.992645809131,0.993046263827,0.989652485278,0.993160785835,-0.000400454695677,0.00735419086917,1,1,7,7,1,1,0,1,1,4,4,1,1,-2.32765992419e-17,7,7,1,1,1,-2.32765992419e-17,7,7,1,5,5,5,3,6,6,6,6,18,critical,0.22,0.92,0.92,1-3d,0.978718883811,0.0205410740717,0.978718883811,0.000740042117211,47.3138043659,0.0205410740717,0.999259957883,0.673020329946,301,301,38,18,7.5,2.01906098984,19,10.6,9.55883352695,18,0,,5,high_risk_near_leadtime_criticality,100,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|criticality|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|high_risk_near_leadtime_criticality,best_priority_engine_v1,1.07177619616
manufacturer 1,31,2020-01-12 18:00:00,2020-01-13 00:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45,15.8,6-24h,88.2421699144,97.6550425932,0.474993900828,57955.6417039,0.948083793891,183.414043793,2,0,5,1,0.880398664213,285.809880503,151.893024039,1,0,1,0,0.843827027804,176.058210453,93.7074502433,1,0,1,0,0.886549134521,165.708475134,88.2421699144,1,0,5,1,0.827408307232,46.7127564487,25.1466428222,1,0,9,1,4,1,1,1,1,1,10,1,165.708475134,1,206.082603258,1,335.242818644,1,2,0.986767589365,0.986767589365,0.993046263827,0.989141553006,0.993160785835,-0.00511450315745,0.0132324106349,1,1,8,8,1,1,0,1,1,4,4,1,1,6.21849276085e-17,9,9,1,1,1,6.21849276085e-17,9,9,1,5,5,5,3,7,7,7,7,18,critical,0.22,0.92,0.92,0-24h,0.976863181737,0.976863181737,0.0227204773691,0.000416340893953,12.8629020018,0.976863181737,0.999583659106,0.99201016665,301,301,38,18,13.5,2.97603049995,19,12,9.60585928508,18,0,,5,high_risk_near_leadtime_criticality,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1,1.05342643766
manufacturer 1,30,2020-03-15 06:00:00,2020-03-15 12:00:00,substation_30.csv,SH + DHW,spring,pre_fault,Leakage,10,27.0666666667,1-3d,19.4661562033,38.6772948836,0.559499340171,12521.7453479,1.15466255352,71.9520820442,2,1,11,1,0.950520888666,12.7585949671,7.20880015024,1,0,11,1,0.977026525645,22.3989335072,12.3306372259,1,0,11,1,1.04427373684,35.8025425415,19.4661562033,1,1,11,1,0.97804947097,55.7868558153,30.0267168335,1,0,11,1,4,1,1,1,1,1,10,1,35.8025425415,1,72.2278701462,1,121.351919586,1,2,0.949482101407,0.949482101407,0.962898636515,0.954310424645,0.962898636515,-0.00157164616353,0.0505178985929,1,1,8,8,1,1,0,1,0.999838911329,4,4,1,0.994180953796,0.00227167017869,11,11,1,1,0.994180953796,0.00227167017869,11,11,1,11,11,11,4,11,11,11,11,18,critical,0.22,0.92,0.92,0-24h,0.928918169241,0.928918169241,0.0664101682419,0.0046716625169,14.8953056085,0.928918169241,0.995328337483,0.973191614736,69.1939467593,69.1939467593,38,18,13.5,2.91957484421,21,12,9.90414318874,18,0,,8,high_risk_0_24h_strong_anomaly,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_0_24h_strong_anomaly,best_priority_engine_v1,1.2829583928
