manufacturer,substation_id,window_start,window_end,source_file,configuration_type,season_bucket,label,fault_label,fault_event_id,estimated_lead_time_hours,lead_time_bucket,anomaly_score,anomaly_ensemble_score,iforest_anomaly_score,mahalanobis_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,strong_anomaly_label,anomaly_criticality,anomaly_event_label,mw_anomaly_1h_iforest_score_ratio,mw_anomaly_1h_mahalanobis_score_ratio,mw_anomaly_1h_score,mw_anomaly_1h_label,mw_anomaly_1h_strong_label,mw_anomaly_1h_criticality,mw_anomaly_1h_event_label,mw_anomaly_3h_iforest_score_ratio,mw_anomaly_3h_mahalanobis_score_ratio,mw_anomaly_3h_score,mw_anomaly_3h_label,mw_anomaly_3h_strong_label,mw_anomaly_3h_criticality,mw_anomaly_3h_event_label,mw_anomaly_6h_iforest_score_ratio,mw_anomaly_6h_mahalanobis_score_ratio,mw_anomaly_6h_score,mw_anomaly_6h_label,mw_anomaly_6h_strong_label,mw_anomaly_6h_criticality,mw_anomaly_6h_event_label,mw_anomaly_12h_iforest_score_ratio,mw_anomaly_12h_mahalanobis_score_ratio,mw_anomaly_12h_score,mw_anomaly_12h_label,mw_anomaly_12h_strong_label,mw_anomaly_12h_criticality,mw_anomaly_12h_event_label,mw_anomaly_multi_window_count,mw_anomaly_short_term_confirmed,mw_anomaly_main_confirmed,mw_anomaly_persistent_confirmed,mw_anomaly_fast_spike,mw_anomaly_operational_confirmed,mw_anomaly_context_score,mw_anomaly_has_raw_data,group_mahalanobis_global_score_ratio,group_mahalanobis_global_label,group_mahalanobis_manufacturer_score_ratio,group_mahalanobis_manufacturer_label,group_mahalanobis_configuration_score_ratio,group_mahalanobis_configuration_label,group_mahalanobis_aux_count,raw_ae_score_mean,raw_ae_score_max,raw_ae_score_p95,raw_ae_score_ratio_q999_max,raw_ae_score_ratio_q998_max,raw_ae_seq_cmax_q999,raw_ae_seq_cmax_q998,raw_ae_roll5d_cmax_q999,raw_ae_roll5d_cmax_q998,raw_ae_alarm_q999_c24,raw_ae_alarm_q999_c32,raw_ae_alarm_q998_c48,raw_ae_alarm_union_q998_c48_or_q999_spike,raw_ae_has_model,risk_probability,risk_probability_raw,risk_probability_roll4_max,risk_probability_roll8_mean,risk_probability_roll8_max,risk_probability_delta1,risk_temporal_boost,risk_score,risk_watch_label,risk_recent_high_count_48h,risk_recent_watch_count_48h,risk_repeated_high_48h,risk_repeated_watch_48h,risk_high_episode_start,risk_score_24h_max,risk_score_24h_mean,risk_high_count_24h,risk_watch_count_24h,risk_score_3d_max,risk_score_3d_mean,risk_score_3d_slope,risk_high_count_3d,risk_watch_count_3d,risk_episode_start_count_3d,risk_score_7d_max,risk_score_7d_mean,risk_score_7d_slope,risk_high_count_7d,risk_watch_count_7d,risk_episode_start_count_7d,anomaly_criticality_24h_max,anomaly_criticality_3d_max,anomaly_criticality_7d_max,raw_ae_alarm_count_24h,raw_ae_alarm_count_3d,raw_ae_alarm_count_7d,mw_anomaly_confirmed_count_24h,mw_anomaly_confirmed_count_3d,mw_anomaly_confirmed_count_7d,mw_anomaly_persistent_count_3d,mw_anomaly_persistent_count_7d,multi_horizon_persistence_score,risk_level_calibrated,risk_threshold_medium_applied,risk_threshold_high_applied,risk_threshold_critical_applied,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,expected_lead_time_hours,leadtime_near_term_probability,leadtime_within_3d_probability,leadtime_urgency_score,days_since_last_task_event,days_since_last_any_event,risk_base_score,risk_probability_component_score,leadtime_component_score,leadtime_ordinal_component_score,anomaly_component_score,multi_window_anomaly_component_score,risk_episode_component_score,multi_horizon_component_score,history_adjustment_score,history_adjustment_reason,urgency_bonus_score,urgency_bonus_reason,priority_score,priority_level,priority_reason,engine_version
manufacturer 1,10,2014-05-04 00:00:00,2014-05-04 06:00:00,substation_10.csv,SH + DHW,spring,pre_fault,Motorised control valve (primary side): Actuator defective,1,8.73333333333,0-24h,32.1067107719,32.1067107719,0.527951360912,14300.4838058,0.972230804885,59.7165326294,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990078952429,0.990078952429,0.990078952429,0.986702016115,0.990078952429,0.00675387262783,0.00992104757078,1,1,2,2,1,0,0,1,1,2,2,1,1,-7.85046229342e-17,2,2,1,1,1,-7.85046229342e-17,2,2,1,2,2,2,0,0,0,0,0,0,0,0,3.19047619048,critical,0.22,0.78,0.92,0-24h,0.500439981546,0.500439981546,0.491250662955,0.00830935549821,30.5824342602,0.500439981546,0.991690644502,0.827940423517,275,275,38,18,8.1,2.48382127055,12.2,0,8.07936838057,5.19047619048,0,,8,high_risk_0_24h_strong_anomaly,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|repeated_high_48h|high_risk_0_24h_strong_anomaly,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-25 12:00:00,2017-11-25 18:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,19.25,0-24h,17.1636756454,17.1636756454,0.490231377699,7563.44229768,0.902768857527,31.583725061,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995942162385,0.995942162385,0.996678366918,0.990919026323,0.996678366918,0.00106677051186,0.00405783761492,1,1,8,8,1,1,0,1,1,4,4,1,1,2.58654910162e-17,12,12,0,1,0.998635503992,0.000253392910107,25,25,1,4,4,4,0,0,0,0,0,0,0,0,13.4693535725,critical,0.22,0.78,0.92,0-24h,0.688120075284,0.688120075284,0.309436805123,0.00244311959234,23.4035819004,0.688120075284,0.997556880408,0.8944112787,650.091666667,650.091666667,38,18,10.8,2.6832338361,13.4,0,9.53246270092,18,0,,8,high_risk_0_24h_strong_anomaly,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|repeated_high_48h|high_risk_0_24h_strong_anomaly,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-25 18:00:00,2017-11-26 00:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,13.25,0-24h,16.9061770795,16.9061770795,0.499140906903,7443.61108133,0.91917589687,31.0833290717,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996105087284,0.996105087284,0.996678366918,0.990872566235,0.996678366918,0.000162924899002,0.00389491271592,1,1,8,8,1,1,0,1,1,4,4,1,1,2.58654910162e-17,12,12,0,1,0.998687984607,0.000236900501363,26,26,1,5,5,5,0,0,0,0,0,0,0,0,13.6475951529,critical,0.22,0.78,0.92,0-24h,0.768531097918,0.768531097918,0.225602982868,0.00586591921396,20.7552266584,0.768531097918,0.994134080786,0.918933086497,650.341666667,650.341666667,38,18,10.8,2.75679925949,14,0,9.53115930173,18,0,,8,high_risk_0_24h_strong_anomaly,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|repeated_high_48h|high_risk_0_24h_strong_anomaly,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-21 12:00:00,2017-11-21 18:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,115.25,3-7d,16.8119945663,16.8119945663,0.476926375071,7409.74350435,0.878267484159,30.9419034882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99281883924,0.99281883924,0.996628015394,0.964701880917,0.996628015394,-0.00380917615402,0.00718116076019,1,1,8,8,1,1,0,1,0.998367963208,4,4,1,0.99620973331,0.000941859690955,9,9,1,1,0.99620973331,0.000941859690955,9,9,1,0,1,1,0,0,0,0,0,0,0,0,9.39952654324,critical,0.22,0.78,0.92,0-24h,0.742665057337,0.742665057337,0.235412796872,0.0219221457912,22.8424524328,0.742665057337,0.978077854209,0.899606921918,646.091666667,646.091666667,38,18,10.8,2.69882076575,9,0,9.55744928608,15.3995265432,0,,0,,100,urgent,risk=critical|leadtime=0-24h|repeated_high_48h,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-22 18:00:00,2017-11-23 00:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,85.25,3-7d,16.7760442797,16.7760442797,0.482321321012,7391.39009417,0.888202362677,30.8652625835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994893693608,0.994893693608,0.996254485603,0.995294911386,0.996628015394,-0.00104088252127,0.00510630639172,1,1,8,8,1,1,0,1,1,4,4,1,0.998433802855,0.000468972024397,12,12,0,1,0.997563399985,0.000623264096627,14,14,1,0,0,1,0,0,0,0,0,0,0,0,11.5241895825,critical,0.22,0.78,0.92,0-24h,0.672189621191,0.672189621191,0.28748178364,0.0403285951691,26.7048324893,0.672189621191,0.959671404831,0.863844143617,647.341666667,647.341666667,38,18,10.8,2.59153243085,9,0,9.54085045113,17.5241895825,0,,0,,100,urgent,risk=critical|leadtime=0-24h|repeated_high_48h,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-24 12:00:00,2017-11-24 18:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,43.25,1-3d,16.7367727975,16.7367727975,0.484538673106,7372.77870924,0.892285651729,30.7875444174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99639697396,0.99639697396,0.996476767984,0.990665471448,0.996704610387,0.0012263436796,0.00360302603998,1,1,8,8,1,1,0,1,1,4,4,1,1,2.58654910162e-17,12,12,0,1,0.99837559999,0.000339202574959,21,21,1,0,0,1,0,0,0,0,0,0,0,0,12.7567840515,critical,0.22,0.78,0.92,1-3d,0.644341836917,0.346461010476,0.644341836917,0.00919715260728,36.1895986106,0.346461010476,0.990802847393,0.776022235087,649.091666667,649.091666667,38,18,6,2.32806670526,9,0,9.52882420832,18,0,,0,,100,urgent,risk=critical|leadtime=1-3d|repeated_high_48h,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-23 12:00:00,2017-11-23 18:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,67.25,1-3d,16.7300617612,16.7300617612,0.479069049389,7371.88542659,0.882213252901,30.7838142119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996704610387,0.996704610387,0.996704610387,0.995567657781,0.996704610387,0.00187999706554,0.00329538961259,1,1,8,8,1,1,0,1,1,4,4,1,0.999455987736,0.000251082583308,12,12,0,1,0.997993388223,0.00047294407426,17,17,1,0,0,1,0,0,0,0,0,0,0,0,12.0514502318,critical,0.22,0.78,0.92,1-3d,0.806321125291,0.187630885734,0.806321125291,0.00604798897497,41.6807433198,0.187630885734,0.993952011025,0.725178302595,648.091666667,648.091666667,38,18,7.5,2.17553490778,9,0,9.5263631169,18,0,,0,,100,urgent,risk=critical|leadtime=1-3d|repeated_high_48h,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-22 12:00:00,2017-11-22 18:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,91.25,3-7d,16.7146235034,16.7146235034,0.475562975214,7366.2809924,0.875756761697,30.7604109913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99593457613,0.99593457613,0.996254485603,0.989607797718,0.996628015394,-0.000319909473836,0.00406542387045,1,1,8,8,1,1,0,1,1,4,4,1,0.997930196535,0.000569976579847,12,12,0,1,0.997375969215,0.000685364735592,13,13,1,0,0,1,0,0,0,0,0,0,0,0,11.3493852806,critical,0.22,0.78,0.92,0-24h,0.546165718053,0.546165718053,0.414649149436,0.0391851325104,31.1593636908,0.546165718053,0.96081486749,0.822598484344,647.091666667,647.091666667,38,18,8.1,2.46779545303,9,0,9.53252339096,17.3493852806,0,,0,,100,urgent,risk=critical|leadtime=0-24h|repeated_high_48h,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-26 00:00:00,2017-11-26 06:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,7.25,0-24h,16.6037458137,16.6037458137,0.500870368185,7306.28558271,0.922360727251,30.5098797583,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9952087172,0.9952087172,0.996105087284,0.995770799069,0.996678366918,-0.000896370083967,0.00479128279989,1,1,8,8,1,1,0,1,1,4,4,1,1,2.58654910162e-17,12,12,0,1,0.99873657777,0.000221931125366,27,27,1,6,6,6,0,0,0,0,0,0,0,0,13.8258671939,critical,0.22,0.78,0.92,0-24h,0.955593850608,0.955593850608,0.0397619365417,0.00464421285071,13.9330047034,0.955593850608,0.995355787149,0.982101808302,650.591666667,650.591666667,38,18,13.5,2.94630542491,14,0,9.5383302624,18,0,,8,high_risk_0_24h_strong_anomaly,100,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|repeated_high_48h|high_risk_0_24h_strong_anomaly,internal_m1_current_best_priority_engine_v1
manufacturer 1,7,2017-11-24 00:00:00,2017-11-24 06:00:00,substation_7.csv,SH + DHW,autumn,pre_fault,Motorised control valve (primary side) defective,67,55.25,1-3d,16.5002405234,16.5002405234,0.479454301274,7267.89338973,0.882922700356,30.3495601023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956022854525,0.956022854525,0.996704610387,0.990743153634,0.996704610387,-0.0404539134595,0.0439771454751,1,1,8,8,1,1,0,1,1,4,4,1,1,2.58654910162e-17,12,12,0,1,0.998204610515,0.000398374706155,19,19,1,0,0,1,0,0,0,0,0,0,0,0,12.400824637,critical,0.22,0.78,0.92,0-24h,0.513812885274,0.513812885274,0.478287005652,0.00790010907344,30.0715439834,0.513812885274,0.992099890927,0.832670889042,648.591666667,648.591666667,38,18,8.1,2.49801266713,9,0,9.8518171638,18,0,,0,,100,urgent,risk=critical|leadtime=0-24h|repeated_high_48h,internal_m1_current_best_priority_engine_v1
