tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,criticality_threshold
41,10,36,96,0.803921568627,0.532467532468,0.640625,0.0943396226415,8,6,0.75,holdout,1
44,10,174,672,0.814814814815,0.201834862385,0.323529411765,0.0146627565982,21,9,0.428571428571,train,1
5,53,21,90,0.0862068965517,0.192307692308,0.119047619048,0.370629370629,3,2,0.666666666667,validation,1
36,2,41,104,0.947368421053,0.467532467532,0.626086956522,0.0188679245283,8,6,0.75,holdout,2
28,5,190,677,0.848484848485,0.128440366972,0.223107569721,0.00733137829912,21,7,0.333333333333,train,2
3,48,23,95,0.0588235294118,0.115384615385,0.0779220779221,0.335664335664,3,2,0.666666666667,validation,2
30,0,47,106,1,0.38961038961,0.560747663551,0,8,5,0.625,holdout,3
18,4,200,678,0.818181818182,0.0825688073394,0.15,0.0058651026393,21,6,0.285714285714,train,3
1,46,25,97,0.0212765957447,0.0384615384615,0.027397260274,0.321678321678,3,1,0.333333333333,validation,3
25,0,52,106,1,0.324675324675,0.490196078431,0,8,4,0.5,holdout,4
11,3,207,679,0.785714285714,0.0504587155963,0.0948275862069,0.00439882697947,21,2,0.0952380952381,train,4
0,44,26,99,0,0,0,0.307692307692,3,0,0,validation,4
21,0,56,106,1,0.272727272727,0.428571428571,0,8,4,0.5,holdout,5
9,2,209,680,0.818181818182,0.0412844036697,0.0786026200873,0.00293255131965,21,2,0.0952380952381,train,5
0,41,26,102,0,0,0,0.286713286713,3,0,0,validation,5
17,0,60,106,1,0.220779220779,0.36170212766,0,8,3,0.375,holdout,6
7,1,211,681,0.875,0.0321100917431,0.0619469026549,0.00146627565982,21,2,0.0952380952381,train,6
0,37,26,106,0,0,0,0.258741258741,3,0,0,validation,6
15,0,62,106,1,0.194805194805,0.326086956522,0,8,3,0.375,holdout,7
5,0,213,682,1,0.0229357798165,0.0448430493274,0,21,2,0.0952380952381,train,7
0,34,26,109,0,0,0,0.237762237762,3,0,0,validation,7
13,0,64,106,1,0.168831168831,0.288888888889,0,8,2,0.25,holdout,8
3,0,215,682,1,0.0137614678899,0.027149321267,0,21,1,0.047619047619,train,8
0,33,26,110,0,0,0,0.230769230769,3,0,0,validation,8
12,0,65,106,1,0.155844155844,0.269662921348,0,8,2,0.25,holdout,9
2,0,216,682,1,0.00917431192661,0.0181818181818,0,21,1,0.047619047619,train,9
0,31,26,112,0,0,0,0.216783216783,3,0,0,validation,9
11,0,66,106,1,0.142857142857,0.25,0,8,2,0.25,holdout,10
1,0,217,682,1,0.0045871559633,0.00913242009132,0,21,1,0.047619047619,train,10
0,29,26,114,0,0,0,0.202797202797,3,0,0,validation,10
10,0,67,106,1,0.12987012987,0.229885057471,0,8,2,0.25,holdout,11
0,0,218,682,0,0,0,0,21,0,0,train,11
0,28,26,115,0,0,0,0.195804195804,3,0,0,validation,11
9,0,68,106,1,0.116883116883,0.209302325581,0,8,2,0.25,holdout,12
0,0,218,682,0,0,0,0,21,0,0,train,12
0,27,26,116,0,0,0,0.188811188811,3,0,0,validation,12
