tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
48,32,29,74,0.6,0.6233766233766234,0.6114649681528662,0.3018867924528302,8,7,0.875,holdout,0.75,0.8
83,17,135,665,0.83,0.38073394495412843,0.5220125786163522,0.024926686217008796,21,17,0.8095238095238095,train,0.75,0.8
3,72,23,71,0.04,0.11538461538461539,0.0594059405940594,0.5034965034965035,3,1,0.3333333333333333,validation,0.75,0.8
47,32,30,74,0.5949367088607594,0.6103896103896104,0.6025641025641025,0.3018867924528302,8,7,0.875,holdout,0.75,0.85
81,16,137,666,0.8350515463917526,0.37155963302752293,0.5142857142857142,0.02346041055718475,21,17,0.8095238095238095,train,0.75,0.85
3,66,23,77,0.043478260869565216,0.11538461538461539,0.06315789473684211,0.46153846153846156,3,1,0.3333333333333333,validation,0.75,0.85
47,31,30,75,0.6025641025641025,0.6103896103896104,0.6064516129032258,0.29245283018867924,8,7,0.875,holdout,0.75,0.9
79,14,139,668,0.8494623655913979,0.3623853211009174,0.5080385852090032,0.020527859237536656,21,17,0.8095238095238095,train,0.75,0.9
3,66,23,77,0.043478260869565216,0.11538461538461539,0.06315789473684211,0.46153846153846156,3,1,0.3333333333333333,validation,0.75,0.9
47,29,30,77,0.618421052631579,0.6103896103896104,0.6143790849673204,0.27358490566037735,8,7,0.875,holdout,0.75,0.95
74,10,144,672,0.8809523809523809,0.3394495412844037,0.4900662251655629,0.01466275659824047,21,17,0.8095238095238095,train,0.75,0.95
3,63,23,80,0.045454545454545456,0.11538461538461539,0.06521739130434784,0.4405594405594406,3,1,0.3333333333333333,validation,0.75,0.95
46,29,31,77,0.6133333333333333,0.5974025974025974,0.6052631578947367,0.27358490566037735,8,7,0.875,holdout,0.75,1.0
71,7,147,675,0.9102564102564102,0.3256880733944954,0.4797297297297297,0.010263929618768328,21,16,0.7619047619047619,train,0.75,1.0
3,61,23,82,0.046875,0.11538461538461539,0.06666666666666667,0.42657342657342656,3,1,0.3333333333333333,validation,0.75,1.0
46,27,31,79,0.6301369863013698,0.5974025974025974,0.6133333333333334,0.25471698113207547,8,7,0.875,holdout,0.75,1.05
71,7,147,675,0.9102564102564102,0.3256880733944954,0.4797297297297297,0.010263929618768328,21,16,0.7619047619047619,train,0.75,1.05
3,60,23,83,0.047619047619047616,0.11538461538461539,0.06741573033707865,0.4195804195804196,3,1,0.3333333333333333,validation,0.75,1.05
46,27,31,79,0.6301369863013698,0.5974025974025974,0.6133333333333334,0.25471698113207547,8,7,0.875,holdout,0.75,1.1
69,5,149,677,0.9324324324324325,0.3165137614678899,0.4726027397260274,0.007331378299120235,21,15,0.7142857142857143,train,0.75,1.1
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.75,1.1
43,25,34,81,0.6323529411764706,0.5584415584415584,0.5931034482758619,0.2358490566037736,8,7,0.875,holdout,0.75,1.15
68,5,150,677,0.9315068493150684,0.3119266055045872,0.4673539518900343,0.007331378299120235,21,15,0.7142857142857143,train,0.75,1.15
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.75,1.15
43,24,34,82,0.6417910447761194,0.5584415584415584,0.5972222222222222,0.22641509433962265,8,7,0.875,holdout,0.75,1.2
67,5,151,677,0.9305555555555556,0.3073394495412844,0.4620689655172413,0.007331378299120235,21,15,0.7142857142857143,train,0.75,1.2
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.75,1.2
43,23,34,83,0.6515151515151515,0.5584415584415584,0.6013986013986015,0.2169811320754717,8,7,0.875,holdout,0.75,1.25
65,5,153,677,0.9285714285714286,0.2981651376146789,0.45138888888888884,0.007331378299120235,21,14,0.6666666666666666,train,0.75,1.25
3,50,23,93,0.05660377358490566,0.11538461538461539,0.07594936708860758,0.34965034965034963,3,1,0.3333333333333333,validation,0.75,1.25
42,23,35,83,0.6461538461538462,0.5454545454545454,0.5915492957746479,0.2169811320754717,8,7,0.875,holdout,0.75,1.3
64,4,154,678,0.9411764705882353,0.29357798165137616,0.44755244755244755,0.005865102639296188,21,14,0.6666666666666666,train,0.75,1.3
3,36,23,107,0.07692307692307693,0.11538461538461539,0.0923076923076923,0.2517482517482518,3,1,0.3333333333333333,validation,0.75,1.3
47,30,30,76,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.2830188679245283,8,7,0.875,holdout,0.8,0.8
80,16,138,666,0.8333333333333334,0.3669724770642202,0.5095541401273885,0.02346041055718475,21,16,0.7619047619047619,train,0.8,0.8
3,71,23,72,0.04054054054054054,0.11538461538461539,0.06,0.4965034965034965,3,1,0.3333333333333333,validation,0.8,0.8
46,30,31,76,0.6052631578947368,0.5974025974025974,0.6013071895424836,0.2830188679245283,8,6,0.75,holdout,0.8,0.85
78,15,140,667,0.8387096774193549,0.3577981651376147,0.5016077170418006,0.021994134897360705,21,16,0.7619047619047619,train,0.8,0.85
3,65,23,78,0.04411764705882353,0.11538461538461539,0.06382978723404256,0.45454545454545453,3,1,0.3333333333333333,validation,0.8,0.85
46,29,31,77,0.6133333333333333,0.5974025974025974,0.6052631578947367,0.27358490566037735,8,6,0.75,holdout,0.8,0.9
76,13,142,669,0.8539325842696629,0.3486238532110092,0.49511400651465803,0.01906158357771261,21,16,0.7619047619047619,train,0.8,0.9
3,65,23,78,0.04411764705882353,0.11538461538461539,0.06382978723404256,0.45454545454545453,3,1,0.3333333333333333,validation,0.8,0.9
46,28,31,78,0.6216216216216216,0.5974025974025974,0.6092715231788081,0.2641509433962264,8,6,0.75,holdout,0.8,0.95
71,9,147,673,0.8875,0.3256880733944954,0.476510067114094,0.013196480938416423,21,15,0.7142857142857143,train,0.8,0.95
3,62,23,81,0.046153846153846156,0.11538461538461539,0.06593406593406594,0.43356643356643354,3,1,0.3333333333333333,validation,0.8,0.95
45,28,32,78,0.6164383561643836,0.5844155844155844,0.6,0.2641509433962264,8,6,0.75,holdout,0.8,1.0
68,6,150,676,0.918918918918919,0.3119266055045872,0.4657534246575342,0.008797653958944282,21,14,0.6666666666666666,train,0.8,1.0
3,60,23,83,0.047619047619047616,0.11538461538461539,0.06741573033707865,0.4195804195804196,3,1,0.3333333333333333,validation,0.8,1.0
45,26,32,80,0.6338028169014085,0.5844155844155844,0.6081081081081082,0.24528301886792453,8,6,0.75,holdout,0.8,1.05
68,6,150,676,0.918918918918919,0.3119266055045872,0.4657534246575342,0.008797653958944282,21,14,0.6666666666666666,train,0.8,1.05
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.8,1.05
45,26,32,80,0.6338028169014085,0.5844155844155844,0.6081081081081082,0.24528301886792453,8,6,0.75,holdout,0.8,1.1
67,4,151,678,0.9436619718309859,0.3073394495412844,0.46366782006920415,0.005865102639296188,21,13,0.6190476190476191,train,0.8,1.1
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.8,1.1
42,24,35,82,0.6363636363636364,0.5454545454545454,0.5874125874125874,0.22641509433962265,8,6,0.75,holdout,0.8,1.15
