split_time_based,label,level_0p65,level_0p72,rows
holdout,normal,high,high,1
holdout,normal,high,medium,1
holdout,normal,low,low,62
holdout,normal,low,medium,1
holdout,normal,medium,low,5
holdout,normal,medium,medium,36
holdout,pre_fault,high,high,11
holdout,pre_fault,high,urgent,5
holdout,pre_fault,low,low,16
holdout,pre_fault,medium,low,1
holdout,pre_fault,medium,medium,14
holdout,pre_fault,urgent,urgent,30
train,normal,low,low,619
train,normal,medium,low,49
train,normal,medium,medium,14
train,pre_fault,high,high,16
train,pre_fault,high,medium,2
train,pre_fault,high,urgent,5
train,pre_fault,low,low,58
train,pre_fault,low,medium,1
train,pre_fault,medium,high,3
train,pre_fault,medium,low,6
train,pre_fault,medium,medium,88
train,pre_fault,urgent,urgent,39
validation,normal,high,high,11
validation,normal,high,medium,2
validation,normal,high,urgent,1
validation,normal,low,low,65
validation,normal,low,medium,1
validation,normal,medium,high,1
validation,normal,medium,low,13
validation,normal,medium,medium,48
validation,normal,urgent,urgent,1
validation,pre_fault,high,high,2
validation,pre_fault,low,low,17
validation,pre_fault,medium,low,2
validation,pre_fault,medium,medium,4
validation,pre_fault,urgent,urgent,1
