split,metric,value_0p65,value_0p72,delta_0p72_minus_0p65
holdout,f1,0.736,0.741935483871,0.00593548387097
holdout,false_positive_rate,0.0188679245283,0.00943396226415,-0.00943396226415
holdout,fault_event_recall,0.875,0.875,0
holdout,fn,31,31,0
holdout,fp,2,1,-1
holdout,high_threshold,62.5,62.5,0
holdout,precision,0.958333333333,0.978723404255,0.020390070922
holdout,recall,0.597402597403,0.597402597403,0
holdout,tn,104,105,1
holdout,tp,46,46,0
holdout,urgent_threshold,77.5,77.5,0
train,f1,0.442857142857,0.448398576512,0.00554143365531
train,false_positive_rate,0,0,0
train,fault_event_recall,0.52380952381,0.47619047619,-0.047619047619
train,fn,156,155,-1
train,fp,0,0,0
train,high_threshold,62.5,62.5,0
train,precision,1,1,0
train,recall,0.284403669725,0.288990825688,0.0045871559633
train,tn,682,682,0
train,tp,62,63,1
train,urgent_threshold,77.5,77.5,0
validation,f1,0.136363636364,0.139534883721,0.00317124735729
validation,false_positive_rate,0.104895104895,0.0979020979021,-0.00699300699301
validation,fault_event_recall,0.333333333333,0.333333333333,0
validation,fn,23,23,0
validation,fp,15,14,-1
validation,high_threshold,62.5,62.5,0
validation,precision,0.166666666667,0.176470588235,0.00980392156863
validation,recall,0.115384615385,0.115384615385,0
validation,tn,128,129,1
validation,tp,3,3,0
validation,urgent_threshold,77.5,77.5,0
