tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,current_best_weight,m1_specialist_weight,split,high_threshold,urgent_threshold,operating_score
32,18,45,88,0.64,0.4155844155844156,0.5039370078740157,0.16981132075471697,8,7,0.875,0.0,1.0,holdout,77.5,92.5,0.5940313474966573
55,92,140,590,0.3741496598639456,0.28205128205128205,0.3216374269005848,0.1348973607038123,18,14,0.7777777777777778,0.0,1.0,train,77.5,92.5,0.4097443021042342
10,14,13,129,0.4166666666666667,0.43478260869565216,0.425531914893617,0.0979020979020979,2,2,1.0,0.0,1.0,validation,77.5,92.5,0.5765808659425681
32,17,45,89,0.6530612244897959,0.4155844155844156,0.5079365079365079,0.16037735849056603,8,7,0.875,0.01,0.99,holdout,77.5,92.5,0.6027478286912249
55,86,140,596,0.3900709219858156,0.28205128205128205,0.3273809523809524,0.12609970674486803,18,14,0.7777777777777778,0.01,0.99,train,77.5,92.5,0.4198866545640739
10,13,13,130,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.09090909090909091,2,2,1.0,0.01,0.99,validation,77.5,92.5,0.5893280632411068
32,17,45,89,0.6530612244897959,0.4155844155844156,0.5079365079365079,0.16037735849056603,8,7,0.875,0.02,0.98,holdout,77.5,92.5,0.6027478286912249
56,80,139,602,0.4117647058823529,0.28717948717948716,0.3383685800604229,0.11730205278592376,18,14,0.7777777777777778,0.02,0.98,train,77.5,92.5,0.4352731092230166
10,11,13,132,0.47619047619047616,0.43478260869565216,0.4545454545454545,0.07692307692307693,2,2,1.0,0.02,0.98,validation,77.5,92.5,0.6160839160839161
32,17,45,89,0.6530612244897959,0.4155844155844156,0.5079365079365079,0.16037735849056603,8,7,0.875,0.03,0.97,holdout,77.5,92.5,0.6027478286912249
57,74,138,608,0.4351145038167939,0.2923076923076923,0.34969325153374237,0.10850439882697947,18,14,0.7777777777777778,0.03,0.97,train,77.5,92.5,0.45099660767580824
10,10,13,133,0.5,0.43478260869565216,0.46511627906976744,0.06993006993006994,2,2,1.0,0.03,0.97,validation,77.5,92.5,0.6301512441047324
32,16,45,90,0.6666666666666666,0.4155844155844156,0.512,0.1509433962264151,8,7,0.875,0.04,0.96,holdout,77.5,92.5,0.6115283018867925
58,68,137,614,0.4603174603174603,0.29743589743589743,0.36137071651090347,0.09970674486803519,18,14,0.7777777777777778,0.04,0.96,train,77.5,92.5,0.4670728996324414
10,8,13,135,0.5555555555555556,0.43478260869565216,0.4878048780487805,0.055944055944055944,2,2,1.0,0.04,0.96,validation,77.5,92.5,0.6598328500767524
32,16,45,90,0.6666666666666666,0.4155844155844156,0.512,0.1509433962264151,8,7,0.875,0.05,0.95,holdout,77.5,92.5,0.6115283018867925
58,59,137,623,0.49572649572649574,0.29743589743589743,0.37179487179487175,0.08651026392961877,18,14,0.7777777777777778,0.05,0.95,train,77.5,92.5,0.48409529538561785
10,8,13,135,0.5555555555555556,0.43478260869565216,0.4878048780487805,0.055944055944055944,2,2,1.0,0.05,0.95,validation,77.5,92.5,0.6598328500767524
32,14,45,92,0.6956521739130435,0.4155844155844156,0.5203252032520326,0.1320754716981132,8,7,0.875,0.06,0.94,holdout,77.5,92.5,0.629287467402976
58,56,137,626,0.5087719298245614,0.29743589743589743,0.37540453074433655,0.08211143695014662,18,14,0.7777777777777778,0.06,0.94,train,77.5,92.5,0.4899043678248188
10,8,13,135,0.5555555555555556,0.43478260869565216,0.4878048780487805,0.055944055944055944,2,2,1.0,0.06,0.94,validation,77.5,92.5,0.6598328500767524
31,14,46,92,0.6888888888888889,0.4025974025974026,0.5081967213114754,0.1320754716981132,8,7,0.875,0.07,0.9299999999999999,holdout,77.5,92.5,0.6171589854624189
58,44,137,638,0.5686274509803921,0.29743589743589743,0.3905723905723905,0.06451612903225806,18,14,0.7777777777777778,0.07,0.9299999999999999,train,77.5,92.5,0.513869881611817
10,7,13,136,0.5882352941176471,0.43478260869565216,0.5,0.04895104895104895,2,2,1.0,0.07,0.9299999999999999,validation,77.5,92.5,0.6755244755244755
31,14,46,92,0.6888888888888889,0.4025974025974026,0.5081967213114754,0.1320754716981132,8,7,0.875,0.08,0.92,holdout,77.5,92.5,0.6171589854624189
59,39,136,643,0.6020408163265306,0.30256410256410254,0.40273037542662116,0.05718475073313783,18,14,0.7777777777777778,0.08,0.92,train,77.5,92.5,0.5296935556156078
10,7,13,136,0.5882352941176471,0.43478260869565216,0.5,0.04895104895104895,2,2,1.0,0.08,0.92,validation,77.5,92.5,0.6755244755244755
31,11,46,95,0.7380952380952381,0.4025974025974026,0.5210084033613446,0.10377358490566038,8,7,0.875,0.09,0.91,holdout,77.5,92.5,0.6441216109085144
59,30,136,652,0.6629213483146067,0.30256410256410254,0.4154929577464789,0.04398826979472141,18,14,0.7777777777777778,0.09,0.91,train,77.5,92.5,0.5490543784046737
10,7,13,136,0.5882352941176471,0.43478260869565216,0.5,0.04895104895104895,2,2,1.0,0.09,0.91,validation,77.5,92.5,0.6755244755244755
31,11,46,95,0.7380952380952381,0.4025974025974026,0.5210084033613446,0.10377358490566038,8,7,0.875,0.1,0.9,holdout,77.5,92.5,0.6441216109085144
