split,actual_bucket,predicted_bucket,count
train,0-24h,0-24h,78
train,0-24h,1-3d,0
train,0-24h,3-7d,0
train,1-3d,0-24h,0
train,1-3d,1-3d,117
train,1-3d,3-7d,0
train,3-7d,0-24h,0
train,3-7d,1-3d,0
train,3-7d,3-7d,34
validation,0-24h,0-24h,2
validation,0-24h,1-3d,6
validation,0-24h,3-7d,0
validation,1-3d,0-24h,2
validation,1-3d,1-3d,16
validation,1-3d,3-7d,0
validation,3-7d,0-24h,0
validation,3-7d,1-3d,0
validation,3-7d,3-7d,0
holdout,0-24h,0-24h,9
holdout,0-24h,1-3d,18
holdout,0-24h,3-7d,0
holdout,1-3d,0-24h,5
holdout,1-3d,1-3d,28
holdout,1-3d,3-7d,1
holdout,3-7d,0-24h,0
holdout,3-7d,1-3d,5
holdout,3-7d,3-7d,0
