tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,fpr_cap
52,6,25,100,0.896551724137931,0.6753246753246753,0.7703703703703704,0.05660377358490566,8,7,0.875,1.0,0.12987012987012986,1.0,0.2597402597402597,1.0,0.38961038961038963,m1_hybrid_0p65_0p35,holdout,67.5,82.5,0.05
136,0,59,682,1.0,0.6974358974358974,0.8217522658610271,0.0,18,17,0.9444444444444444,1.0,0.05128205128205128,1.0,0.10256410256410256,1.0,0.15384615384615385,m1_hybrid_0p65_0p35,train,67.5,82.5,0.05
23,7,0,136,0.7666666666666667,1.0,0.8679245283018869,0.04895104895104895,2,2,1.0,1.0,0.43478260869565216,0.85,0.7391304347826086,0.7666666666666667,1.0,m1_hybrid_0p65_0p35,validation,67.5,82.5,0.05
52,6,25,100,0.896551724137931,0.6753246753246753,0.7703703703703704,0.05660377358490566,8,7,0.875,1.0,0.12987012987012986,1.0,0.2597402597402597,1.0,0.38961038961038963,m1_hybrid_0p65_0p35,holdout,67.5,82.5,0.1
136,0,59,682,1.0,0.6974358974358974,0.8217522658610271,0.0,18,17,0.9444444444444444,1.0,0.05128205128205128,1.0,0.10256410256410256,1.0,0.15384615384615385,m1_hybrid_0p65_0p35,train,67.5,82.5,0.1
23,7,0,136,0.7666666666666667,1.0,0.8679245283018869,0.04895104895104895,2,2,1.0,1.0,0.43478260869565216,0.85,0.7391304347826086,0.7666666666666667,1.0,m1_hybrid_0p65_0p35,validation,67.5,82.5,0.1
52,6,25,100,0.896551724137931,0.6753246753246753,0.7703703703703704,0.05660377358490566,8,7,0.875,1.0,0.12987012987012986,1.0,0.2597402597402597,1.0,0.38961038961038963,m1_hybrid_0p65_0p35,holdout,67.5,82.5,0.15
136,0,59,682,1.0,0.6974358974358974,0.8217522658610271,0.0,18,17,0.9444444444444444,1.0,0.05128205128205128,1.0,0.10256410256410256,1.0,0.15384615384615385,m1_hybrid_0p65_0p35,train,67.5,82.5,0.15
23,7,0,136,0.7666666666666667,1.0,0.8679245283018869,0.04895104895104895,2,2,1.0,1.0,0.43478260869565216,0.85,0.7391304347826086,0.7666666666666667,1.0,m1_hybrid_0p65_0p35,validation,67.5,82.5,0.15
52,6,25,100,0.896551724137931,0.6753246753246753,0.7703703703703704,0.05660377358490566,8,7,0.875,1.0,0.12987012987012986,1.0,0.2597402597402597,1.0,0.38961038961038963,m1_hybrid_0p65_0p35,holdout,67.5,82.5,0.2
136,0,59,682,1.0,0.6974358974358974,0.8217522658610271,0.0,18,17,0.9444444444444444,1.0,0.05128205128205128,1.0,0.10256410256410256,1.0,0.15384615384615385,m1_hybrid_0p65_0p35,train,67.5,82.5,0.2
23,7,0,136,0.7666666666666667,1.0,0.8679245283018869,0.04895104895104895,2,2,1.0,1.0,0.43478260869565216,0.85,0.7391304347826086,0.7666666666666667,1.0,m1_hybrid_0p65_0p35,validation,67.5,82.5,0.2
