policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.950_or_lead_0.940,train,row,900,0.286624203822,0.206422018349,0.1642228739,45,112,173,570,84.1300552679,0.95,0.94,21,14,0.666666666667,False,0.24
pre_0.950_or_lead_0.940,validation,row,169,0.285714285714,0.230769230769,0.104895104895,6,15,20,128,84.1519516604,0.95,0.94,3,2,0.666666666667,False,0.255319148936
pre_0.950_or_lead_0.940,holdout,row,183,0.701754385965,0.519480519481,0.160377358491,40,17,37,89,86.3620299107,0.95,0.94,8,6,0.75,False,0.597014925373
pre_0.950_or_lead_0.945,train,row,900,0.287581699346,0.201834862385,0.159824046921,44,109,174,573,83.7615321674,0.95,0.945,21,14,0.666666666667,False,0.237196765499
pre_0.950_or_lead_0.945,validation,row,169,0.315789473684,0.230769230769,0.0909090909091,6,13,20,130,83.7702948557,0.95,0.945,3,2,0.666666666667,False,0.266666666667
pre_0.950_or_lead_0.945,holdout,row,183,0.701754385965,0.519480519481,0.160377358491,40,17,37,89,86.0478222604,0.95,0.945,8,6,0.75,False,0.597014925373
pre_0.950_or_lead_0.950,train,row,900,0.288590604027,0.197247706422,0.155425219941,43,106,175,576,83.3945607533,0.95,0.95,21,14,0.666666666667,False,0.234332425068
pre_0.950_or_lead_0.950,validation,row,169,0.333333333333,0.230769230769,0.0839160839161,6,12,20,131,83.3886380509,0.95,0.95,3,2,0.666666666667,False,0.272727272727
pre_0.950_or_lead_0.950,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,85.7343819798,0.95,0.95,8,6,0.75,False,0.601503759398
pre_0.950_or_lead_0.955,train,row,900,0.281690140845,0.183486238532,0.149560117302,40,102,178,580,83.0304080383,0.95,0.955,21,13,0.619047619048,False,0.222222222222
pre_0.950_or_lead_0.955,validation,row,169,0.352941176471,0.230769230769,0.0769230769231,6,11,20,132,83.0105744374,0.95,0.955,3,2,0.666666666667,False,0.279069767442
pre_0.950_or_lead_0.955,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,85.42290657,0.95,0.955,8,6,0.75,False,0.590909090909
pre_0.950_or_lead_0.960,train,row,900,0.280575539568,0.178899082569,0.146627565982,39,100,179,582,82.669355593,0.95,0.96,21,13,0.619047619048,False,0.218487394958
pre_0.950_or_lead_0.960,validation,row,169,0.375,0.230769230769,0.0699300699301,6,10,20,133,82.6377933723,0.95,0.96,3,2,0.666666666667,False,0.285714285714
pre_0.950_or_lead_0.960,holdout,row,183,0.709090909091,0.506493506494,0.150943396226,39,16,38,90,85.1150945971,0.95,0.96,8,6,0.75,False,0.590909090909
pre_0.950_or_lead_0.965,train,row,900,0.280303030303,0.169724770642,0.139296187683,37,95,181,587,82.3100980144,0.95,0.965,21,13,0.619047619048,False,0.211428571429
pre_0.950_or_lead_0.965,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,82.2650123072,0.95,0.965,3,2,0.666666666667,False,0.292682926829
