gate,probability_column,target_definition,threshold,split,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,balanced_accuracy,positive_rate,target_positive_count,native_label_available,reference_type,note
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,validation,20,91,3,52,0.18018018018,0.869565217391,0.298507462687,0.636363636364,0.616600790514,0.668674698795,23,True,active_runtime_policy,"evidence threshold, not standalone alarm optimum"
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,validation,20,91,3,52,0.18018018018,0.869565217391,0.298507462687,0.636363636364,0.616600790514,0.668674698795,23,True,best_balanced_accuracy,metric reference only
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.75,validation,9,26,14,117,0.257142857143,0.391304347826,0.310344827586,0.181818181818,0.604743083004,0.210843373494,23,True,best_under_fpr_0p20,strict FPR guardrail reference
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,holdout,52,59,25,47,0.468468468468,0.675324675325,0.553191489362,0.556603773585,0.55936045087,0.606557377049,77,True,active_runtime_policy,"evidence threshold, not standalone alarm optimum"
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.35,holdout,71,80,6,26,0.470198675497,0.922077922078,0.622807017544,0.754716981132,0.583680470473,0.825136612022,77,True,best_balanced_accuracy,metric reference only
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.75,holdout,15,19,62,87,0.441176470588,0.194805194805,0.27027027027,0.179245283019,0.507779955893,0.185792349727,77,True,best_under_fpr_0p20,strict FPR guardrail reference
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.6,validation,12,72,11,71,0.142857142857,0.521739130435,0.224299065421,0.503496503497,0.509121313469,0.506024096386,23,True,active_runtime_policy,"evidence threshold, not standalone alarm optimum"
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.3,validation,20,103,3,40,0.162601626016,0.869565217391,0.27397260274,0.72027972028,0.574642748556,0.740963855422,23,True,best_balanced_accuracy,metric reference only
pre_event_gate,,,,validation,,,,,,,,,,,,,best_under_fpr_0p20,no 0.30-0.80 candidate satisfies FPR <= 0.20
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.6,holdout,46,39,31,67,0.541176470588,0.597402597403,0.567901234568,0.367924528302,0.61473903455,0.464480874317,77,True,active_runtime_policy,"evidence threshold, not standalone alarm optimum"
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.35,holdout,57,51,20,55,0.527777777778,0.74025974026,0.616216216216,0.481132075472,0.629563832394,0.590163934426,77,True,best_balanced_accuracy,metric reference only
pre_event_gate,,,,holdout,,,,,,,,,,,,,best_under_fpr_0p20,no 0.30-0.80 candidate satisfies FPR <= 0.20
